YYYY	MM	DD	hh	mm	PREC
2023	1	1	0	0	0.0
2023	1	2	0	0	1.36
2023	1	3	0	0	0.0
2023	1	4	0	0	1.79
2023	1	5	0	0	0.47
2023	1	6	0	0	0.0
2023	1	7	0	0	0.0
2023	1	8	0	0	12.0
2023	1	9	0	0	6.3
2023	1	10	0	0	0.44
2023	1	11	0	0	2.59
2023	1	12	0	0	0.0
2023	1	13	0	0	6.21
2023	1	14	0	0	0.12
2023	1	15	0	0	7.13
2023	1	16	0	0	1.44
2023	1	17	0	0	1.3
2023	1	18	0	0	5.18
2023	1	19	0	0	0.0
2023	1	20	0	0	0.0
2023	1	21	0	0	0.0
2023	1	22	0	0	0.0
2023	1	23	0	0	0.0
2023	1	24	0	0	0.0
2023	1	25	0	0	0.0
2023	1	26	0	0	0.0
2023	1	27	0	0	0.0
2023	1	28	0	0	0.0
2023	1	29	0	0	0.0
2023	1	30	0	0	0.0
2023	1	31	0	0	0.0
2023	2	1	0	0	0.0
2023	2	2	0	0	0.38
2023	2	3	0	0	3.98
2023	2	4	0	0	4.85
2023	2	5	0	0	7.61
2023	2	6	0	0	0.05
2023	2	7	0	0	0.0
2023	2	8	0	0	0.0
2023	2	9	0	0	0.0
2023	2	10	0	0	0.0
2023	2	11	0	0	0.0
2023	2	12	0	0	0.0
2023	2	13	0	0	0.0
2023	2	14	0	0	0.0
2023	2	15	0	0	0.0
2023	2	16	0	0	0.0
2023	2	17	0	0	0.0
2023	2	18	0	0	0.0
2023	2	19	0	0	0.0
2023	2	20	0	0	0.0
2023	2	21	0	0	0.0
2023	2	22	0	0	0.88
2023	2	23	0	0	1.07
2023	2	24	0	0	10.77
2023	2	25	0	0	0.13
2023	2	26	0	0	0.0
2023	2	27	0	0	0.0
2023	2	28	0	0	0.0
2023	3	1	0	0	0.0
2023	3	2	0	0	0.0
2023	3	3	0	0	0.0
2023	3	4	0	0	0.0
2023	3	5	0	0	0.0
2023	3	6	0	0	0.0
2023	3	7	0	0	0.0
2023	3	8	0	0	1.34
2023	3	9	0	0	6.7
2023	3	10	0	0	3.2
2023	3	11	0	0	0.0
2023	3	12	0	0	0.74
2023	3	13	0	0	32.6
2023	3	14	0	0	2.52
2023	3	15	0	0	0.0
2023	3	16	0	0	0.0
2023	3	17	0	0	0.0
2023	3	18	0	0	0.0
2023	3	19	0	0	4.48
2023	3	20	0	0	0.0
2023	3	21	0	0	0.0
2023	3	22	0	0	0.0
2023	3	23	0	0	1.05
2023	3	24	0	0	6.73
2023	3	25	0	0	3.29
2023	3	26	0	0	4.67
2023	3	27	0	0	2.31
2023	3	28	0	0	0.0
2023	3	29	0	0	0.0
2023	3	30	0	0	8.36
2023	3	31	0	0	9.89
2023	4	1	0	0	3.09
2023	4	2	0	0	3.56
2023	4	3	0	0	0.0
2023	4	4	0	0	0.0
2023	4	5	0	0	0.0
2023	4	6	0	0	0.0
2023	4	7	0	0	0.42
2023	4	8	0	0	0.64
2023	4	9	0	0	0.0
2023	4	10	0	0	0.39
2023	4	11	0	0	1.76
2023	4	12	0	0	9.24
2023	4	13	0	0	2.1
2023	4	14	0	0	0.0
2023	4	15	0	0	1.71
2023	4	16	0	0	2.41
2023	4	17	0	0	0.87
2023	4	18	0	0	0.0
2023	4	19	0	0	1.68
2023	4	20	0	0	0.0
2023	4	21	0	0	0.0
2023	4	22	0	0	0.42
2023	4	23	0	0	3.72
2023	4	24	0	0	0.74
2023	4	25	0	0	7.29
2023	4	26	0	0	0.07
2023	4	27	0	0	0.0
2023	4	28	0	0	20.07
2023	4	29	0	0	0.0
2023	4	30	0	0	0.0
2023	5	1	0	0	4.06
2023	5	2	0	0	0.0
2023	5	3	0	0	0.0
2023	5	4	0	0	0.0
2023	5	5	0	0	15.6
2023	5	6	0	0	0.0
2023	5	7	0	0	4.88
2023	5	8	0	0	5.47
2023	5	9	0	0	13.91
2023	5	10	0	0	1.61
2023	5	11	0	0	4.56
2023	5	12	0	0	0.9
2023	5	13	0	0	0.39
2023	5	14	0	0	2.45
2023	5	15	0	0	0.18
2023	5	16	0	0	11.89
2023	5	17	0	0	0.0
2023	5	18	0	0	0.0
2023	5	19	0	0	0.0
2023	5	20	0	0	0.0
2023	5	21	0	0	2.97
2023	5	22	0	0	0.0
2023	5	23	0	0	0.0
2023	5	24	0	0	0.0
2023	5	25	0	0	0.0
2023	5	26	0	0	0.0
2023	5	27	0	0	0.0
2023	5	28	0	0	0.0
2023	5	29	0	0	0.0
2023	5	30	0	0	0.0
2023	5	31	0	0	0.0
2023	6	1	0	0	0.0
2023	6	2	0	0	0.0
2023	6	3	0	0	0.0
2023	6	4	0	0	0.0
2023	6	5	0	0	0.0
2023	6	6	0	0	0.0
2023	6	7	0	0	0.0
2023	6	8	0	0	0.0
2023	6	9	0	0	0.0
2023	6	10	0	0	0.0
2023	6	11	0	0	0.0
2023	6	12	0	0	0.0
2023	6	13	0	0	0.0
2023	6	14	0	0	0.0
2023	6	15	0	0	0.0
2023	6	16	0	0	0.0
2023	6	17	0	0	0.0
2023	6	18	0	0	0.0
