YYYY	MM	DD	hh	mm	TA
2000	1	1	0	0	-2.2
2000	1	2	0	0	0.6
2000	1	3	0	0	0.1
2000	1	4	0	0	-1.3
2000	1	5	0	0	0.2
2000	1	6	0	0	0.3
2000	1	7	0	0	-0.6
2000	1	8	0	0	-2.2
2000	1	9	0	0	-0.4
2000	1	10	0	0	-3.5
2000	1	11	0	0	-3.9
2000	1	12	0	0	-1.5
2000	1	13	0	0	-4.5
2000	1	14	0	0	-3.4
2000	1	15	0	0	-5.5
2000	1	16	0	0	-7.0
2000	1	17	0	0	-2.8
2000	1	18	0	0	-3.3
2000	1	19	0	0	-8.0
2000	1	20	0	0	-7.9
2000	1	21	0	0	-5.7
2000	1	22	0	0	-5.8
2000	1	23	0	0	-6.4
2000	1	24	0	0	-13.8
2000	1	25	0	0	-11.3
2000	1	26	0	0	-4.3
2000	1	27	0	0	-4.6
2000	1	28	0	0	-4.6
2000	1	29	0	0	-1.4
2000	1	30	0	0	1.1
2000	1	31	0	0	1.8
2000	2	1	0	0	4.6
2000	2	2	0	0	1.2
2000	2	3	0	0	0.3
2000	2	4	0	0	-0.7
2000	2	5	0	0	6.5
2000	2	6	0	0	3.2
2000	2	7	0	0	-1.3
2000	2	8	0	0	2.7
2000	2	9	0	0	-4.6
2000	2	10	0	0	0.0
2000	2	11	0	0	-4.6
2000	2	12	0	0	-6.6
2000	2	13	0	0	-2.2
2000	2	14	0	0	-1.7
2000	2	15	0	0	-0.7
2000	2	16	0	0	-6.0
2000	2	17	0	0	-7.7
2000	2	18	0	0	-3.0
2000	2	19	0	0	-3.7
2000	2	20	0	0	-7.2
2000	2	21	0	0	-6.4
2000	2	22	0	0	-5.8
2000	2	23	0	0	-4.8
2000	2	24	0	0	-1.0
2000	2	25	0	0	-0.2
2000	2	26	0	0	-0.9
2000	2	27	0	0	2.8
2000	2	28	0	0	3.6
2000	2	29	0	0	-1.1
2000	3	1	0	0	-3.5
2000	3	2	0	0	-6.0
2000	3	3	0	0	-2.4
2000	3	4	0	0	-5.2
2000	3	5	0	0	-8.0
2000	3	6	0	0	-2.8
2000	3	7	0	0	-0.7
2000	3	8	0	0	0.7
2000	3	9	0	0	0.7
2000	3	10	0	0	0.6
2000	3	11	0	0	0.0
2000	3	12	0	0	0.4
2000	3	13	0	0	2.3
2000	3	14	0	0	1.5
2000	3	15	0	0	-0.4
2000	3	16	0	0	-2.3
2000	3	17	0	0	-1.1
2000	3	18	0	0	-1.6
2000	3	19	0	0	-2.8
2000	3	20	0	0	-0.5
2000	3	21	0	0	1.8
2000	3	22	0	0	4.8
2000	3	23	0	0	5.8
2000	3	24	0	0	1.6
2000	3	25	0	0	2.5
2000	3	26	0	0	-2.4
2000	3	27	0	0	-3.8
2000	3	28	0	0	-3.1
2000	3	29	0	0	-3.3
2000	3	30	0	0	-4.0
2000	3	31	0	0	-1.5
2000	4	1	0	0	-2.6
2000	4	2	0	0	2.0
2000	4	3	0	0	6.6
2000	4	4	0	0	2.6
2000	4	5	0	0	0.0
2000	4	6	0	0	-5.0
2000	4	7	0	0	-2.0
2000	4	8	0	0	2.2
2000	4	9	0	0	2.8
2000	4	10	0	0	1.8
2000	4	11	0	0	0.2
2000	4	12	0	0	-0.4
2000	4	13	0	0	-1.0
2000	4	14	0	0	5.1
2000	4	15	0	0	0.2
2000	4	16	0	0	3.2
2000	4	17	0	0	0.2
2000	4	18	0	0	0.2
2000	4	19	0	0	2.9
2000	4	20	0	0	6.7
2000	4	21	0	0	9.6
2000	4	22	0	0	13.4
2000	4	23	0	0	6.5
2000	4	24	0	0	1.9
2000	4	25	0	0	6.7
2000	4	26	0	0	12.3
2000	4	27	0	0	12.0
2000	4	28	0	0	7.4
2000	4	29	0	0	5.3
2000	4	30	0	0	8.0
2000	5	1	0	0	8.8
2000	5	2	0	0	9.0
2000	5	3	0	0	9.7
2000	5	4	0	0	9.6
2000	5	5	0	0	10.1
2000	5	6	0	0	10.3
2000	5	7	0	0	11.4
2000	5	8	0	0	10.6
2000	5	9	0	0	13.6
2000	5	10	0	0	15.0
2000	5	11	0	0	13.7
2000	5	12	0	0	8.2
2000	5	13	0	0	9.1
2000	5	14	0	0	11.0
2000	5	15	0	0	14.1
2000	5	16	0	0	15.1
2000	5	17	0	0	11.1
2000	5	18	0	0	6.6
2000	5	19	0	0	4.1
2000	5	20	0	0	2.4
2000	5	21	0	0	2.2
2000	5	22	0	0	1.9
2000	5	23	0	0	7.0
2000	5	24	0	0	10.1
2000	5	25	0	0	7.8
2000	5	26	0	0	10.9
2000	5	27	0	0	7.5
2000	5	28	0	0	4.1
2000	5	29	0	0	4.6
2000	5	30	0	0	5.1
2000	5	31	0	0	5.6
2000	6	1	0	0	11.0
2000	6	2	0	0	15.5
2000	6	3	0	0	17.2
2000	6	4	0	0	15.5
2000	6	5	0	0	12.3
2000	6	6	0	0	4.7
