YYYY	MM	DD	hh	mm	TA	TA_min	TA_max
2023	1	1	0	0	14.0	7.0	19.5
2023	1	2	0	0	12.0	7.0	16.8
2023	1	3	0	0	7.1	0.6	11.1
2023	1	4	0	0	8.4	-0.4	11.2
2023	1	5	0	0	11.8	7.5	13.6
2023	1	6	0	0	9.1	4.4	12.6
2023	1	7	0	0	9.2	2.6	14.5
2023	1	8	0	0	9.0	4.2	10.8
2023	1	9	0	0	7.2	5.0	10.5
2023	1	10	0	0	6.6	4.4	9.3
2023	1	11	0	0	10.2	8.2	12.3
2023	1	12	0	0	9.9	8.1	11.8
2023	1	13	0	0	9.6	6.5	12.0
2023	1	14	0	0	10.2	6.3	14.1
2023	1	15	0	0	8.4	5.2	14.0
2023	1	16	0	0	6.1	4.0	8.3
2023	1	17	0	0	2.7	0.0	4.5
2023	1	18	0	0	0.7	-1.9	4.1
2023	1	19	0	0	-0.1	-3.4	2.7
2023	1	20	0	0	0.3	-2.2	3.1
2023	1	21	0	0	-1.5	-6.0	1.8
2023	1	22	0	0	0.0	-1.2	1.4
2023	1	23	0	0	1.8	-0.4	3.6
2023	1	24	0	0	3.6	2.0	6.2
2023	1	25	0	0	2.2	0.9	3.7
2023	1	26	0	0	0.0	-1.1	0.9
2023	1	27	0	0	0.0	-1.3	1.7
2023	1	28	0	0	2.0	0.6	4.7
2023	1	29	0	0	0.2	-3.6	3.7
2023	1	30	0	0	1.7	-4.1	3.7
2023	1	31	0	0	2.4	-4.1	6.3
2023	2	1	0	0	5.5	4.1	7.0
2023	2	2	0	0	6.1	5.0	7.7
2023	2	3	0	0	7.0	5.5	8.5
2023	2	4	0	0	5.5	-0.4	8.8
2023	2	5	0	0	2.3	-2.4	4.8
2023	2	6	0	0	2.6	-0.3	6.0
2023	2	7	0	0	1.0	-3.6	4.5
2023	2	8	0	0	-1.1	-6.2	4.4
2023	2	9	0	0	-1.6	-7.5	6.5
2023	2	10	0	0	-0.6	-6.5	6.3
2023	2	11	0	0	0.9	-5.2	9.7
2023	2	12	0	0	2.3	-4.3	11.3
2023	2	13	0	0	2.0	-3.1	8.6
2023	2	14	0	0	-0.2	-2.5	2.4
2023	2	15	0	0	0.9	-1.8	7.8
2023	2	16	0	0	7.7	-2.8	14.9
2023	2	17	0	0	12.0	10.5	13.5
2023	2	18	0	0	12.9	11.4	15.1
2023	2	19	0	0	10.6	7.6	12.3
2023	2	20	0	0	8.0	0.6	16.2
2023	2	21	0	0	7.7	-0.8	17.3
2023	2	22	0	0	8.0	-0.5	13.7
2023	2	23	0	0	10.1	3.3	14.8
2023	2	24	0	0	7.5	2.0	11.1
2023	2	25	0	0	5.0	1.9	7.3
2023	2	26	0	0	0.7	-2.8	2.6
2023	2	27	0	0	1.9	-0.1	4.6
2023	2	28	0	0	0.6	-4.1	4.4
2023	3	1	0	0	1.1	-4.8	7.9
2023	3	2	0	0	1.8	-1.7	5.5
2023	3	3	0	0	2.3	-3.0	7.9
2023	3	4	0	0	0.8	-3.4	7.7
2023	3	5	0	0	2.1	-3.5	6.7
2023	3	6	0	0	4.1	1.6	6.5
2023	3	7	0	0	5.2	3.9	8.0
2023	3	8	0	0	9.4	3.8	13.8
2023	3	9	0	0	12.6	9.4	15.8
2023	3	10	0	0	9.3	4.1	12.0
2023	3	11	0	0	3.8	-0.4	6.9
2023	3	12	0	0	9.7	0.4	14.3
2023	3	13	0	0	15.6	9.9	22.8
2023	3	14	0	0	9.8	3.8	12.6
2023	3	15	0	0	4.9	-1.9	10.4
2023	3	16	0	0	6.0	-1.8	14.5
2023	3	17	0	0	10.7	0.8	19.0
2023	3	18	0	0	13.9	8.1	18.3
2023	3	19	0	0	11.9	6.0	14.7
2023	3	20	0	0	9.5	4.5	13.9
2023	3	21	0	0	10.6	1.8	16.6
2023	3	22	0	0	13.7	4.2	19.7
2023	3	23	0	0	15.7	11.7	17.7
2023	3	24	0	0	13.0	10.0	18.3
2023	3	25	0	0	10.6	7.6	13.5
2023	3	26	0	0	9.9	6.2	13.9
2023	3	27	0	0	5.7	2.1	8.2
2023	3	28	0	0	6.5	-1.5	11.9
2023	3	29	0	0	15.3	8.1	19.9
2023	3	30	0	0	14.9	11.3	19.4
2023	3	31	0	0	12.3	9.1	15.6
2023	4	1	0	0	9.8	8.0	12.3
2023	4	2	0	0	9.3	5.6	14.7
2023	4	3	0	0	5.7	1.6	8.2
2023	4	4	0	0	4.4	-2.5	10.5
2023	4	5	0	0	4.5	-2.2	11.3
2023	4	6	0	0	6.9	-2.4	13.2
2023	4	7	0	0	7.7	5.2	10.2
2023	4	8	0	0	8.5	3.1	13.1
2023	4	9	0	0	10.3	1.1	16.5
2023	4	10	0	0	12.0	1.3	18.2
2023	4	11	0	0	12.1	8.6	16.0
2023	4	12	0	0	10.8	7.8	15.2
2023	4	13	0	0	8.2	3.4	12.0
2023	4	14	0	0	8.7	0.4	15.4
2023	4	15	0	0	10.3	5.7	15.1
2023	4	16	0	0	8.7	7.9	10.8
2023	4	17	0	0	10.2	7.9	14.4
2023	4	18	0	0	10.0	4.6	16.0
2023	4	19	0	0	9.5	5.0	13.9
2023	4	20	0	0	7.5	1.2	12.6
2023	4	21	0	0	8.7	-0.9	16.0
2023	4	22	0	0	14.0	5.4	21.3
2023	4	23	0	0	14.5	11.4	20.5
2023	4	24	0	0	11.9	10.3	14.6
2023	4	25	0	0	8.8	6.0	12.4
2023	4	26	0	0	9.5	4.0	14.3
2023	4	27	0	0	14.1	8.4	20.2
2023	4	28	0	0	15.6	11.9	20.5
2023	4	29	0	0	14.2	11.2	18.6
2023	4	30	0	0	14.5	8.6	18.8
