CLUST_ID;SHP_ID;CLUST_flag
5-8;2090295;1
5-8;434223;2
5-8;1546689;2
5-8;2090296;2
5-19;961524;1
5-19;3570956;2
5-19;1531299;2
5-19;427315;2
5-10;748521;1
5-10;700719;2
5-10;975980;2
5-10;63425;2
5-17;1470650;1
5-17;2369738;2
5-17;506859;2
5-17;1452853;2
5-14;3441430;1
5-14;3622664;2
5-14;2281155;2
5-14;156935;2
5-5;958342;1
5-5;359306;2
5-5;3732813;2
5-5;1111855;2
5-1;3547261;1
5-1;2079020;2
5-1;1237658;2
5-1;1884619;2
5-7;568120;1
5-7;100326;2
5-7;583398;2
5-7;4267290;2
5-12;2150363;1
5-12;978582;2
5-12;1874142;2
5-12;412035;2
5-3;4262994;1
5-3;3056180;2
5-3;1221270;2
5-3;2068389;2
5-4;3468432;1
5-4;4785114;2
5-4;1323159;2
5-4;2368211;2
5-2;2528766;1
5-2;167907;2
5-2;1031163;2
5-2;2811295;2
5-9;4857776;1
5-9;4827317;2
5-9;63352;2
5-9;739147;2
5-16;2072339;1
5-16;201649;2
5-16;604130;2
5-16;3576445;2
5-11;427086;1
5-11;1503793;2
5-11;1716712;2
5-11;4702379;2
5-18;2105608;1
5-18;1063594;2
5-18;1273510;2
5-18;1266252;2
5-6;1246667;1
5-6;2063941;2
5-6;1246984;2
5-6;426252;2
5-13;1544499;1
5-13;35232;2
5-13;1191516;2
5-13;526823;2
5-20;2283681;1
5-20;505699;2
5-20;1081124;2
5-20;1028562;2
5-15;3177732;1
5-15;1004222;2
5-15;3023129;2
5-15;3740110;2
