YYYY	MM	DD	hh	mm	TA	TA_min	TA_max
2016	1	1	0	0	-2.03545144665646	-3.59035254665646	-0.9591575166564601
2016	1	2	0	0	-3.75487409212721	-4.79338739212721	-1.99291120212721
2016	1	3	0	0	-3.79498819993176	-5.03262859993176	-1.6385245699317603
2016	1	4	0	0	-1.06854912093928	-3.61505789093928	0.8433161090607202
2016	1	5	0	0	-0.541835260890986	-1.7633623608909859	0.6228986391090141
2016	1	6	0	0	-0.42544871179338	-2.03082591179338	1.35781541820662
2016	1	7	0	0	-1.70315005840911	-3.98855042840911	0.32333917159089
2016	1	8	0	0	-3.2795985229360096	-7.46288712293601	-0.8594935829360099
2016	1	9	0	0	-2.40619576404215	-5.01581486404215	-1.3012152540421498
2016	1	10	0	0	-5.84598866337624	-8.00196406337624	-4.422191063376241
2016	1	11	0	0	-4.7141640660863	-5.822135266086301	-3.0721656660863004
2016	1	12	0	0	-4.07682444392183	-5.60065874392183	-2.52595174392183
2016	1	13	0	0	-3.56918494930066	-7.076265049300661	-1.8711258993006603
2016	1	14	0	0	-6.094268424056589	-7.417815924056589	-4.2412107240565895
2016	1	15	0	0	-5.418467751523969	-8.018016051523968	-3.1962997515239686
2016	1	16	0	0	-3.90663146437981	-5.22267146437981	-2.6366118643798107
2016	1	17	0	0	-5.1873731358299295	-8.10671513582993	-2.9074048358299294
2016	1	18	0	0	-6.966116389810031	-9.85362898981003	-4.34044498981003
2016	1	19	0	0	-8.997193879104302	-11.207063179104303	-6.405610579104302
2016	1	20	0	0	-3.21641359049967	-8.18675049049967	3.1851978095003304
2016	1	21	0	0	3.25864050931355	1.3489725093135503	9.12338650931355
2016	1	22	0	0	7.54758086038215	0.4471170303821502	10.17007856038215
2016	1	23	0	0	0.518802371256503	-0.574123658743497	2.537296071256503
2016	1	24	0	0	8.164543084847809	2.6052778848478084	10.728935384847809
2016	1	25	0	0	11.8097626260516	8.456613626051599	14.9040926260516
2016	1	26	0	0	6.33526909666417	4.5774870966641705	8.155215396664172
2016	1	27	0	0	7.42086942621215	3.707917826212148	9.417542826212149
2016	1	28	0	0	5.131091442713269	2.732226642713269	8.173601942713269
2016	1	29	0	0	2.70955599870381	0.45207919870380997	4.84569489870381
2016	1	30	0	0	0.704159403207597	-1.191287396792403	7.737545803207597
2016	1	31	0	0	8.497718370786611	5.401405370786611	9.76840937078661
2016	2	1	0	0	4.2131854484502504	-0.37919130154975034	5.16978944845025
2016	2	2	0	0	-1.09011216245646	-2.0378660624564597	-0.31380600245645995
2016	2	3	0	0	-2.38208640445516	-3.9547487044551604	-1.3673768844551601
2016	2	4	0	0	-3.5968174919573395	-4.676590291957339	-2.0017246119573393
2016	2	5	0	0	-4.8714234868682995	-7.3527772868682995	-3.3220460868682995
2016	2	6	0	0	-4.75687856215992	-9.18488756215992	-3.04401846215992
2016	2	7	0	0	-8.869315523303301	-11.093497523303302	-6.334525723303301
2016	2	8	0	0	-3.1169192172332	-6.1026982172332	1.3407223827668
2016	2	9	0	0	4.140776946322419	2.3653557463224195	7.62860024632242
2016	2	10	0	0	5.58945687212357	3.4142552721235706	10.01783187212357
2016	2	11	0	0	3.8593622821463103	0.7885309821463102	6.61360448214631
2016	2	12	0	0	3.01293730367973	0.11422520367972949	7.89205710367973
2016	2	13	0	0	3.75190293904841	0.5789903090484101	7.595469839048411
2016	2	14	0	0	3.58375642877268	0.9377908287726799	7.79280192877268
2016	2	15	0	0	2.8787383551465897	-0.3464203448534101	5.82124335514659
2016	2	16	0	0	0.350206988161045	-2.120587711838955	2.342302988161045
2016	2	17	0	0	-1.79971231661285	-3.68264687661285	1.18771432338715
2016	2	18	0	0	-1.23591334535557	-2.68040191135557	-0.06647971135556996
2016	2	19	0	0	-2.4490898649088098	-3.83892136490881	-0.4713676649088099
2016	2	20	0	0	-2.6399431085767597	-4.11986250857676	-0.21980760857675974
2016	2	21	0	0	-2.7969566602043	-5.2065025202043	0.5110876797957
2016	2	22	0	0	0.239260728710305	-2.070950471289695	3.9069243287103053
2016	2	23	0	0	3.1979796063647004	0.4009824063647006	8.2849241063647
2016	2	24	0	0	2.12008078399402	0.74563008399402	4.19521508399402
2016	2	25	0	0	4.26776906795304	1.0550615379530397	9.205299567953041
2016	2	26	0	0	6.29223387335305	1.5916111733530496	12.234524873353049
2016	2	27	0	0	9.03795375193421	4.1224570519342105	15.11159275193421
2016	2	28	0	0	8.01740471267829	4.428598612678292	10.835153712678292
2016	2	29	0	0	6.68532468440133	2.7440404844013306	8.58754608440133
2016	3	1	0	0	5.450428512165071	0.9436535121650707	12.027210812165071
2016	3	2	0	0	4.92225506642107	0.8714434664210701	9.63798406642107
2016	3	3	0	0	4.95650027685395	3.7278930768539507	6.20088507685395
2016	3	4	0	0	6.65772288438228	3.1397783843822804	10.676093884382281
2016	3	5	0	0	6.06535869729038	1.4876914972903803	11.13017799729038
2016	3	6	0	0	4.9387853977530005	1.965885097753001	7.821171097753
2016	3	7	0	0	4.35105143532781	1.0327529853278103	8.12052143532781
2016	3	8	0	0	4.5190396377081	0.8237880377080995	8.555416637708099
2016	3	9	0	0	8.278902325553089	5.393404625553089	11.05942032555309
2016	3	10	0	0	7.54919668806837	4.890230688068369	9.414400288068368
2016	3	11	0	0	6.86240926071602	2.6393868607160194	11.139325860716019
2016	3	12	0	0	5.74093981743698	0.8736913174369799	12.00638181743698
2016	3	13	0	0	4.9150424707616205	0.8138461707616207	9.95978087076162
2016	3	14	0	0	7.26417278105397	2.56367238105397	13.52894358105397
2016	3	15	0	0	7.3001481869154	1.9882584869154003	14.1933365869154
2016	3	16	0	0	5.31581611240335	1.8226520124033503	10.094685512403352
2016	3	17	0	0	6.873906984578411	2.734533284578411	10.681219284578411
2016	3	18	0	0	8.20460076054518	5.88901846054518	10.02027416054518
2016	3	19	0	0	7.3009282805710995	3.8673649805710997	11.270623980571099
2016	3	20	0	0	10.6310828942052	4.693796094205201	17.1051428942052
2016	3	21	0	0	9.11873385952916	5.101002859529159	12.852894859529158
2016	3	22	0	0	7.330594553571411	2.736905553571412	9.850675153571412
2016	3	23	0	0	2.24166898327119	-0.8200070767288097	6.000397183271191
