YYYY	MM	DD	hh	mm	PREC
2013	1	1	0	0	0.35
2013	1	2	0	0	0.0
2013	1	3	0	0	1.21
2013	1	4	0	0	1.61
2013	1	5	0	0	4.9
2013	1	6	0	0	0.85
2013	1	7	0	0	0.0
2013	1	8	0	0	0.0
2013	1	9	0	0	1.28
2013	1	10	0	0	0.68
2013	1	11	0	0	0.29
2013	1	12	0	0	0.98
2013	1	13	0	0	0.0
2013	1	14	0	0	0.9
2013	1	15	0	0	0.43
2013	1	16	0	0	7.24
2013	1	17	0	0	4.81
2013	1	18	0	0	0.0
2013	1	19	0	0	0.11
2013	1	20	0	0	2.47
2013	1	21	0	0	2.89
2013	1	22	0	0	1.11
2013	1	23	0	0	0.34
2013	1	24	0	0	0.0
2013	1	25	0	0	0.0
2013	1	26	0	0	0.22
2013	1	27	0	0	1.72
2013	1	28	0	0	0.0
2013	1	29	0	0	21.21
2013	1	30	0	0	6.78
2013	1	31	0	0	0.0
2013	2	1	0	0	19.27
2013	2	2	0	0	5.13
2013	2	3	0	0	4.41
2013	2	4	0	0	6.17
2013	2	5	0	0	2.79
2013	2	6	0	0	3.76
2013	2	7	0	0	11.3
2013	2	8	0	0	3.37
2013	2	9	0	0	0.54
2013	2	10	0	0	0.0
2013	2	11	0	0	0.0
2013	2	12	0	0	0.0
2013	2	13	0	0	0.0
2013	2	14	0	0	0.0
2013	2	15	0	0	1.19
2013	2	16	0	0	2.29
2013	2	17	0	0	0.11
2013	2	18	0	0	0.0
2013	2	19	0	0	5.03
2013	2	20	0	0	0.18
2013	2	21	0	0	0.0
2013	2	22	0	0	0.13
2013	2	23	0	0	0.89
2013	2	24	0	0	2.59
2013	2	25	0	0	2.23
2013	2	26	0	0	0.91
2013	2	27	0	0	0.0
2013	2	28	0	0	0.0
2013	3	1	0	0	0.0
2013	3	2	0	0	0.0
2013	3	3	0	0	0.0
2013	3	4	0	0	0.0
2013	3	5	0	0	0.0
2013	3	6	0	0	0.0
2013	3	7	0	0	1.14
2013	3	8	0	0	0.95
2013	3	9	0	0	6.36
2013	3	10	0	0	0.22
2013	3	11	0	0	1.37
2013	3	12	0	0	7.39
2013	3	13	0	0	0.2
2013	3	14	0	0	0.62
