CLUST_ID,SHP_ID,CLUST_flag,KS_OB,KS_UB,KS_GEO,LK_OB,LK_UB,NFK,PWP,SL_mean,GWFA,GRUND,MPD_V,Baeume,SRF,Lanu_RoGeR,VERS,MPD_H,MPL_V,MULDE,M_OB,BOD_NAT
5-8,2090295,1,2.08,2.08,0.7,7,7,10,26,7,952,80,96,0,102.93,5,0,125,30,0,30,2.0
5-8,434223,2,4.17,4.17,0.7,7,7,12,25,5,926,80,97,0,99.9,5,0,125,30,0,30,2.0
5-8,1546689,2,0.83,0.83,0.7,5,5,10,26,5,7948,100,92,0,103.78,5,0,125,30,0,30,2.0
5-8,2090296,2,2.08,2.08,0.7,7,7,10,26,12,929,80,96,0,96.63,5,0,125,30,0,30,2.0
5-19,961524,1,10.42,10.42,0.7,10,10,13,19,5,3493,120,87,0,103.32,5,0,125,30,0,30,2.5
5-19,3570956,2,10.42,10.42,0.7,10,10,16,16,5,980,120,83,0,98.59,5,0,125,30,0,30,3.5
5-19,1531299,2,10.42,10.42,0.7,10,10,12,21,3,6862,120,92,0,101.49,5,0,125,30,0,30,2.5
5-19,427315,2,6.25,6.25,0.7,10,10,12,19,6,7702,120,91,0,100.89,5,0,125,30,0,30,2.0
5-10,748521,1,4.17,4.17,65.5,10,7,10,15,5,13223,150,96,0,103.11,5,0,125,30,0,30,2.0
5-10,700719,2,0.83,0.83,65.5,10,7,10,18,4,1360,150,94,0,102.08,5,0,125,30,0,30,2.0
5-10,975980,2,10.42,6.25,70.6,10,8,13,14,5,2170,150,93,0,103.36,5,0,125,30,0,30,2.5
5-10,63425,2,4.17,2.08,65.5,10,5,12,17,5,2528,150,85,0,102.23,5,0,125,30,0,30,2.5
5-17,1470650,1,4.17,4.17,65.5,10,7,12,18,14,1627,120,85,0,101.87,5,0,125,30,0,30,2.5
5-17,2369738,2,10.42,6.25,65.5,10,8,13,14,13,990,150,92,0,105.86,5,0,125,30,0,30,2.5
5-17,506859,2,2.08,2.08,65.5,10,5,11,21,15,4068,120,96,0,104.51,5,0,125,30,0,30,2.0
5-17,1452853,2,4.17,4.17,65.5,8,8,11,17,14,6460,80,90,0,105.61,5,0,125,30,0,30,2.0
5-14,3441430,1,2.08,2.08,65.5,10,5,13,26,6,3976,80,96,0,103.68,5,0,125,30,0,30,2.0
5-14,3622664,2,4.17,4.17,65.5,7,7,14,25,5,4112,70,93,0,100.98,5,0,125,30,0,30,2.0
5-14,2281155,2,2.08,2.08,65.5,10,3,13,25,4,975,80,96,0,102.98,5,0,125,30,0,30,2.0
5-14,156935,2,2.08,2.08,65.5,10,5,13,26,10,4615,80,96,0,105.42,5,0,125,30,0,30,2.0
5-5,958342,1,6.25,6.25,0.7,10,10,15,17,13,3346,150,85,0,103.02,5,0,125,30,0,30,3.5
5-5,359306,2,10.42,10.42,0.7,10,10,13,16,18,4639,120,87,0,104.24,5,0,125,30,0,30,2.5
5-5,3732813,2,10.42,10.42,0.7,10,10,16,15,12,962,150,83,0,94.54,5,0,125,30,0,30,3.5
5-5,1111855,2,4.17,4.17,0.7,10,10,13,17,12,3864,150,89,0,105.71,5,0,125,30,0,30,2.5
5-1,3547261,1,4.17,4.17,0.7,10,10,15,17,4,954,150,85,0,99.59,5,0,125,30,0,30,3.0
5-1,2079020,2,4.17,4.17,0.7,10,10,15,16,4,969,150,86,0,100.61,5,0,125,30,0,30,3.0
5-1,1237658,2,4.17,4.17,0.7,7,7,14,17,4,980,150,86,0,102.43,5,0,125,30,0,30,3.0
5-1,1884619,2,0.83,0.83,0.7,10,10,14,17,4,1302,150,84,0,100.82,5,0,125,30,0,30,2.0
5-7,568120,1,41.67,41.67,65.5,18,18,11,11,2,500,120,78,0,101.54,5,0,125,30,0,30,2.0
5-7,100326,2,29.17,29.17,65.5,15,15,13,8,2,281,150,74,0,101.24,5,0,125,30,0,30,2.5
5-7,583398,2,29.17,29.17,65.5,15,15,13,8,2,787,150,74,0,100.52,5,0,125,30,0,30,2.5
5-7,4267290,2,125.0,125.0,65.5,22,22,10,5,2,454,150,77,0,100.5,5,0,125,30,0,30,2.5
5-12,2150363,1,2.08,2.08,0.7,7,7,11,22,3,177,130,90,0,101.38,5,0,125,30,0,30,2.5
5-12,978582,2,4.17,4.17,0.7,7,7,13,20,4,159,150,85,0,101.0,5,0,125,30,0,30,2.5
5-12,1874142,2,2.08,2.08,0.7,7,7,10,26,5,225,80,97,0,100.94,5,0,125,30,0,30,2.0
5-12,412035,2,0.83,0.83,0.7,10,10,13,21,4,201,150,87,0,101.6,5,0,125,30,0,30,1.5
5-3,4262994,1,10.42,10.42,0.7,10,10,17,15,3,188,140,79,0,100.07,5,0,125,30,0,30,1.5
5-3,3056180,2,10.42,10.42,0.7,10,10,16,16,3,134,150,83,0,99.68,5,0,125,30,0,30,3.5
5-3,1221270,2,10.42,10.42,0.7,10,10,16,16,3,141,100,86,0,101.5,5,0,125,30,0,30,2.5
5-3,2068389,2,10.42,10.42,0.7,10,10,16,15,4,411,150,82,0,100.25,5,0,125,30,0,30,3.5
5-4,3468432,1,10.42,10.42,65.5,10,10,17,13,3,276,120,82,0,99.63,5,0,125,30,0,30,3.5
