;;;[-]
CLUST_ID;SHP_ID;CLUST_flag;clay
5-8;2090295;1;0.061507831
5-8;434223;2;0.054692906
5-8;1546689;2;0.028258111
5-8;2090296;2;0.061507831
5-19;961524;1;0.103076184
5-19;3570956;2;0.091944941
5-19;1531299;2;0.107371541
5-19;427315;2;0.107371541
5-10;748521;1;0.08861742
5-10;700719;2;0.08861742
5-10;975980;2;0.08530981
5-10;63425;2;0.063042043
5-17;1470650;1;0.080299434
5-17;2369738;2;0.08530981
5-17;506859;2;0.066532948
5-17;1452853;2;0.07531728
5-14;3441430;1;0.059850976
5-14;3622664;2;0.04902802
5-14;2281155;2;0.04383554
5-14;156935;2;0.059850976
5-5;958342;1;0.095395165
5-5;359306;2;0.103076184
5-5;3732813;2;0.091944941
5-5;1111855;2;0.103076184
5-1;3547261;1;0.095395165
5-1;2079020;2;0.095395165
5-1;1237658;2;0.04902802
5-1;1884619;2;0.09909566
5-7;568120;1;0.274262206
5-7;100326;2;0.198659168
5-7;583398;2;0.198659168
5-7;4267290;2;0.36947701
5-12;2150363;1;0.05793472
5-12;978582;2;0.051736543
5-12;1874142;2;0.061507831
5-12;412035;2;0.103076184
5-3;4262994;1;0.088719368
5-3;3056180;2;0.091944941
5-3;1221270;2;0.091944941
5-3;2068389;2;0.091944941
5-4;3468432;1;0.088719368
5-4;4785114;2;0.103076184
5-4;1323159;2;0.117002962
5-4;2368211;2;0.08530981
5-2;2528766;1;0.126077959
5-2;167907;2;0.119207524
5-2;1031163;2;0.09909566
5-2;2811295;2;0.112926572
5-9;4857776;1;0.066532948
5-9;4827317;2;0.063042043
5-9;63352;2;0.063042043
5-9;739147;2;0.089177914
5-16;2072339;1;0.091944941
5-16;201649;2;0.156613145
5-16;604130;2;0.091944941
5-16;3576445;2;0.091944941
5-11;427086;1;0.095395165
5-11;1503793;2;0.095395165
5-11;1716712;2;0.09909566
5-11;4702379;2;0.112022723
5-18;2105608;1;0.107371541
5-18;1063594;2;0.09909566
5-18;1273510;2;0.119207524
5-18;1266252;2;0.107371541
5-6;1246667;1;0.16440763
5-6;2063941;2;0.16440763
5-6;1246984;2;0.16440763
5-6;426252;2;0.187450872
5-13;1544499;1;0.140136288
5-13;35232;2;0.107371541
5-13;1191516;2;0.150703676
5-13;526823;2;0.119207524
5-20;2283681;1;0.117002962
5-20;505699;2;0.135389529
5-20;1081124;2;0.112022723
5-20;1028562;2;0.117002962
5-15;3177732;1;0.09841885
5-15;1004222;2;0.114122336
5-15;3023129;2;0.068847824
5-15;3740110;2;0.15351082
