[-];[-];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year]
alpha_transp;alpha_q;km_denit;km_nit;kmin;dmax_denit;dmax_nit;kngl;kdep
0.6354519;0.7484911;3.382293;9.943834;29.778019;33.50397;30.11123;79.18731;15.429724
0.6079263;0.7484911;3.382293;9.943834;29.778019;33.50397;30.11123;79.18731;15.429724
0.6354519;0.9705655;3.382293;9.943834;29.778019;33.50397;30.11123;79.18731;15.429724
0.6354519;0.7484911;14.077866;9.943834;29.778019;33.50397;30.11123;79.18731;15.429724
0.6354519;0.7484911;3.382293;4.3823543;29.778019;33.50397;30.11123;79.18731;15.429724
0.6354519;0.7484911;3.382293;9.943834;25.679226;33.50397;30.11123;79.18731;15.429724
0.6354519;0.7484911;3.382293;9.943834;29.778019;43.06926;30.11123;79.18731;15.429724
0.6354519;0.7484911;3.382293;9.943834;29.778019;33.50397;16.560553;79.18731;15.429724
0.6354519;0.7484911;3.382293;9.943834;29.778019;33.50397;30.11123;61.912876;15.429724
0.6354519;0.7484911;3.382293;9.943834;29.778019;33.50397;30.11123;79.18731;18.51245
0.6079263;0.9705655;14.077866;4.3823543;25.679226;43.06926;16.560553;61.912876;18.51245
0.18900721;0.16735135;19.375414;15.657129;11.114484;28.938578;22.624725;41.70266;5.4341316
0.25909805;0.16735135;19.375414;15.657129;11.114484;28.938578;22.624725;41.70266;5.4341316
0.18900721;0.20279104;19.375414;15.657129;11.114484;28.938578;22.624725;41.70266;5.4341316
0.18900721;0.16735135;2.850926;15.657129;11.114484;28.938578;22.624725;41.70266;5.4341316
0.18900721;0.16735135;19.375414;16.04313;11.114484;28.938578;22.624725;41.70266;5.4341316
0.18900721;0.16735135;19.375414;15.657129;19.989735;28.938578;22.624725;41.70266;5.4341316
0.18900721;0.16735135;19.375414;15.657129;11.114484;24.897303;22.624725;41.70266;5.4341316
0.18900721;0.16735135;19.375414;15.657129;11.114484;28.938578;47.8542;41.70266;5.4341316
0.18900721;0.16735135;19.375414;15.657129;11.114484;28.938578;22.624725;15.340964;5.4341316
0.18900721;0.16735135;19.375414;15.657129;11.114484;28.938578;22.624725;41.70266;1.6942201
0.25909805;0.20279104;2.850926;16.04313;19.989735;24.897303;47.8542;15.340964;1.6942201
0.36357185;0.8222885;8.879439;5.9147305;16.360075;11.708107;41.022236;28.553371;14.385328
0.51400995;0.8222885;8.879439;5.9147305;16.360075;11.708107;41.022236;28.553371;14.385328
0.36357185;0.45011497;8.879439;5.9147305;16.360075;11.708107;41.022236;28.553371;14.385328
0.36357185;0.8222885;10.346676;5.9147305;16.360075;11.708107;41.022236;28.553371;14.385328
0.36357185;0.8222885;8.879439;7.6489234;16.360075;11.708107;41.022236;28.553371;14.385328
0.36357185;0.8222885;8.879439;5.9147305;20.566362;11.708107;41.022236;28.553371;14.385328
0.36357185;0.8222885;8.879439;5.9147305;16.360075;16.159681;41.022236;28.553371;14.385328
0.36357185;0.8222885;8.879439;5.9147305;16.360075;11.708107;28.54977;28.553371;14.385328
0.36357185;0.8222885;8.879439;5.9147305;16.360075;11.708107;41.022236;42.88372;14.385328
0.36357185;0.8222885;8.879439;5.9147305;16.360075;11.708107;41.022236;28.553371;25.383575
0.51400995;0.45011497;10.346676;7.6489234;20.566362;16.159681;28.54977;42.88372;25.383575
0.8168521;0.45923576;13.943405;13.262071;22.657429;45.89268;13.584406;69.82005;25.219374
0.8065369;0.45923576;13.943405;13.262071;22.657429;45.89268;13.584406;69.82005;25.219374
0.8168521;0.5817951;13.943405;13.262071;22.657429;45.89268;13.584406;69.82005;25.219374
0.8168521;0.45923576;17.724129;13.262071;22.657429;45.89268;13.584406;69.82005;25.219374
0.8168521;0.45923576;13.943405;12.807006;22.657429;45.89268;13.584406;69.82005;25.219374
0.8168521;0.45923576;13.943405;13.262071;13.774462;45.89268;13.584406;69.82005;25.219374
0.8168521;0.45923576;13.943405;13.262071;22.657429;36.815845;13.584406;69.82005;25.219374
