[mm];[1/m2];[-];[-];[-];[-];[mm/hour];[mm/hour];[-];[-]
z_soil;dmpv;c_lmpv;theta_ac;theta_ufc;theta_pwp;ks;kf;c_canopy_growth;c_root_growth
1141.2249;153;0.3831169;0.073419526;0.1184499;0.22775938;23.903154;2500;0.571494;1.4917823
1847.9736;153;0.3831169;0.073419526;0.1184499;0.22775938;23.903154;2500;0.571494;1.4917823
1141.2249;112;0.3831169;0.073419526;0.1184499;0.22775938;23.903154;2500;0.571494;1.4917823
1141.2249;153;0.46644333;0.073419526;0.1184499;0.22775938;23.903154;2500;0.571494;1.4917823
1141.2249;153;0.3831169;0.0582646;0.094;0.22775938;23.903154;2500;0.571494;1.4917823
1141.2249;153;0.3831169;0.1219402;0.06992922;0.22775938;23.903154;2500;0.571494;1.4917823
1141.2249;153;0.3831169;0.073419526;0.1184499;0.22486848;23.903154;2500;0.571494;1.4917823
1141.2249;153;0.3831169;0.073419526;0.1184499;0.22775938;26.8944;2500;0.571494;1.4917823
1141.2249;153;0.3831169;0.073419526;0.1184499;0.22775938;23.903154;2500;0.571494;1.4497952
1141.2249;153;0.3831169;0.073419526;0.1184499;0.22775938;23.903154;2500;1.1046304;1.4917823
1847.9736;112;0.46644333;0.096769854;0.055494744;0.22486848;26.8944;2500;1.1046304;1.4497952
1152.2308;225;0.66114914;0.19587816;0.10634805;0.17765927;51.020718;2500;1.0853896;0.816132
727.38684;225;0.66114914;0.19587816;0.10634805;0.17765927;51.020718;2500;1.0853896;0.816132
1152.2308;164;0.66114914;0.19587816;0.10634805;0.17765927;51.020718;2500;1.0853896;0.816132
1152.2308;225;0.50697106;0.19587816;0.10634805;0.17765927;51.020718;2500;1.0853896;0.816132
1152.2308;225;0.66114914;0.20374945;0.1106216;0.17765927;51.020718;2500;1.0853896;0.816132
1152.2308;225;0.66114914;0.10579419;0.19643202;0.17765927;51.020718;2500;1.0853896;0.816132
1152.2308;225;0.66114914;0.19587816;0.10634805;0.19200242;51.020718;2500;1.0853896;0.816132
1152.2308;225;0.66114914;0.19587816;0.10634805;0.17765927;98.89386;2500;1.0853896;0.816132
1152.2308;225;0.66114914;0.19587816;0.10634805;0.17765927;51.020718;2500;1.0853896;0.8915042
1152.2308;225;0.66114914;0.19587816;0.10634805;0.17765927;51.020718;2500;0.5989553;0.816132
727.38684;164;0.50697106;0.110045485;0.20432557;0.19200242;98.89386;2500;0.5989553;0.8915042
