YYYY	MM	DD	hh	mm	TA	TA_min	TA_max
2000	1	1	0	0	2.7	0.2	3.9
2000	1	2	0	0	2.1	0.9	5.6
2000	1	3	0	0	0.4	-0.6	1.6
2000	1	4	0	0	4.9	-1.1	6.5
2000	1	5	0	0	4.6	1.7	8.7
2000	1	6	0	0	1.8	-2.1	4.2
2000	1	7	0	0	4.2	-0.2	5.3
2000	1	8	0	0	4.4	1.4	7.8
2000	1	9	0	0	4.3	2.6	5.3
2000	1	10	0	0	2.1	1.2	4.7
2000	1	11	0	0	1.2	0.6	2.4
2000	1	12	0	0	-0.9	-1.4	0.6
2000	1	13	0	0	-0.4	-1.9	2.4
2000	1	14	0	0	-1.3	-5.2	3.7
2000	1	15	0	0	-2.3	-7.1	0.1
2000	1	16	0	0	-0.3	-2.0	1.7
2000	1	17	0	0	3.5	-0.6	4.6
2000	1	18	0	0	3.5	1.4	5.6
2000	1	19	0	0	0.1	-3.2	3.1
2000	1	20	0	0	1.5	-0.4	3.2
2000	1	21	0	0	2.7	0.9	4.4
2000	1	22	0	0	1.0	0.2	2.4
2000	1	23	0	0	-1.2	-3.4	1.6
2000	1	24	0	0	-8.9	-11.2	-3.3
2000	1	25	0	0	-10.0	-14.5	-4.6
2000	1	26	0	0	-8.9	-14.3	-2.7
2000	1	27	0	0	-6.8	-13.1	-0.1
2000	1	28	0	0	0.3	-10.0	5.7
2000	1	29	0	0	6.4	2.9	7.6
2000	1	30	0	0	9.4	7.0	9.8
2000	1	31	0	0	8.0	7.0	9.9
2000	2	1	0	0	6.2	-0.5	11.2
2000	2	2	0	0	6.6	2.7	11.1
2000	2	3	0	0	5.0	2.5	6.9
2000	2	4	0	0	4.4	-1.2	8.2
2000	2	5	0	0	6.6	3.9	12.8
2000	2	6	0	0	6.1	0.9	13.5
2000	2	7	0	0	8.0	2.7	10.7
2000	2	8	0	0	10.4	7.0	12.0
2000	2	9	0	0	4.0	1.0	10.4
2000	2	10	0	0	7.1	3.2	11.3
2000	2	11	0	0	2.0	0.6	7.7
2000	2	12	0	0	1.6	-4.1	4.7
2000	2	13	0	0	3.8	2.3	6.7
2000	2	14	0	0	3.8	-1.8	7.5
2000	2	15	0	0	6.9	4.4	10.1
2000	2	16	0	0	2.0	-0.4	6.6
2000	2	17	0	0	1.1	-1.4	3.4
2000	2	18	0	0	2.9	-1.2	5.6
2000	2	19	0	0	3.4	2.5	5.4
2000	2	20	0	0	-0.1	-0.6	2.9
2000	2	21	0	0	-0.3	-3.5	2.1
2000	2	22	0	0	1.8	-2.1	6.2
2000	2	23	0	0	3.6	-0.1	6.0
2000	2	24	0	0	5.6	3.1	6.6
2000	2	25	0	0	5.9	4.2	10.9
2000	2	26	0	0	3.9	-1.3	8.8
2000	2	27	0	0	5.9	-1.3	13.5
2000	2	28	0	0	10.2	0.6	18.0
2000	2	29	0	0	6.8	5.3	10.0
2000	3	1	0	0	4.6	0.9	7.7
2000	3	2	0	0	3.2	0.5	5.8
2000	3	3	0	0	6.6	3.1	8.3
2000	3	4	0	0	1.2	-0.6	6.8
2000	3	5	0	0	0.4	-2.4	4.6
2000	3	6	0	0	2.1	-4.1	9.4
2000	3	7	0	0	7.1	-1.8	11.6
2000	3	8	0	0	9.2	7.3	11.1
2000	3	9	0	0	11.0	8.6	14.5
2000	3	10	0	0	9.2	8.0	10.8
2000	3	11	0	0	8.3	7.7	11.6
2000	3	12	0	0	4.7	2.6	9.4
2000	3	13	0	0	5.6	-1.9	12.0
2000	3	14	0	0	8.7	3.7	11.0
2000	3	15	0	0	4.1	1.7	8.8
2000	3	16	0	0	5.9	2.9	6.9
2000	3	17	0	0	6.9	6.3	7.8
2000	3	18	0	0	5.6	5.2	6.8
2000	3	19	0	0	4.6	3.5	7.9
2000	3	20	0	0	4.6	-2.1	9.0
2000	3	21	0	0	6.8	-1.1	14.1
2000	3	22	0	0	8.2	0.2	16.4
2000	3	23	0	0	11.3	1.2	16.8
2000	3	24	0	0	10.6	7.4	16.2
2000	3	25	0	0	9.4	6.8	15.0
2000	3	26	0	0	6.5	4.6	9.1
2000	3	27	0	0	4.7	3.2	7.6
2000	3	28	0	0	5.0	2.9	7.7
2000	3	29	0	0	5.8	1.3	8.6
2000	3	30	0	0	3.6	1.3	5.7
2000	3	31	0	0	5.7	3.9	10.6
2000	4	1	0	0	4.6	1.5	9.2
2000	4	2	0	0	7.9	-0.6	14.5
2000	4	3	0	0	12.9	3.0	20.0
2000	4	4	0	0	9.0	7.2	15.2
2000	4	5	0	0	6.6	4.4	11.7
2000	4	6	0	0	3.5	1.5	7.9
2000	4	7	0	0	5.8	-2.4	11.7
2000	4	8	0	0	7.7	-1.4	13.9
2000	4	9	0	0	8.3	3.0	14.4
2000	4	10	0	0	9.2	2.8	14.8
2000	4	11	0	0	9.1	5.7	13.0
2000	4	12	0	0	7.2	4.4	10.5
2000	4	13	0	0	7.8	4.2	10.6
2000	4	14	0	0	10.3	6.3	17.1
2000	4	15	0	0	8.2	6.6	12.1
2000	4	16	0	0	10.6	1.3	15.7
2000	4	17	0	0	9.8	8.3	12.3
2000	4	18	0	0	9.6	6.7	12.1
2000	4	19	0	0	11.5	7.7	15.6
2000	4	20	0	0	13.3	4.6	19.8
2000	4	21	0	0	15.7	6.9	23.1
2000	4	22	0	0	18.4	8.2	26.9
2000	4	23	0	0	15.4	10.7	21.8
2000	4	24	0	0	9.3	8.4	13.4
2000	4	25	0	0	12.0	4.4	18.8
2000	4	26	0	0	17.7	7.8	25.0
2000	4	27	0	0	16.5	10.7	21.1
2000	4	28	0	0	18.5	11.2	24.8
2000	4	29	0	0	14.2	12.4	18.2
2000	4	30	0	0	14.8	12.5	18.8
2000	5	1	0	0	14.9	11.8	20.2
2000	5	2	0	0	17.0	10.5	22.7
2000	5	3	0	0	13.9	10.9	22.1
2000	5	4	0	0	15.5	11.0	21.7
2000	5	5	0	0	16.1	9.1	23.2
2000	5	6	0	0	15.9	10.3	23.9
2000	5	7	0	0	16.9	9.7	24.6
2000	5	8	0	0	17.6	10.4	23.0
2000	5	9	0	0	19.4	10.7	26.3
2000	5	10	0	0	20.9	11.6	27.9
2000	5	11	0	0	21.6	14.8	28.8
2000	5	12	0	0	15.8	14.4	19.6
2000	5	13	0	0	16.8	12.5	22.1
2000	5	14	0	0	18.4	10.9	24.2
2000	5	15	0	0	19.2	8.9	26.3
2000	5	16	0	0	20.2	10.9	26.9
2000	5	17	0	0	17.3	13.1	23.1
2000	5	18	0	0	13.0	11.0	17.3
2000	5	19	0	0	10.3	8.5	14.4
2000	5	20	0	0	10.0	6.1	14.3
2000	5	21	0	0	10.8	3.4	16.9
2000	5	22	0	0	10.3	7.8	12.5
2000	5	23	0	0	13.8	7.9	19.0
2000	5	24	0	0	17.0	6.9	23.1
2000	5	25	0	0	15.7	11.0	20.9
2000	5	26	0	0	18.2	8.8	23.4
2000	5	27	0	0	11.6	9.5	18.7
2000	5	28	0	0	12.2	6.4	17.0
2000	5	29	0	0	11.4	7.0	14.9
2000	5	30	0	0	10.4	4.4	15.8
2000	5	31	0	0	10.8	9.7	14.6
2000	6	1	0	0	16.7	6.0	23.1
2000	6	2	0	0	21.7	10.6	28.4
2000	6	3	0	0	22.9	14.6	29.9
2000	6	4	0	0	22.0	16.0	27.4
2000	6	5	0	0	20.9	16.3	26.7
2000	6	6	0	0	13.1	12.2	19.8
2000	6	7	0	0	14.5	9.4	19.0
2000	6	8	0	0	17.8	7.4	23.2
2000	6	9	0	0	23.1	12.5	29.7
2000	6	10	0	0	23.2	15.4	27.7
2000	6	11	0	0	18.1	16.4	22.8
2000	6	12	0	0	19.3	12.8	23.9
2000	6	13	0	0	21.8	12.9	27.9
2000	6	14	0	0	22.8	17.4	27.6
2000	6	15	0	0	18.2	16.2	22.4
