[-];[-];[-];[-];[-];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[day of year];[-];;[mm]
alpha_transp;alpha_q;c2_transp;c2_q_rz;c2_q_ss;km_denit;km_nit;kmin;kfix;kngl;dmax_denit;dmax_nit;phi_soil_temp;clay;soil_fertility;z_soil
1.5;0.5;0.6;1.5;1.5;-0.8441427718432633;1.8463095404833127;16.666666666666664;13.333333333333332;-15.48214246223733;46.19285698489493;6.559523897280593;91;0.4584428551420025;2.0;800.0
1.5;0.5;0.6;1.5;1.5;6.740848831368738;4.157945016378725;23.333333333333332;26.666666666666664;19.6335594044849;32.14657623820604;18.726026401993288;91;0.2805232990172765;2.5;1200.0
1.5;0.5;0.6;1.5;1.5;9.39027919219731;3.8468652741949474;16.666666666666664;13.333333333333332;31.899440704617177;27.24022371815313;17.08876460102604;91;0.2183761670966063;2.0;1500.0
1.5;0.5;0.6;1.5;1.5;7.326545556952563;4.386921102512319;23.333333333333332;26.666666666666664;22.34511831922483;31.061952672310067;19.931163697433256;91;0.2667847338492609;2.5;1200.0
1.5;0.5;0.6;1.5;1.5;0.3530437666751065;2.080327485255422;16.666666666666664;13.333333333333332;-9.939612191318952;43.97584487652758;7.791197290818011;91;0.4303607017693494;2.0;800.0
1.5;0.5;0.6;1.5;1.5;9.034286296066798;6.331834556335467;30.0;40.0;30.251325444753693;27.899469822098524;30.167550296502462;91;0.2267266177465813;3.5;1500.0
1.5;0.5;0.6;1.5;1.5;9.034286296066798;5.054556370890312;23.333333333333332;26.666666666666664;30.251325444753693;27.899469822098524;23.44503353100164;91;0.2267266177465813;3.0;1500.0
1.5;0.5;0.6;1.5;1.5;13.108746689067146;4.573726204653043;16.666666666666664;13.333333333333332;49.114568004940494;20.3541727980238;20.91434844554233;91;0.1311528554416348;2.0;1200.0
1.5;0.5;0.6;1.5;1.5;3.3308750900206343;2.8248277100903714;23.333333333333332;26.666666666666664;3.8466439352807136;38.461342425887715;11.709619526791428;91;0.3605103373945777;2.5;1300.0
1.5;0.5;0.6;1.5;1.5;11.1338206978089;4.187681000600505;16.666666666666664;13.333333333333332;39.97139211948565;24.011443152205743;18.882531582107923;91;0.1774782799279394;1.5;1400.0
1.5;0.5;0.6;1.5;1.5;12.702287959770967;8.482823186285444;30.0;40.0;47.232814628569294;21.106874148572285;41.48854308571286;91;0.1406870725485823;3.5;1200.0
1.5;0.5;0.6;1.5;1.5;1.841959428347872;2.3713706701503043;16.666666666666664;13.333333333333332;-3.0464841280191113;41.21859365120764;9.323003527106865;91;0.3954355195819635;2.0;500.0
1.5;0.5;0.6;1.5;1.5;4.258844197407208;2.843806993320339;16.666666666666664;13.333333333333332;8.142797210218555;36.74288111591258;11.80951049115968;91;0.3387431608015593;2.0;1200.0
1.5;0.5;0.6;1.5;1.5;10.927246843103543;7.44190401293109;30.0;40.0;39.01503168103492;24.393987327586032;36.01002112068994;91;0.1823238394827564;3.5;1500.0
1.5;0.5;0.6;1.5;1.5;9.877385499353828;5.3841630553029365;23.333333333333332;26.666666666666664;34.154562497008456;26.338175001196618;25.17980555422598;91;0.2069502166818238;3.0;1500.0
1.5;0.5;0.6;1.5;1.5;3.69339218725024;2.7332762505941828;16.666666666666664;13.333333333333332;5.524963829862223;37.79001446805511;11.227769739969382;91;0.3520068499286981;1.5;500.0
1.5;0.5;0.6;1.5;1.5;6.039999649898332;3.1919752402064643;16.666666666666664;13.333333333333332;16.38888726804784;33.44444509278087;13.641974948455076;91;0.2969629711752243;1.5;250.0
1.5;0.5;0.6;1.5;1.5;7.6272542247694695;3.5022410521668714;16.666666666666664;13.333333333333332;23.737288077636435;30.505084768945427;15.27495290614143;91;0.2597310737399754;2.0;600.0
1.5;0.5;0.6;1.5;1.5;7.0366204285533405;3.386787943853019;16.666666666666664;13.333333333333332;21.00287235441361;31.598851058234555;14.66730496764747;91;0.2735854467376377;2.0;700.0
1.5;0.5;0.6;1.5;1.5;11.003191966853487;4.162146577882883;16.666666666666664;13.333333333333332;39.36662947617356;24.25334820953058;18.74813988359412;91;0.180542410654054;1.5;1500.0
1.5;0.5;0.6;1.5;1.5;13.108746707894737;4.573726208333333;16.666666666666664;13.333333333333332;49.114568092105266;20.354172763157894;20.91434846491228;91;0.131152855;2.0;1200.0
1.5;0.5;0.6;1.5;1.5;10.92724686368421;7.441904025;30.0;40.0;39.015031776315794;24.393987289473685;36.01002118421053;91;0.182323839;3.5;1500.0
1.5;0.5;0.6;1.5;1.5;7.326545550526315;4.3869210999999995;23.333333333333332;26.666666666666664;22.345118289473678;31.061952684210528;19.931163684210524;91;0.266784734;2.5;1200.0
