;[mm];[1/m2];[mm];[-];[-];[-];[mm/hour];[mm/hour];;[-];[m]
CLUST_ID;z_soil;dmpv;lmpv;theta_ac;theta_ufc;theta_pwp;ks;kf;soil_fertility;clay;z_gw
5-1;1500;85;300;0.1;0.15;0.17;4.17;0.7;3;0.226726618;10
5-2;500;93;300;0.11;0.12;0.24;12.5;654.5;2;0.39543552;10
5-3;1400;79;300;0.1;0.17;0.15;10.42;0.7;1.5;0.17747828;10
5-4;1200;82;300;0.1;0.17;0.13;10.42;65.5;3.5;0.140687073;10
5-5;1500;85;300;0.1;0.15;0.17;6.25;0.7;3.5;0.226726618;10
5-6;250;114;250;0.15;0.2;0.22;41.67;654.5;1.5;0.296962971;10
5-7;1200;78;300;0.18;0.11;0.11;41.67;65.5;2;0.131152855;10
5-8;800;96;300;0.07;0.1;0.26;2.08;0.7;2;0.458442855;10
5-9;1200;97;300;0.1;0.11;0.21;2.08;65.5;2;0.338743161;10
5-10;1500;96;300;0.1;0.1;0.15;4.17;65.5;2;0.218376167;10
5-11;1500;89;300;0.1;0.15;0.16;10.42;0.7;3;0.206950217;10
5-12;1300;90;300;0.07;0.11;0.22;2.08;0.7;2.5;0.360510337;10
5-13;600;105;300;0.12;0.13;0.18;16.67;0.7;2;0.259731074;10
5-14;800;96;300;0.1;0.13;0.26;2.08;65.5;2;0.430360702;10
5-15;1500;200;300;0.12;0.25;0.17;4.17;0.1;1.5;0.180542411;10
5-16;1500;82;300;0.1;0.16;0.15;10.42;0.7;3.5;0.182323839;10
5-17;1200;85;300;0.1;0.12;0.18;4.17;65.5;2.5;0.266784734;10
5-18;500;99;300;0.1;0.12;0.22;10.42;654.5;1.5;0.35200685;10
5-19;1200;87;300;0.1;0.13;0.19;10.42;0.7;2.5;0.280523299;10
5-20;700;96;300;0.11;0.14;0.19;12.5;65.5;2;0.273585447;10
doeggingen;1500;87;30;0.1;0.15;0.15;10.42;0.7;3.0;0.18745086348101714;64.73
tailfingen;1500;82;30;0.1;0.16;0.15;10.42;0.7;3.5;0.1823238394827564;13.9
ladenburg;2000;78;30;0.1;0.17;0.12;10.42;0.7;3.5;0.1228857221034648;7.88
boxberg;1500;82;30;0.1;0.14;0.2;10.42;0.7;3.0;0.29430087701821733;17.13
boennigheim;1500;76;30;0.12;0.17;0.12;10.42;0.7;3.5;0.12288572210346477;6.09
orschweier;1200;79;30;0.1;0.17;0.13;10.42;0.7;3.5;0.1406870725485823;3.11
krauchenwies;1500;81;30;0.1;0.15;0.15;4.17;0.7;3.0;0.18745086348101714;26.93
kraichtal;2000;79;30;0.1;0.16;0.12;10.42;0.7;3.5;0.12679276319030056;46.5
kupferzell;1500;78;30;0.1;0.13;0.14;4.17;0.7;2.5;0.17882314786204484;21.41
sandy_soil_type;1200;78;300;0.18;0.11;0.11;41.67;2500;2;0.131152855;10
silty_soil_type;1500;82;300;0.1;0.16;0.15;10.42;2500;3.5;0.182323839;10
clayey_soil_type;1200;85;300;0.1;0.12;0.18;4.17;2500;2.5;0.266784734;10
