;;;[mm];[1/m2];[mm];[-];[-];[-];[mm/hour];[mm/hour];;[-]
CLUST_ID;SHP_ID;CLUST_flag;z_soil;dmpv;lmpv;theta_ac;theta_ufc;theta_pwp;ks;kf;soil_fertility;clay
5-8;2090295;1;800;96;300;0.07;0.1;0.26;2.08;0.7;2.0;0.4584428551420025
5-19;961524;1;1200;87;300;0.1;0.13;0.19;10.42;0.7;2.5;0.2805232990172765
5-10;748521;1;1500;96;300;0.1;0.1;0.15;4.17;65.5;2.0;0.2183761670966063
5-17;1470650;1;1200;85;300;0.1;0.12;0.18;4.17;65.5;2.5;0.2667847338492609
5-14;3441430;1;800;96;300;0.1;0.13;0.26;2.08;65.5;2.0;0.4303607017693494
5-5;958342;1;1500;85;300;0.1;0.15;0.17;6.25;0.7;3.5;0.2267266177465813
5-1;3547261;1;1500;85;300;0.1;0.15;0.17;4.17;0.7;3.0;0.2267266177465813
5-7;568120;1;1200;78;300;0.18;0.11;0.11;41.67;65.5;2.0;0.1311528554416348
5-12;2150363;1;1300;90;300;0.07;0.11;0.22;2.08;0.7;2.5;0.3605103373945777
5-3;4262994;1;1400;79;300;0.1;0.17;0.15;10.42;0.7;1.5;0.1774782799279394
5-4;3468432;1;1200;82;300;0.1;0.17;0.13;10.42;65.5;3.5;0.1406870725485823
5-2;2528766;1;500;93;300;0.11;0.12;0.24;12.5;654.5;2.0;0.3954355195819635
5-9;4857776;1;1200;97;300;0.1;0.11;0.21;2.08;65.5;2.0;0.3387431608015593
5-16;2072339;1;1500;82;300;0.1;0.16;0.15;10.42;0.7;3.5;0.1823238394827564
5-11;427086;1;1500;89;300;0.1;0.15;0.16;10.42;0.7;3.0;0.2069502166818238
5-18;2105608;1;500;99;300;0.1;0.12;0.22;10.42;654.5;1.5;0.3520068499286981
5-6;1246667;1;250;114;250;0.15;0.2;0.22;41.67;654.5;1.5;0.2969629711752243
5-13;1544499;1;600;105;300;0.12;0.13;0.18;16.67;0.7;2.0;0.2597310737399754
5-20;2283681;1;700;96;300;0.11;0.14;0.19;12.5;65.5;2.0;0.2735854467376377
5-15;3177732;1;1500;200;300;0.12;0.25;0.17;4.17;0.1;1.5;0.180542410654054
