[-];[-];[-];[-];[-];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[day of year];[-];;[mm]
alpha_transp;alpha_q;c2_transp;c2_q_rz;c2_q_ss;km_denit;km_nit;kmin;kfix;kngl;dmax_denit;dmax_nit;phi_soil_temp;clay;soil_fertility;z_soil
1.5;0.5;0.6;1.5;1.5;13.108746707894737;4.573726208333333;16.666666666666664;13.333333333333332;49.114568092105266;20.354172763157894;20.91434846491228;91;0.131152855;2.0;1200.0
1.5;0.5;0.6;1.5;1.5;10.92724686368421;7.441904025;30.0;40.0;39.015031776315794;24.393987289473685;36.01002118421053;91;0.182323839;3.5;1500.0
1.5;0.5;0.6;1.5;1.5;7.326545550526315;4.3869210999999995;23.333333333333332;26.666666666666664;22.345118289473678;31.061952684210528;19.931163684210524;91;0.266784734;2.5;1200.0
1.5;0.5;0.6;1.5;1.5;9.390279196315788;3.846865275;16.666666666666664;13.333333333333332;31.899440723684208;27.240223710526315;17.088764605263158;91;0.218376167;2.0;1500.0
1.5;0.5;0.6;1.5;1.5;3.3308751068421047;2.8248277166666664;23.333333333333332;26.666666666666664;3.8466440131578934;38.461342394736846;11.709619561403509;91;0.360510337;2.5;1300.0
1.5;0.5;0.6;1.5;1.5;11.133820694736842;4.1876809999999995;16.666666666666664;13.333333333333332;39.971392105263156;24.011443157894735;18.88253157894737;91;0.17747828;1.5;1400.0
1.5;0.5;0.6;1.5;1.5;12.702287940526316;8.482823175;30.0;40.0;47.23281453947369;21.106874184210525;41.488543026315796;91;0.140687073;3.5;1200.0
1.5;0.5;0.6;1.5;1.5;10.92724686368421;7.441904025;30.0;40.0;39.015031776315794;24.393987289473685;36.01002118421053;91;0.182323839;3.5;1500.0
1.5;0.5;0.6;1.5;1.5;9.034286285263157;6.33183455;30.0;40.0;30.251325394736845;27.899469842105262;30.167550263157896;91;0.226726618;3.5;1500.0
1.5;0.5;0.6;1.5;1.5;9.877385485789473;5.38416305;23.333333333333332;26.666666666666664;34.154562434210526;26.33817502631579;25.17980552631579;91;0.206950217;3.0;1500.0
