Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
1443;Freiburg;TMK;01.04.1875;30.04.1875;30;;eor;                                                                                                                                                        
1443;Freiburg;TMK;01.01.1877;02.01.1877;2;;eor;                                                                                                                                                         
1443;Freiburg;TMK;01.08.1877;04.08.1877;4;;eor;                                                                                                                                                         
1443;Freiburg;TMK;06.08.1877;15.08.1877;10;;eor;                                                                                                                                                        
1443;Freiburg;TMK;19.08.1877;21.08.1877;3;;eor;                                                                                                                                                         
1443;Freiburg;TMK;24.08.1877;24.08.1877;1;;eor;                                                                                                                                                         
1443;Freiburg;TMK;28.08.1877;29.08.1877;2;;eor;                                                                                                                                                         
1443;Freiburg;TMK;01.02.1881;09.02.1881;9;;eor;                                                                                                                                                         
1443;Freiburg;TMK;31.03.1883;02.04.1883;3;;eor;                                                                                                                                                         
1443;Freiburg;TMK;09.04.1896;10.04.1896;2;;eor;                                                                                                                                                         
1443;Freiburg;TMK;12.04.1896;13.04.1896;2;;eor;                                                                                                                                                         
1443;Freiburg;TMK;01.10.1899;31.10.1899;31;;eor;                                                                                                                                                        
1443;Freiburg;TMK;01.01.1903;31.01.1903;31;;eor;                                                                                                                                                        
1443;Freiburg;TMK;12.07.1907;31.07.1907;20;;eor;                                                                                                                                                        
1443;Freiburg;TMK;01.07.1909;31.07.1909;31;;eor;                                                                                                                                                        
1443;Freiburg;TMK;01.09.1919;27.09.1919;27;;eor;                                                                                                                                                        
1443;Freiburg;TMK;01.01.1922;30.04.1949;9982;;eor;                                                                                                                                                      
1443;Freiburg;TMK;14.07.2001;14.07.2001;1;;eor;                                                                                                                                                         
1443;Freiburg;TXK;31.03.1883;02.04.1883;3;;eor;                                                                                                                                                         
1443;Freiburg;TXK;01.10.1899;31.10.1899;31;;eor;                                                                                                                                                        
1443;Freiburg;TXK;01.01.1903;31.01.1903;31;;eor;                                                                                                                                                        
1443;Freiburg;TXK;31.07.1907;31.07.1907;1;;eor;                                                                                                                                                         
1443;Freiburg;TXK;01.07.1909;31.07.1909;31;;eor;                                                                                                                                                        
1443;Freiburg;TXK;01.09.1919;27.09.1919;27;;eor;                                                                                                                                                        
1443;Freiburg;TXK;01.01.1922;30.04.1949;9982;;eor;                                                                                                                                                      
1443;Freiburg;TXK;18.10.2002;18.10.2002;1;;eor;                                                                                                                                                         
1443;Freiburg;TXK;25.09.2003;26.09.2003;2;;eor;                                                                                                                                                         
1443;Freiburg;TXK;23.10.2003;23.10.2003;1;;eor;                                                                                                                                                         
1443;Freiburg;TXK;20.07.2005;20.07.2005;1;;eor;                                                                                                                                                         
1443;Freiburg;TNK;31.03.1883;02.04.1883;3;;eor;                                                                                                                                                         
1443;Freiburg;TNK;10.04.1896;13.04.1896;4;;eor;                                                                                                                                                         
1443;Freiburg;TNK;01.10.1899;31.10.1899;31;;eor;                                                                                                                                                        
1443;Freiburg;TNK;01.06.1902;30.06.1902;30;;eor;                                                                                                                                                        
1443;Freiburg;TNK;01.01.1903;31.01.1903;31;;eor;                                                                                                                                                        
1443;Freiburg;TNK;30.07.1907;31.07.1907;2;;eor;                                                                                                                                                         
1443;Freiburg;TNK;01.07.1909;31.07.1909;31;;eor;                                                                                                                                                        
1443;Freiburg;TNK;01.09.1919;27.09.1919;27;;eor;                                                                                                                                                        
1443;Freiburg;TNK;01.01.1922;30.04.1949;9982;;eor;                                                                                                                                                      
1443;Freiburg;TNK;18.10.2002;18.10.2002;1;;eor;                                                                                                                                                         
1443;Freiburg;TNK;25.09.2003;26.09.2003;2;;eor;                                                                                                                                                         
1443;Freiburg;TNK;23.10.2003;23.10.2003;1;;eor;                                                                                                                                                         
1443;Freiburg;TNK;20.07.2005;20.07.2005;1;;eor;                                                                                                                                                         
1443;Freiburg;TGK;20.12.2001;21.12.2001;2;;eor;                                                                                                                                                         
1443;Freiburg;TGK;18.10.2002;18.10.2002;1;;eor;                                                                                                                                                         
1443;Freiburg;TGK;25.09.2003;26.09.2003;2;;eor;                                                                                                                                                         
1443;Freiburg;TGK;23.10.2003;23.10.2003;1;;eor;                                                                                                                                                         
1443;Freiburg;TGK;20.07.2005;20.07.2005;1;;eor;                                                                                                                                                         
1443;Freiburg;PM;05.02.1874;05.02.1874;1;;eor;                                                                                                                                                          
1443;Freiburg;PM;15.02.1874;18.02.1874;4;;eor;                                                                                                                                                          
1443;Freiburg;PM;08.09.1874;12.09.1874;5;;eor;                                                                                                                                                          
1443;Freiburg;PM;01.04.1875;30.04.1875;30;;eor;                                                                                                                                                         
