YYYY	MM	DD	hh	mm	TA	TA_min	TA_max
2040	1	1	0	0	-3.62110054216502	-1.6208801	1.5528564
2040	1	2	0	0	-1.55128328227285	-0.7823181	1.4796143
2040	1	3	0	0	1.6715374641878602	0.8930969	3.2863464
2040	1	4	0	0	-0.10629067630288	0.0874939	3.6164246
2040	1	5	0	0	-1.57866735125518	-0.51293945	1.2023926
2040	1	6	0	0	1.9835676353417304	0.25100708	5.9737244
2040	1	7	0	0	0.309916715234931	0.27627563	3.9360657
2040	1	8	0	0	-1.66412530309145	-1.9172668	1.399292
2040	1	9	0	0	-4.46813480668034	-3.0285034	-0.28112793
2040	1	10	0	0	-6.18153117102607	-4.8614807	0.2597046
2040	1	11	0	0	-3.0216382455007005	-2.327423	0.96536255
2040	1	12	0	0	-0.619522114646721	-0.16940308	1.9867859
2040	1	13	0	0	1.8710915937652	0.570282	4.5489197
2040	1	14	0	0	-1.3151297774074098	-0.15649414	1.0786743
2040	1	15	0	0	-3.048222011423149	-1.1996155	-0.033203125
2040	1	16	0	0	-3.03438340938354	-1.9704285	0.41729736
2040	1	17	0	0	-5.039849855272981	-4.139038	-0.8359375
2040	1	18	0	0	-4.89151379356309	-3.841858	0.26156616
2040	1	19	0	0	-1.42406622452317	-1.4304504	0.99816895
2040	1	20	0	0	-1.88339861964321	-1.1991577	0.31625366
2040	1	21	0	0	-0.372720342734771	-0.017730713	1.0737305
2040	1	22	0	0	-1.03392445794078	-1.2258606	1.429779
2040	1	23	0	0	-1.09154589842892	0.019683838	0.9684143
2040	1	24	0	0	1.32463236921521	0.09979248	3.6315613
2040	1	25	0	0	7.20538707036863	3.6524658	8.471985
2040	1	26	0	0	4.91409775567612	0.3388977	7.0650024
2040	1	27	0	0	1.4135587277676498	-0.18054199	4.3970947
2040	1	28	0	0	-1.3313837601621898	-1.3179932	2.7584229
2040	1	29	0	0	0.867031368903526	0.32077026	3.5991821
2040	1	30	0	0	2.56395066160076	0.806427	4.683075
2040	1	31	0	0	2.2159978645658	0.39007568	5.20224
2040	2	1	0	0	9.30665951366616	2.0373535	8.571075
2040	2	2	0	0	1.01678642216837	-0.22766113	2.641571
2040	2	3	0	0	2.23210624723468	-0.49035645	6.9747314
2040	2	4	0	0	3.4683426017224503	1.2684937	4.5193787
2040	2	5	0	0	2.0955065932590298	0.74594116	3.2434692
2040	2	6	0	0	3.6396631687274	1.980957	5.099304
