YYYY	MM	DD	hh	mm	RS
1985	1	1	0	0	39.115086346069205
1985	1	2	0	0	28.108695882969304
1985	1	3	0	0	23.8751742853325
1985	1	4	0	0	23.9036866610969
1985	1	5	0	0	21.971110800219805
1985	1	6	0	0	17.3127690511258
1985	1	7	0	0	17.6170186039939
1985	1	8	0	0	28.7976033462712
1985	1	9	0	0	32.1268214806207
1985	1	10	0	0	44.1728159961914
1985	1	11	0	0	22.010467699826
1985	1	12	0	0	34.1071626631023
1985	1	13	0	0	50.067107943485794
1985	1	14	0	0	42.1016026807192
1985	1	15	0	0	22.935940905788303
1985	1	16	0	0	26.350206541098103
1985	1	17	0	0	46.2199258396488
1985	1	18	0	0	38.141196932563794
1985	1	19	0	0	20.9439994633511
1985	1	20	0	0	46.4508447713912
1985	1	21	0	0	49.48768112280301
1985	1	22	0	0	57.3203190966049
1985	1	23	0	0	59.3349600654758
1985	1	24	0	0	48.907701884791095
1985	1	25	0	0	54.3599291782732
1985	1	26	0	0	58.553989310937006
1985	1	27	0	0	57.060198178960704
1985	1	28	0	0	54.447533732324295
1985	1	29	0	0	27.06071287219889
1985	1	30	0	0	73.2077156412411
1985	1	31	0	0	15.3009325663474
1985	2	1	0	0	40.790923389091
1985	2	2	0	0	29.3437766833979
1985	2	3	0	0	53.5971546318894
1985	2	4	0	0	61.771766862715104
1985	2	5	0	0	42.1201538311888
1985	2	6	0	0	61.041675573652896
1985	2	7	0	0	50.3738662560113
1985	2	8	0	0	58.3031757509097
1985	2	9	0	0	40.829375873191
1985	2	10	0	0	43.64733145598429
1985	2	11	0	0	43.3953424994136
1985	2	12	0	0	63.274338158357295
1985	2	13	0	0	84.80764255940129
1985	2	14	0	0	101.329904950025
1985	2	15	0	0	98.6350480879802
1985	2	16	0	0	107.107003020596
1985	2	17	0	0	102.983808422678
1985	2	18	0	0	122.951320289374
1985	2	19	0	0	87.28822449801599
1985	2	20	0	0	50.9738237801468
1985	2	21	0	0	45.243308791609294
1985	2	22	0	0	98.5607554637573
1985	2	23	0	0	86.78789451925329
1985	2	24	0	0	126.910540985447
1985	2	25	0	0	104.129795732773
1985	2	26	0	0	120.353893157006
1985	2	27	0	0	102.557874359349
1985	2	28	0	0	71.72797269822809
1985	3	1	0	0	102.423408116058
1985	3	2	0	0	139.55827941535102
1985	3	3	0	0	47.01463263282791
1985	3	4	0	0	35.224653432118295
1985	3	5	0	0	91.1975098362174
1985	3	6	0	0	145.427372166195
1985	3	7	0	0	146.999109463773
1985	3	8	0	0	152.453810607035
1985	3	9	0	0	152.301542228726
1985	3	10	0	0	131.765837692156
1985	3	11	0	0	69.3326421385748
1985	3	12	0	0	131.151593772273
1985	3	13	0	0	141.355556697229
1985	3	14	0	0	92.0748265620772
1985	3	15	0	0	140.67587428332502
1985	3	16	0	0	87.9522819538314
1985	3	17	0	0	169.776997931607
1985	3	18	0	0	73.4474587667488
1985	3	19	0	0	184.320968076565
1985	3	20	0	0	189.87286598619
1985	3	21	0	0	47.198634443555896
1985	3	22	0	0	105.379595895301
1985	3	23	0	0	194.276154919051
1985	3	24	0	0	199.796271641319
1985	3	25	0	0	83.27332682249529
1985	3	26	0	0	177.727844910736
1985	3	27	0	0	71.7976028928445
1985	3	28	0	0	199.402986662351
1985	3	29	0	0	74.7877905910999
1985	3	30	0	0	156.22239406549602
1985	3	31	0	0	75.680802538517
1985	4	1	0	0	108.314362918367
1985	4	2	0	0	109.298665909066
1985	4	3	0	0	124.2469510484
1985	4	4	0	0	148.30779193245502
1985	4	5	0	0	236.420765392351
1985	4	6	0	0	108.739542799447
1985	4	7	0	0	169.288829868575
1985	4	8	0	0	144.276795042842
1985	4	9	0	0	230.24982363633495
1985	4	10	0	0	229.191577546772
1985	4	11	0	0	221.89556283625703
1985	4	12	0	0	248.29687490906505
1985	4	13	0	0	236.15129082982003
1985	4	14	0	0	272.662889984254
1985	4	15	0	0	260.93860778215304
1985	4	16	0	0	219.68720887272
1985	4	17	0	0	102.452577787012
1985	4	18	0	0	135.11829604736
1985	4	19	0	0	254.241242475867
1985	4	20	0	0	252.592386323142
1985	4	21	0	0	267.613421814194
1985	4	22	0	0	241.83690301713
1985	4	23	0	0	259.740291097832
1985	4	24	0	0	271.66322390973403
1985	4	25	0	0	259.609525467752
1985	4	26	0	0	279.35301844247897
1985	4	27	0	0	247.490021802032
1985	4	28	0	0	102.223236181759
1985	4	29	0	0	106.214208855153
1985	4	30	0	0	112.093278271332
1985	5	1	0	0	95.0870265026288
1985	5	2	0	0	165.032306197991
1985	5	3	0	0	256.02030023949
1985	5	4	0	0	189.004486860866
1985	5	5	0	0	116.366001251024
1985	5	6	0	0	94.49045936631212
1985	5	7	0	0	115.322223554911
1985	5	8	0	0	300.21089295786
1985	5	9	0	0	301.908167389097
1985	5	10	0	0	304.356767616505
1985	5	11	0	0	247.735336971168
1985	5	12	0	0	172.84150137927503
1985	5	13	0	0	198.869056933761
1985	5	14	0	0	122.667750204606
1985	5	15	0	0	111.662975896128
1985	5	16	0	0	297.242428598488
1985	5	17	0	0	111.470683439381
1985	5	18	0	0	269.967713413944
1985	5	19	0	0	314.885733234418
1985	5	20	0	0	308.191639344514
1985	5	21	0	0	208.398735211788
1985	5	22	0	0	307.667324614206
1985	5	23	0	0	247.921298178628
1985	5	24	0	0	303.101076497682
1985	5	25	0	0	316.63344980040404
1985	5	26	0	0	304.053611471039
1985	5	27	0	0	301.609915076792
1985	5	28	0	0	100.717900995804
1985	5	29	0	0	84.1051437961034
1985	5	30	0	0	231.12150674057003
1985	5	31	0	0	169.731985067581
1985	6	1	0	0	110.844289840945
1985	6	2	0	0	94.9603671106641
1985	6	3	0	0	253.690909935799
1985	6	4	0	0	316.455610132509
1985	6	5	0	0	328.014167407075
1985	6	6	0	0	281.43758041903
1985	6	7	0	0	226.260344210728
1985	6	8	0	0	240.742384642651
1985	6	9	0	0	294.79658117632704
1985	6	10	0	0	218.432839861626
1985	6	11	0	0	167.0260785895
1985	6	12	0	0	287.263595040764
1985	6	13	0	0	182.664426243674
1985	6	14	0	0	148.07159553278
1985	6	15	0	0	236.987965210561
1985	6	16	0	0	261.213494422234
1985	6	17	0	0	327.96864529959
1985	6	18	0	0	296.019855044468
1985	6	19	0	0	308.245520012809
1985	6	20	0	0	340.84345511311903
1985	6	21	0	0	147.64481233156602
1985	6	22	0	0	162.72371418873502
1985	6	23	0	0	144.810607721969
1985	6	24	0	0	266.23399318532904
1985	6	25	0	0	107.706904832377
1985	6	26	0	0	118.910727551942
1985	6	27	0	0	198.79840033177
1985	6	28	0	0	117.556339508081
1985	6	29	0	0	117.380592663058
1985	6	30	0	0	259.461901250764
1985	7	1	0	0	230.513347989065
1985	7	2	0	0	101.079161892482
1985	7	3	0	0	261.701294649211
1985	7	4	0	0	290.326350183254
1985	7	5	0	0	311.89103179946204
1985	7	6	0	0	336.60293672263697
1985	7	7	0	0	311.628517218824
1985	7	8	0	0	268.360144433209
1985	7	9	0	0	220.180577690896
1985	7	10	0	0	269.654544083325
1985	7	11	0	0	261.91294131489497
1985	7	12	0	0	313.636097354705
1985	7	13	0	0	302.393456220476
1985	7	14	0	0	288.962883178384
1985	7	15	0	0	260.47945564709
1985	7	16	0	0	162.207333266353
1985	7	17	0	0	265.457836645774
1985	7	18	0	0	280.235857449947
1985	7	19	0	0	281.272374130948
1985	7	20	0	0	201.6285713772
1985	7	21	0	0	142.489601610495
1985	7	22	0	0	290.382971797678
1985	7	23	0	0	236.369336797754
1985	7	24	0	0	276.430255505866
1985	7	25	0	0	291.45980826797404
1985	7	26	0	0	227.253276187767
1985	7	27	0	0	118.389025713377
1985	7	28	0	0	131.475535774349
1985	7	29	0	0	260.382246814742
1985	7	30	0	0	303.683770523614
