Name: Altheim, Kreis Biberach (ID: 4189)			
Lat: 48.1479   ,Lon: 9.4596			
Jahr	Monat	Tag	ET
2015	1	1	0.0
2015	1	2	0.2
2015	1	3	0.2
2015	1	4	0.5
2015	1	5	0.3
2015	1	6	0.2
2015	1	7	0.2
2015	1	8	0.4
2015	1	9	0.9
2015	1	10	1.4
2015	1	11	1.0
2015	1	12	0.8
2015	1	13	1.1
2015	1	14	0.6
2015	1	15	0.2
2015	1	16	0.2
2015	1	17	0.2
2015	1	18	0.1
2015	1	19	0.1
2015	1	20	0.1
2015	1	21	0.0
2015	1	22	0.0
2015	1	23	0.1
2015	1	24	0.2
2015	1	25	0.3
2015	1	26	0.0
2015	1	27	0.0
2015	1	28	0.3
2015	1	29	0.2
2015	1	30	0.1
2015	1	31	0.5
2015	2	1	0.2
2015	2	2	0.1
2015	2	3	0.0
2015	2	4	0.0
2015	2	5	0.0
2015	2	6	0.0
2015	2	7	0.0
2015	2	8	0.3
2015	2	9	0.2
2015	2	10	0.5
2015	2	11	0.0
2015	2	12	0.0
2015	2	13	0.0
2015	2	14	0.0
2015	2	15	0.0
2015	2	16	0.0
2015	2	17	0.0
2015	2	18	0.0
2015	2	19	0.5
2015	2	20	1.0
2015	2	21	0.6
2015	2	22	0.2
2015	2	23	0.4
2015	2	24	0.5
2015	2	25	0.5
2015	2	26	0.9
2015	2	27	0.3
2015	2	28	0.6
2015	3	1	0.7
2015	3	2	1.4
2015	3	3	1.5
2015	3	4	1.3
2015	3	5	1.0
2015	3	6	1.2
2015	3	7	1.5
2015	3	8	1.9
2015	3	9	1.9
2015	3	10	1.8
2015	3	11	1.7
2015	3	12	1.5
2015	3	13	1.5
2015	3	14	0.8
2015	3	15	1.2
2015	3	16	2.3
2015	3	17	2.4
2015	3	18	2.1
2015	3	19	2.4
2015	3	20	2.1
2015	3	21	1.8
2015	3	22	0.8
2015	3	23	1.4
2015	3	24	2.3
2015	3	25	2.2
2015	3	26	0.9
2015	3	27	1.8
2015	3	28	2.4
2015	3	29	1.4
2015	3	30	2.0
2015	3	31	2.3
2015	4	1	2.1
2015	4	2	1.2
2015	4	3	1.8
2015	4	4	0.8
2015	4	5	2.1
2015	4	6	1.1
2015	4	7	2.0
2015	4	8	2.6
2015	4	9	2.9
2015	4	10	3.7
2015	4	11	2.8
2015	4	12	3.0
2015	4	13	3.6
2015	4	14	3.8
2015	4	15	4.3
2015	4	16	4.0
2015	4	17	1.4
