YYYY	MM	DD	hh	mm	RS
1985	1	1	0	0	0.6870164065163206
1985	1	2	0	0	1.382620901305412
1985	1	3	0	0	1.3965018619581593
1985	1	4	0	0	4.500406914744058
1985	1	5	0	0	4.472048773991356
1985	1	6	0	0	1.2376767292070747
1985	1	7	0	0	4.141442075808208
1985	1	8	0	0	0.9259842041111347
1985	1	9	0	0	1.2089157799905275
1985	1	10	0	0	1.6916322834690625
1985	1	11	0	0	0.6082332300894003
1985	1	12	0	0	0.6528940041211377
1985	1	13	0	0	1.5839202098884004
1985	1	14	0	0	1.6794519354182682
1985	1	15	0	0	0.5828886286130773
1985	1	16	0	0	2.660232873752822
1985	1	17	0	0	0.9209153625172734
1985	1	18	0	0	5.526137463001652
1985	1	19	0	0	6.167075043491223
1985	1	20	0	0	5.892021991891034
1985	1	21	0	0	5.937549571462401
1985	1	22	0	0	5.476353973696614
1985	1	23	0	0	1.885296968599179
1985	1	24	0	0	3.6313981781004547
1985	1	25	0	0	5.604050380894037
1985	1	26	0	0	1.8790809451362345
1985	1	27	0	0	3.708391420040942
1985	1	28	0	0	4.819890270845261
1985	1	29	0	0	5.941399494587165
1985	1	30	0	0	6.868946152304053
1985	1	31	0	0	7.4923911522148785
1985	2	1	0	0	6.566838880008889
1985	2	2	0	0	6.2896934614653395
1985	2	3	0	0	6.889903465121986
1985	2	4	0	0	7.310056558530568
1985	2	5	0	0	5.704239811026957
1985	2	6	0	0	5.0571745501536265
1985	2	7	0	0	3.7876601853801595
1985	2	8	0	0	8.630493835371293
1985	2	9	0	0	8.638934784379021
1985	2	10	0	0	4.458141263079942
1985	2	11	0	0	7.544089897051464
1985	2	12	0	0	3.405030486301161
1985	2	13	0	0	3.212589908092758
1985	2	14	0	0	7.27797278819942
1985	2	15	0	0	1.0770802124747674
1985	2	16	0	0	8.356504549236998
1985	2	17	0	0	9.744276356402573
1985	2	18	0	0	10.534611815479959
1985	2	19	0	0	11.155442873393318
1985	2	20	0	0	11.423245920216738
1985	2	21	0	0	12.426746235697758
1985	2	22	0	0	12.75494516257415
1985	2	23	0	0	13.826251177297317
1985	2	24	0	0	13.425013609676641
1985	2	25	0	0	11.346920262976406
1985	2	26	0	0	2.7296465969116284
1985	2	27	0	0	8.42614797852267
1985	2	28	0	0	2.3383326454924753
1985	3	1	0	0	3.2690907836315315
1985	3	2	0	0	3.625653539479666
1985	3	3	0	0	1.5019748817408896
1985	3	4	0	0	4.535896629304069
1985	3	5	0	0	2.105446356006788
1985	3	6	0	0	3.144153809855416
1985	3	7	0	0	14.668604915710551
1985	3	8	0	0	14.256574381674893
1985	3	9	0	0	11.199084771848286
1985	3	10	0	0	7.99612095595318
1985	3	11	0	0	14.899622377013426
1985	3	12	0	0	14.876358335880049
1985	3	13	0	0	4.665060744214444
1985	3	14	0	0	13.522904506708993
1985	3	15	0	0	2.2316947466230026
1985	3	16	0	0	8.917009213879728
1985	3	17	0	0	6.697561525836938
1985	3	18	0	0	14.294564512519997
1985	3	19	0	0	13.306210805109659
1985	3	20	0	0	16.700002648062362
1985	3	21	0	0	15.01329559266271
1985	3	22	0	0	9.45473209889279
1985	3	23	0	0	18.7863359480822
1985	3	24	0	0	17.469999915033114
1985	3	25	0	0	5.668131436541938
1985	3	26	0	0	13.62311456732741
1985	3	27	0	0	19.69439736238534
1985	3	28	0	0	15.066417689365135
1985	3	29	0	0	12.648751574354756
1985	3	30	0	0	12.784906665352915
1985	3	31	0	0	18.910307508991345
1985	4	1	0	0	18.566568860120178
1985	4	2	0	0	18.087511000329304
1985	4	3	0	0	18.992238466624503
1985	4	4	0	0	19.027777722319296
1985	4	5	0	0	4.9209137014417985
1985	4	6	0	0	17.465120817253666
1985	4	7	0	0	11.86480725373489
1985	4	8	0	0	14.577372727948744
1985	4	9	0	0	20.63832126719714
1985	4	10	0	0	12.640962793700075
1985	4	11	0	0	7.74186444068339
1985	4	12	0	0	15.904679255567105
1985	4	13	0	0	13.08515655276484
1985	4	14	0	0	21.71360586036488
1985	4	15	0	0	16.749700638946358
1985	4	16	0	0	15.306341041831855
1985	4	17	0	0	4.318533795311125
1985	4	18	0	0	19.468870147489767
1985	4	19	0	0	4.850989347673072
1985	4	20	0	0	12.4357849272739
1985	4	21	0	0	15.935438128657829
1985	4	22	0	0	22.73137219083416
1985	4	23	0	0	21.535354461353243
1985	4	24	0	0	17.144040031787263
1985	4	25	0	0	14.464469501632514
1985	4	26	0	0	12.670698751744695
1985	4	27	0	0	21.58873499691357
1985	4	28	0	0	3.715488401997787
1985	4	29	0	0	20.31606932522714
1985	4	30	0	0	24.783390841886295
1985	5	1	0	0	17.972384864654593
1985	5	2	0	0	13.708758886296769
1985	5	3	0	0	21.87814130161989
1985	5	4	0	0	12.103486576304027
1985	5	5	0	0	21.762419844307622
1985	5	6	0	0	24.802173722302097
1985	5	7	0	0	12.295936346518515
1985	5	8	0	0	22.73878117114992
1985	5	9	0	0	20.461363053910183
1985	5	10	0	0	20.75853029348042
1985	5	11	0	0	25.24663675223398
1985	5	12	0	0	25.975720437806135
1985	5	13	0	0	21.228246936510192
1985	5	14	0	0	7.555822545326886
1985	5	15	0	0	26.58634539884211
1985	5	16	0	0	17.579215102142506
1985	5	17	0	0	18.538082568810662
1985	5	18	0	0	5.108462069607677
1985	5	19	0	0	12.144631904026504
1985	5	20	0	0	22.722274318316572
1985	5	21	0	0	20.200462911102903
1985	5	22	0	0	19.44385831134976
1985	5	23	0	0	26.77247194695152
1985	5	24	0	0	9.325358069241888
1985	5	25	0	0	20.27741939179609
1985	5	26	0	0	17.619747778690417
1985	5	27	0	0	20.976124627148923
1985	5	28	0	0	13.48102235066423
1985	5	29	0	0	8.992238724641751
1985	5	30	0	0	8.273040775088509
1985	5	31	0	0	20.133595987024236
1985	6	1	0	0	15.193361891104013
1985	6	2	0	0	6.3520129602359825
1985	6	3	0	0	8.235598209212789
1985	6	4	0	0	7.261247129561522
1985	6	5	0	0	15.974447029278073
1985	6	6	0	0	29.991450605606815
1985	6	7	0	0	13.80252912324938
1985	6	8	0	0	8.324208628391201
1985	6	9	0	0	16.315223448930855
1985	6	10	0	0	13.382521955101382
1985	6	11	0	0	20.781861958387413
1985	6	12	0	0	19.503557315156534
1985	6	13	0	0	17.759258085772945
1985	6	14	0	0	17.921119965846483
1985	6	15	0	0	31.590000000000003
1985	6	16	0	0	29.89334412296692
1985	6	17	0	0	30.035095861906978
1985	6	18	0	0	12.595806790295992
1985	6	19	0	0	15.10550156819975
1985	6	20	0	0	16.540161303028725
1985	6	21	0	0	20.2916172731646
1985	6	22	0	0	11.432041580865485
1985	6	23	0	0	20.494805701618485
1985	6	24	0	0	27.641308988428158
1985	6	25	0	0	18.605844029590134
1985	6	26	0	0	16.29314956757215
1985	6	27	0	0	12.741027458657964
1985	6	28	0	0	5.7277579016393485
1985	6	29	0	0	24.154336877271124
1985	6	30	0	0	28.745574703361857
1985	7	1	0	0	22.877609914772815
1985	7	2	0	0	20.748381096602017
1985	7	3	0	0	19.02396636681935
1985	7	4	0	0	13.957029741285304
1985	7	5	0	0	11.302851325137523
1985	7	6	0	0	4.923773287790899
1985	7	7	0	0	15.559824713888158
1985	7	8	0	0	18.99966001263987
1985	7	9	0	0	12.340375952471797
1985	7	10	0	0	17.338511407459798
1985	7	11	0	0	23.759378664182382
1985	7	12	0	0	26.30402520786697
1985	7	13	0	0	26.321855445769916
1985	7	14	0	0	28.150174778955698
1985	7	15	0	0	28.554423602507253
1985	7	16	0	0	28.342634528311777
1985	7	17	0	0	27.583822972585093
1985	7	18	0	0	24.91756341244514
1985	7	19	0	0	18.529330152671392
1985	7	20	0	0	16.017174036376705
1985	7	21	0	0	23.804395960169977
1985	7	22	0	0	24.826527795408683
1985	7	23	0	0	25.875069646712575
1985	7	24	0	0	9.430684495394257
1985	7	25	0	0	7.267788341335196
1985	7	26	0	0	13.02445693726612
