YYYY	MM	DD	hh	mm	TA	TA_min	TA_max
2015	1	1	0	0		2.1420593	4.415436
2015	1	2	0	0		0.7546387	3.9734497
2015	1	3	0	0		0.92578125	5.663208
2015	1	4	0	0		2.8891296	5.6627502
2015	1	5	0	0		1.7581482	6.1413574
2015	1	6	0	0		1.7424011	4.0745544
2015	1	7	0	0		2.4559631	5.321808
2015	1	8	0	0		3.8796387	8.20639
2015	1	9	0	0		2.3006592	4.5582886
2015	1	10	0	0		0.72109985	3.5313416
2015	1	11	0	0		1.9172668	4.1689453
2015	1	12	0	0		1.1984863	6.894348
2015	1	13	0	0		4.7122803	8.52417
2015	1	14	0	0		-0.2640381	4.665039
2015	1	15	0	0		-0.8923645	3.1703186
2015	1	16	0	0		3.0758667	6.8370667
2015	1	17	0	0		6.8415527	9.168793
2015	1	18	0	0		7.660309	9.463379
2015	1	19	0	0		4.685913	9.332031
2015	1	20	0	0		5.890106	9.453339
2015	1	21	0	0		4.6845093	8.846313
2015	1	22	0	0		4.6734314	9.029572
2015	1	23	0	0		4.7296753	8.349915
2015	1	24	0	0		2.7463074	6.5269775
2015	1	25	0	0		2.061615	9.227142
2015	1	26	0	0		4.5151978	9.546631
2015	1	27	0	0		4.630829	9.313293
2015	1	28	0	0		2.7375183	7.399292
2015	1	29	0	0		4.756592	8.785919
2015	1	30	0	0		4.758545	8.622131
2015	1	31	0	0		2.8321228	7.421356
2015	2	1	0	0		2.9804688	6.187958
2015	2	2	0	0		3.3022156	5.4832764
2015	2	3	0	0		-1.3729858	3.3855896
2015	2	4	0	0		-4.698944	0.38171387
2015	2	5	0	0		0.39456177	7.4979553
2015	2	6	0	0		1.7504272	7.4330444
2015	2	7	0	0		1.3310852	5.636963
2015	2	8	0	0		2.8072815	6.4382935
2015	2	9	0	0		1.1662598	7.023529
2015	2	10	0	0		-0.4746399	2.830841
2015	2	11	0	0		0.99121094	3.1002502
2015	2	12	0	0		0.7232361	3.3415527
2015	2	13	0	0		1.375824	3.1612854
2015	2	14	0	0		1.0862122	3.396515
2015	2	15	0	0		0.20095825	3.4038696
2015	2	16	0	0		0.66986084	5.2524414
2015	2	17	0	0		0.9831543	6.0680237
2015	2	18	0	0		2.9568176	8.6397705
2015	2	19	0	0		0.115753174	8.912109
2015	2	20	0	0		-2.0071716	1.301117
2015	2	21	0	0		-2.809204	-0.8078308
2015	2	22	0	0		-3.1282654	1.3048706
2015	2	23	0	0		-4.5785522	0.99038696
2015	2	24	0	0		-6.126953	-0.8262329
2015	2	25	0	0		-5.032501	1.3179626
2015	2	26	0	0		0.6411743	5.0736084
2015	2	27	0	0		0.9057617	5.83136
2015	2	28	0	0		-0.33044434	5.9300537
2015	3	1	0	0		-4.3213196	-0.33596802
2015	3	2	0	0		-5.4394836	0.096221924
2015	3	3	0	0		-4.338501	3.675537
2015	3	4	0	0		3.4328308	8.6875305
2015	3	5	0	0		4.32489	7.712097
2015	3	6	0	0		3.0930176	11.154663
2015	3	7	0	0		4.3039246	6.227783
2015	3	8	0	0		3.1576233	8.595123
2015	3	9	0	0		3.2400818	8.108429
2015	3	10	0	0		4.8935547	14.464691
2015	3	11	0	0		8.814606	13.021484
2015	3	12	0	0		8.858093	14.38269
