YYYY	MM	DD	hh	mm	TA	TA_min	TA_max
2015	1	1	0	0		1.6853333	6.990814
2015	1	2	0	0		-1.0913391	2.6540222
2015	1	3	0	0		-2.033844	5.0568237
2015	1	4	0	0		4.9165344	11.841949
2015	1	5	0	0		5.33609	9.353241
2015	1	6	0	0		3.6017761	5.7931213
2015	1	7	0	0		2.3389587	9.472229
2015	1	8	0	0		5.1506653	9.989838
2015	1	9	0	0		5.4818115	9.7586975
2015	1	10	0	0		6.4102783	9.874725
2015	1	11	0	0		8.858398	12.199982
2015	1	12	0	0		7.4498596	12.369415
2015	1	13	0	0		5.238861	12.886505
2015	1	14	0	0		3.7311401	9.697296
2015	1	15	0	0		4.375519	9.406464
2015	1	16	0	0		2.355072	6.048126
2015	1	17	0	0		3.3406067	9.130463
2015	1	18	0	0		4.0811462	8.533264
2015	1	19	0	0		3.1202087	9.067566
2015	1	20	0	0		4.392212	10.31543
2015	1	21	0	0		4.36792	10.6910095
2015	1	22	0	0		0.91189575	7.624695
2015	1	23	0	0		0.75198364	4.6876526
2015	1	24	0	0		1.0730896	10.270782
2015	1	25	0	0		1.6212769	8.14679
2015	1	26	0	0		0.011871338	7.7476807
2015	1	27	0	0		2.6612854	6.780731
2015	1	28	0	0		5.738434	11.057648
2015	1	29	0	0		2.018158	5.823395
2015	1	30	0	0		3.0279846	10.525513
2015	1	31	0	0		1.9977722	5.2005005
2015	2	1	0	0		3.414154	9.383759
2015	2	2	0	0		7.8088684	11.050018
2015	2	3	0	0		5.6558533	9.57132
2015	2	4	0	0		4.463257	8.147491
2015	2	5	0	0		5.8038025	10.32547
2015	2	6	0	0		3.475525	11.839691
2015	2	7	0	0		2.8467102	12.726593
2015	2	8	0	0		7.3144226	12.522186
2015	2	9	0	0		6.059845	8.9409485
2015	2	10	0	0		6.4441833	9.947479
2015	2	11	0	0		5.8255005	9.319885
2015	2	12	0	0		2.7254333	11.381561
2015	2	13	0	0		2.3454895	12.476959
2015	2	14	0	0		5.3351135	12.401093
2015	2	15	0	0		6.153076	11.627838
2015	2	16	0	0		3.6142273	11.38382
2015	2	17	0	0		0.90908813	10.53949
2015	2	18	0	0		0.84524536	11.674896
2015	2	19	0	0		0.14486694	7.8308105
2015	2	20	0	0		-0.16268921	6.5399475
2015	2	21	0	0		-0.92852783	8.304413
2015	2	22	0	0		-1.9223328	7.762451
2015	2	23	0	0		-1.723053	9.60611
2015	2	24	0	0		-1.6481628	10.82785
2015	2	25	0	0		0.7615051	8.605438
2015	2	26	0	0		0.49020386	9.214203
2015	2	27	0	0		7.4094543	9.930084
2015	2	28	0	0		0.36972046	7.7278137
2015	3	1	0	0		-0.038848877	7.1842346
2015	3	2	0	0		3.577423	8.245483
2015	3	3	0	0		2.2153625	8.105469
2015	3	4	0	0		1.6574707	10.225372
2015	3	5	0	0		2.0643005	6.411621
2015	3	6	0	0		6.243042	9.15683
2015	3	7	0	0		6.1210938	14.050751
2015	3	8	0	0		3.410553	9.404938
2015	3	9	0	0		0.88308716	10.224731
2015	3	10	0	0		-0.080963135	9.328705
2015	3	11	0	0		0.8208008	8.5173645
2015	3	12	0	0		-0.2871399	10.378387
2015	3	13	0	0		-0.88235474	10.3437195
2015	3	14	0	0		-1.1344604	12.194977
