Name: Freiburg (ID: 1443)			
Lat: 48.0232   ,Lon: 7.8343			
Jahr	Monat	Tag	T
1994	1	1	3.5
1994	1	2	7.1
1994	1	3	9.4
1994	1	4	7.6
1994	1	5	7.8
1994	1	6	7.2
1994	1	7	5.0
1994	1	8	3.8
1994	1	9	2.6
1994	1	10	0.9
1994	1	11	4.0
1994	1	12	8.3
1994	1	13	10.3
1994	1	14	8.0
1994	1	15	4.1
1994	1	16	2.2
1994	1	17	0.3
1994	1	18	-2.5
1994	1	19	-3.0
1994	1	20	-2.8
1994	1	21	-2.1
1994	1	22	-0.9
1994	1	23	4.8
1994	1	24	8.0
1994	1	25	10.6
1994	1	26	6.0
1994	1	27	8.6
1994	1	28	4.8
1994	1	29	1.8
1994	1	30	6.9
1994	1	31	3.7
1994	2	1	4.5
1994	2	2	7.3
1994	2	3	9.1
1994	2	4	5.4
1994	2	5	4.8
1994	2	6	5.1
1994	2	7	5.2
1994	2	8	4.0
1994	2	9	4.5
1994	2	10	4.3
1994	2	11	2.8
1994	2	12	1.5
1994	2	13	-0.4
1994	2	14	-2.0
1994	2	15	-0.8
1994	2	16	-0.6
1994	2	17	-0.3
1994	2	18	0.7
1994	2	19	-1.8
1994	2	20	1.7
1994	2	21	0.3
1994	2	22	6.2
1994	2	23	7.3
1994	2	24	7.3
1994	2	25	7.3
1994	2	26	10.1
1994	2	27	10.3
1994	2	28	9.9
1994	3	1	9.2
1994	3	2	7.2
1994	3	3	9.8
1994	3	4	5.1
1994	3	5	10.4
1994	3	6	8.9
1994	3	7	10.1
1994	3	8	11.0
1994	3	9	12.6
1994	3	10	10.4
1994	3	11	9.8
1994	3	12	9.7
1994	3	13	9.5
1994	3	14	10.6
1994	3	15	10.6
1994	3	16	8.4
1994	3	17	5.7
1994	3	18	8.2
1994	3	19	9.8
1994	3	20	9.2
1994	3	21	10.6
1994	3	22	10.9
1994	3	23	14.0
1994	3	24	16.0
1994	3	25	17.9
1994	3	26	7.3
1994	3	27	6.6
1994	3	28	10.0
1994	3	29	13.7
1994	3	30	14.7
1994	3	31	14.8
1994	4	1	10.7
1994	4	2	4.8
1994	4	3	2.7
1994	4	4	6.3
1994	4	5	4.3
1994	4	6	5.0
1994	4	7	7.0
1994	4	8	6.5
1994	4	9	6.2
1994	4	10	5.4
1994	4	11	5.2
1994	4	12	6.7
1994	4	13	6.1
1994	4	14	5.5
1994	4	15	6.2
1994	4	16	10.6
1994	4	17	7.3
1994	4	18	6.1
1994	4	19	8.1
1994	4	20	9.5
1994	4	21	11.7
1994	4	22	13.8
1994	4	23	14.8
1994	4	24	14.7
1994	4	25	10.9
1994	4	26	11.6
1994	4	27	13.5
1994	4	28	14.6
1994	4	29	18.7
1994	4	30	18.8
1994	5	1	14.7
1994	5	2	14.5
1994	5	3	17.5
1994	5	4	11.6
1994	5	5	10.2
1994	5	6	13.0
1994	5	7	15.6
1994	5	8	14.3
1994	5	9	10.9
1994	5	10	12.2
1994	5	11	15.5
1994	5	12	14.4
1994	5	13	16.2
1994	5	14	15.1
1994	5	15	17.0
1994	5	16	18.1
1994	5	17	15.9
1994	5	18	13.4
1994	5	19	13.2
1994	5	20	13.3
1994	5	21	14.6
1994	5	22	18.8
1994	5	23	16.5
1994	5	24	17.0
1994	5	25	15.0
1994	5	26	14.4
1994	5	27	13.0
1994	5	28	15.1
1994	5	29	15.6
1994	5	30	14.5
1994	5	31	16.1
1994	6	1	21.8
1994	6	2	19.6
1994	6	3	16.4
1994	6	4	13.7
1994	6	5	12.3
1994	6	6	14.2
1994	6	7	18.2
1994	6	8	19.4
1994	6	9	11.1
1994	6	10	10.1
1994	6	11	11.4
1994	6	12	15.7
1994	6	13	18.0
1994	6	14	16.3
1994	6	15	19.8
1994	6	16	19.9
1994	6	17	19.0
1994	6	18	22.7
1994	6	19	21.7
1994	6	20	18.8
1994	6	21	20.6
1994	6	22	22.4
1994	6	23	21.9
1994	6	24	24.4
1994	6	25	23.0
1994	6	26	21.0
1994	6	27	20.4
1994	6	28	23.1
1994	6	29	22.9
1994	6	30	23.5
1994	7	1	24.7
1994	7	2	25.9
1994	7	3	27.2
1994	7	4	27.6
1994	7	5	22.6
1994	7	6	21.6
1994	7	7	19.3
1994	7	8	17.7
1994	7	9	18.1
1994	7	10	21.7
1994	7	11	23.5
1994	7	12	24.2
1994	7	13	23.2
1994	7	14	21.0
1994	7	15	22.6
1994	7	16	23.4
1994	7	17	22.3
1994	7	18	21.5
1994	7	19	19.5
1994	7	20	18.6
1994	7	21	22.0
1994	7	22	23.0
1994	7	23	22.9
1994	7	24	24.8
1994	7	25	23.5
1994	7	26	22.8
1994	7	27	24.8
1994	7	28	24.7
1994	7	29	24.2
1994	7	30	22.1
1994	7	31	22.0
1994	8	1	20.8
1994	8	2	22.2
1994	8	3	23.6
1994	8	4	25.6
1994	8	5	26.8
1994	8	6	25.0
1994	8	7	25.1
1994	8	8	21.8
1994	8	9	22.9
1994	8	10	21.3
1994	8	11	20.1
1994	8	12	17.3
1994	8	13	18.1
1994	8	14	15.3
1994	8	15	16.8
1994	8	16	18.7
1994	8	17	17.7
1994	8	18	16.4
1994	8	19	19.1
1994	8	20	20.2
1994	8	21	22.0
1994	8	22	24.1
1994	8	23	23.7
1994	8	24	18.6
1994	8	25	17.1
1994	8	26	18.6
1994	8	27	17.8
1994	8	28	18.9
1994	8	29	17.2
1994	8	30	17.7
1994	8	31	16.0
1994	9	1	18.9
1994	9	2	17.5
1994	9	3	14.7
1994	9	4	16.4
1994	9	5	17.3
1994	9	6	22.3
1994	9	7	15.8
1994	9	8	14.8
1994	9	9	14.2
1994	9	10	15.8
1994	9	11	17.0
1994	9	12	18.8
1994	9	13	15.9
1994	9	14	14.7
1994	9	15	12.0
1994	9	16	11.9
1994	9	17	8.2
1994	9	18	9.8
