YYYY	MM	DD	hh	mm	RS
2080	1	1	0	0	2.034858288559746
2080	1	2	0	0	3.875900335236484
2080	1	3	0	0	2.32732443415621
2080	1	4	0	0	1.4171015031346799
2080	1	5	0	0	2.51519903640036
2080	1	6	0	0	1.3931548111954484
2080	1	7	0	0	1.5288082345582417
2080	1	8	0	0	0.7825156828276746
2080	1	9	0	0	1.1271114992489992
2080	1	10	0	0	3.0225570259468784
2080	1	11	0	0	1.5889590980932926
2080	1	12	0	0	1.9295576413175428
2080	1	13	0	0	1.405988540132567
2080	1	14	0	0	1.40199302406581
2080	1	15	0	0	3.2832459457467356
2080	1	16	0	0	4.631998257249454
2080	1	17	0	0	1.468070324460743
2080	1	18	0	0	4.622285127208873
2080	1	19	0	0	2.1969195191264648
2080	1	20	0	0	1.2937921372139443
2080	1	21	0	0	0.9703701126505009
2080	1	22	0	0	5.011140431342845
2080	1	23	0	0	3.8366649068153533
2080	1	24	0	0	4.13481851621103
2080	1	25	0	0	4.863875204253001
2080	1	26	0	0	2.1005988526632873
2080	1	27	0	0	2.129526587834283
2080	1	28	0	0	3.29430760980183
2080	1	29	0	0	0.6018655447216432
2080	1	30	0	0	6.468140735959583
2080	1	31	0	0	5.019581786117571
2080	2	1	0	0	4.61387515706617
2080	2	2	0	0	5.800856679125736
2080	2	3	0	0	7.0747926736210065
2080	2	4	0	0	3.408575378902376
2080	2	5	0	0	6.962233255494066
2080	2	6	0	0	7.211827483192742
2080	2	7	0	0	1.1083857850506096
2080	2	8	0	0	1.0867359416492708
2080	2	9	0	0	1.5535454977569831
2080	2	10	0	0	1.895885038613575
2080	2	11	0	0	3.449140772730172
2080	2	12	0	0	1.6592029958587593
2080	2	13	0	0	1.120532059201058
2080	2	14	0	0	1.26239436822888
2080	2	15	0	0	3.408946124068213
2080	2	16	0	0	3.188706512719568
2080	2	17	0	0	4.26834082990108
2080	2	18	0	0	3.0192766400223103
2080	2	19	0	0	0.8698193083575706
2080	2	20	0	0	4.012013796342714
2080	2	21	0	0	9.147788358435418
2080	2	22	0	0	7.647672371610261
2080	2	23	0	0	3.7832122083947337
2080	2	24	0	0	4.550028351249703
2080	2	25	0	0	4.632508545977174
2080	2	26	0	0	9.5064497190593
2080	2	27	0	0	1.37129135910063
2080	2	28	0	0	6.682526258984318
2080	2	29	0	0	4.719699471900087
2080	3	1	0	0	2.7568726848158573
2080	3	2	0	0	2.5205871306056404
2080	3	3	0	0	12.308807838368361
2080	3	4	0	0	1.5422420733373094
2080	3	5	0	0	2.762887946466537
2080	3	6	0	0	6.677749600183988
2080	3	7	0	0	3.124092758459573
2080	3	8	0	0	4.654643086199978
2080	3	9	0	0	2.6303102662036553
2080	3	10	0	0	6.060364095909682
2080	3	11	0	0	3.0336087431294754
2080	3	12	0	0	2.7786914864406604
2080	3	13	0	0	8.832510354376685
2080	3	14	0	0	12.32623092696434
2080	3	15	0	0	15.613872464109859
2080	3	16	0	0	12.371778132087803
2080	3	17	0	0	2.5787991058904622
2080	3	18	0	0	4.3100431406654085
2080	3	19	0	0	2.788859564958131
2080	3	20	0	0	7.89397214799051
2080	3	21	0	0	5.116496750255886
2080	3	22	0	0	7.581512886870375
2080	3	23	0	0	9.239962495381862
2080	3	24	0	0	5.39260804711898
2080	3	25	0	0	10.055755305082485
2080	3	26	0	0	11.095861539827318
2080	3	27	0	0	4.53791004900565
2080	3	28	0	0	6.591557569195995
2080	3	29	0	0	4.63992611441907
2080	3	30	0	0	7.666553888888851
2080	3	31	0	0	5.718089161535043
2080	4	1	0	0	5.320848029497592
2080	4	2	0	0	8.10648865488888
2080	4	3	0	0	4.781890423779232
2080	4	4	0	0	13.197509509934248
2080	4	5	0	0	12.16122540950641
2080	4	6	0	0	9.912666361626894
2080	4	7	0	0	9.42860588389825
2080	4	8	0	0	6.226317569288135
2080	4	9	0	0	12.805323813577006
2080	4	10	0	0	8.531235297305715
2080	4	11	0	0	11.323411814762958
2080	4	12	0	0	16.142233165112994
2080	4	13	0	0	10.656546297327909
2080	4	14	0	0	14.840155660849948
2080	4	15	0	0	3.475053476318704
2080	4	16	0	0	2.538777594921054
2080	4	17	0	0	6.000064506830964
2080	4	18	0	0	20.316385050337292
2080	4	19	0	0	22.33999384007867
2080	4	20	0	0	21.987480828620736
2080	4	21	0	0	18.417040370859365
2080	4	22	0	0	9.743342023056789
2080	4	23	0	0	9.46497603023159
2080	4	24	0	0	16.772133050375675
2080	4	25	0	0	15.612528663196159
2080	4	26	0	0	15.212903115903034
2080	4	27	0	0	8.563707942114382
2080	4	28	0	0	14.486203004266168
2080	4	29	0	0	18.744926609119307
2080	4	30	0	0	16.502831601983626
2080	5	1	0	0	17.294367150810924
2080	5	2	0	0	19.70821446079041
2080	5	3	0	0	18.320785736561366
2080	5	4	0	0	19.261835039846247
2080	5	5	0	0	19.59765792170265
2080	5	6	0	0	17.859860730047032
2080	5	7	0	0	6.406351293604859
2080	5	8	0	0	13.836649733898106
2080	5	9	0	0	20.217892338600855
2080	5	10	0	0	23.434254812292743
2080	5	11	0	0	24.380404285116814
2080	5	12	0	0	24.348173830180937
2080	5	13	0	0	24.280934962775355
2080	5	14	0	0	25.004212173853833
2080	5	15	0	0	23.610396414915332
2080	5	16	0	0	25.16100739147164
2080	5	17	0	0	26.116507083386793
2080	5	18	0	0	25.883072390126188
2080	5	19	0	0	12.533454569623967
2080	5	20	0	0	22.498048560834405
2080	5	21	0	0	20.143326276160646
2080	5	22	0	0	14.776150511195654
2080	5	23	0	0	23.84409118798455
2080	5	24	0	0	23.743195688978556
2080	5	25	0	0	25.9178365997439
2080	5	26	0	0	14.734418855184403
2080	5	27	0	0	25.946963555120153
2080	5	28	0	0	17.79359760890139
2080	5	29	0	0	19.717139010261917
2080	5	30	0	0	18.357950677820686
2080	5	31	0	0	25.474708490120467
2080	6	1	0	0	16.45747444800464
2080	6	2	0	0	23.14309012872978
2080	6	3	0	0	21.053331556833744
2080	6	4	0	0	10.156867326375005
2080	6	5	0	0	10.098521808127057
2080	6	6	0	0	21.806845736597683
2080	6	7	0	0	26.91118437393194
2080	6	8	0	0	20.81511122147879
2080	6	9	0	0	11.80137827789548
2080	6	10	0	0	13.820491096713909
2080	6	11	0	0	14.772045370614826
2080	6	12	0	0	6.952821466106791
2080	6	13	0	0	22.987768158508956
2080	6	14	0	0	15.989201623478968
2080	6	15	0	0	11.607818526284143
2080	6	16	0	0	12.446529618803444
2080	6	17	0	0	27.71871945606219
2080	6	18	0	0	27.22661762402733
2080	6	19	0	0	17.62071203586698
2080	6	20	0	0	22.247093231449288
2080	6	21	0	0	16.732786570404883
2080	6	22	0	0	16.177608745181914
2080	6	23	0	0	26.41325754917071
2080	6	24	0	0	26.229398237892518
2080	6	25	0	0	27.298881215398715
2080	6	26	0	0	24.469018490378332
2080	6	27	0	0	26.523230632163077
2080	6	28	0	0	10.688867192318543
2080	6	29	0	0	22.287198255889447
2080	6	30	0	0	28.713403794968933
2080	7	1	0	0	26.333921144951137
2080	7	2	0	0	27.45060729174867
2080	7	3	0	0	27.054273829897554
2080	7	4	0	0	28.53500868791643
2080	7	5	0	0	27.62016112975735
2080	7	6	0	0	26.465853863859643
2080	7	7	0	0	21.141296336157094
2080	7	8	0	0	24.112222425372302
2080	7	9	0	0	25.81363312718979
2080	7	10	0	0	23.68568563619403
2080	7	11	0	0	23.60406286443139
2080	7	12	0	0	24.13738992264411
2080	7	13	0	0	24.44474024989822
2080	7	14	0	0	24.55684440378829
2080	7	15	0	0	24.93000420491376
2080	7	16	0	0	24.255253382774693
2080	7	17	0	0	24.928418922298274
2080	7	18	0	0	25.45196845789633
2080	7	19	0	0	24.529251894000453
2080	7	20	0	0	23.20989747255896
2080	7	21	0	0	18.140867880849736
2080	7	22	0	0	16.588163927776954
2080	7	23	0	0	19.625810580676802
2080	7	24	0	0	24.54988231606314
2080	7	25	0	0	25.63952558960958
2080	7	26	0	0	11.758481909345694
2080	7	27	0	0	12.505712914184747
2080	7	28	0	0	11.720067469886132
2080	7	29	0	0	11.868169800458537
2080	7	30	0	0	17.318879892607825
2080	7	31	0	0	11.76253682539726
2080	8	1	0	0	8.0102487131958
2080	8	2	0	0	10.537401577134874
2080	8	3	0	0	15.845890579752242
2080	8	4	0	0	21.178031086857143
