YYYY	MM	DD	hh	mm	RS
1985	1	1	0	0	3.1658059678028723
1985	1	2	0	0	2.4749920367677585
1985	1	3	0	0	2.7618737194801124
1985	1	4	0	0	1.537066522823348
1985	1	5	0	0	1.6010853740147835
1985	1	6	0	0	1.4490509251083754
1985	1	7	0	0	1.599795166186812
1985	1	8	0	0	2.853300138108832
1985	1	9	0	0	3.704019596601376
1985	1	10	0	0	2.4951337195313235
1985	1	11	0	0	1.0058165237617518
1985	1	12	0	0	2.85713025436976
1985	1	13	0	0	1.7994732302228833
1985	1	14	0	0	1.8760821148464886
1985	1	15	0	0	1.5366041428939434
1985	1	16	0	0	1.5289865286670918
1985	1	17	0	0	2.056630442857243
1985	1	18	0	0	1.4565087866108823
1985	1	19	0	0	1.5334830436021631
1985	1	20	0	0	1.7985521353243652
1985	1	21	0	0	1.606834414189363
1985	1	22	0	0	4.4450699154689755
1985	1	23	0	0	3.7999384183676965
1985	1	24	0	0	3.0427799263968933
1985	1	25	0	0	4.39221558393151
1985	1	26	0	0	4.852112049616375
1985	1	27	0	0	3.0052864949405187
1985	1	28	0	0	2.9397320194953376
1985	1	29	0	0	1.529379564386829
1985	1	30	0	0	5.5859797655811025
1985	1	31	0	0	1.873442430492892
1985	2	1	0	0	2.62421475446016
1985	2	2	0	0	1.727368877444118
1985	2	3	0	0	2.9102015575804008
1985	2	4	0	0	3.2641454416782247
1985	2	5	0	0	2.910352181321258
1985	2	6	0	0	2.638037625588855
1985	2	7	0	0	2.842930550698056
1985	2	8	0	0	6.701089495967954
1985	2	9	0	0	5.285306811236095
1985	2	10	0	0	6.067680266607505
1985	2	11	0	0	2.811400674537972
1985	2	12	0	0	5.32939775363979
1985	2	13	0	0	3.888137145830305
1985	2	14	0	0	8.637599237827867
1985	2	15	0	0	9.42497574736585
1985	2	16	0	0	9.48615077019839
1985	2	17	0	0	9.413106537005973
1985	2	18	0	0	9.58871468123548
1985	2	19	0	0	4.519851975849105
1985	2	20	0	0	2.9156794063238016
1985	2	21	0	0	2.3287233570270307
1985	2	22	0	0	8.154290233706176
1985	2	23	0	0	3.633714263056222
1985	2	24	0	0	6.213812733973722
1985	2	25	0	0	5.469092071167644
1985	2	26	0	0	7.610225810469017
1985	2	27	0	0	4.461879734573202
1985	2	28	0	0	3.2984112163351247
1985	3	1	0	0	5.397753161100347
1985	3	2	0	0	12.792802124297548
1985	3	3	0	0	3.4470200874411274
1985	3	4	0	0	2.6912239791088495
1985	3	5	0	0	3.6114436515127912
1985	3	6	0	0	9.404065180331626
1985	3	7	0	0	8.896437297295547
1985	3	8	0	0	11.722863213633659
1985	3	9	0	0	10.746486717132182
1985	3	10	0	0	7.290035482277293
1985	3	11	0	0	4.626589035808127
1985	3	12	0	0	6.891377807821721
1985	3	13	0	0	10.421280721749168
1985	3	14	0	0	2.8302329096620187
1985	3	15	0	0	10.977614755124199
1985	3	16	0	0	4.444506043390697
1985	3	17	0	0	12.033736643750775
1985	3	18	0	0	4.166133056341765
1985	3	19	0	0	14.388118470660586
1985	3	20	0	0	11.558614276045958
1985	3	21	0	0	2.8798974240930173
1985	3	22	0	0	5.893799312381041
1985	3	23	0	0	16.180824375597947
1985	3	24	0	0	16.165816189219125
1985	3	25	0	0	5.858139664002367
1985	3	26	0	0	13.904926127263009
1985	3	27	0	0	4.777911721675739
1985	3	28	0	0	14.93980681710888
1985	3	29	0	0	7.856044187370089
1985	3	30	0	0	7.420705589087603
1985	3	31	0	0	4.773984615987328
1985	4	1	0	0	10.119838832162841
1985	4	2	0	0	8.464774571925
1985	4	3	0	0	8.134401640533293
1985	4	4	0	0	6.8001791449124855
1985	4	5	0	0	19.81627795361232
1985	4	6	0	0	8.102717337857735
1985	4	7	0	0	8.939533355402284
1985	4	8	0	0	7.354729516736651
1985	4	9	0	0	19.840749255344825
1985	4	10	0	0	21.04600137355299
1985	4	11	0	0	20.166272264831736
1985	4	12	0	0	21.376806286958324
1985	4	13	0	0	14.508054032154481
1985	4	14	0	0	22.825528416334482
1985	4	15	0	0	22.923266770922517
1985	4	16	0	0	22.587890930133064
1985	4	17	0	0	20.723102326280394
1985	4	18	0	0	17.871692757806105
1985	4	19	0	0	23.316519013906465
1985	4	20	0	0	20.781785381401356
1985	4	21	0	0	22.774471530597364
1985	4	22	0	0	23.80690620511304
1985	4	23	0	0	23.11491553652327
1985	4	24	0	0	19.048271629710243
1985	4	25	0	0	23.849850626906946
1985	4	26	0	0	23.076323291057644
1985	4	27	0	0	22.006289141942805
1985	4	28	0	0	8.083220811834545
1985	4	29	0	0	9.992907758731594
1985	4	30	0	0	9.410177594129934
1985	5	1	0	0	9.723229911763287
1985	5	2	0	0	11.869338381919864
1985	5	3	0	0	18.03599637701524
1985	5	4	0	0	16.13127235884356
1985	5	5	0	0	11.704468781263996
1985	5	6	0	0	11.880206826590852
1985	5	7	0	0	18.79292970236886
1985	5	8	0	0	23.623855512918944
1985	5	9	0	0	25.461998101233508
1985	5	10	0	0	25.482333874260327
1985	5	11	0	0	14.964030207919382
1985	5	12	0	0	14.356442776935571
1985	5	13	0	0	18.629789846359337
1985	5	14	0	0	14.487389265754137
1985	5	15	0	0	10.093547219970585
1985	5	16	0	0	22.657398658238506
1985	5	17	0	0	11.45601067763137
1985	5	18	0	0	24.30186002295469
1985	5	19	0	0	27.46754981427859
1985	5	20	0	0	18.582712649178998
1985	5	21	0	0	19.96478841625056
1985	5	22	0	0	26.966816070510873
1985	5	23	0	0	23.71288741149545
1985	5	24	0	0	25.945387553565705
1985	5	25	0	0	28.43504958883415
1985	5	26	0	0	25.259914199402154
1985	5	27	0	0	23.768574377111193
1985	5	28	0	0	8.376884106306575
1985	5	29	0	0	8.054679589635652
1985	5	30	0	0	21.704407481817736
1985	5	31	0	0	16.486285237159766
1985	6	1	0	0	10.381705974862157
1985	6	2	0	0	7.1230741587187865
1985	6	3	0	0	27.851292076596657
1985	6	4	0	0	27.005761711327768
1985	6	5	0	0	27.35613252864703
1985	6	6	0	0	23.730214526154263
1985	6	7	0	0	22.52566171285448
1985	6	8	0	0	21.9724192808638
1985	6	9	0	0	29.158875570812256
1985	6	10	0	0	16.81661830856279
1985	6	11	0	0	24.951872834820406
1985	6	12	0	0	18.943922892151498
