YYYY	MM	DD	hh	mm	TA	TA_min	TA_max
2080	1	1	0	0	-3.78984404441003	-3.3148499	1.2851257
2080	1	2	0	0	-3.32987505327423	-2.16391	1.6162415
2080	1	3	0	0	-1.7299484781103602	-1.8565063	1.3911438
2080	1	4	0	0	-1.62750781981058	-2.0274048	0.9668884
2080	1	5	0	0	-2.3258104948825	-2.4911804	0.60409546
2080	1	6	0	0	-1.86608620212592	-1.4463501	1.7238159
2080	1	7	0	0	-2.32057469414892	-2.0596008	1.435852
2080	1	8	0	0	-2.53647471084443	-2.405243	1.3043213
2080	1	9	0	0	-1.12268369577688	-1.1630859	3.380188
2080	1	10	0	0	3.89039502444367	2.3035583	7.582672
2080	1	11	0	0	3.43470971929206	-0.2934265	6.0864563
2080	1	12	0	0	1.86842493063872	0.32019043	7.032013
2080	1	13	0	0	4.7328696791526905	1.006012	7.7992554
2080	1	14	0	0	4.16193807062444	1.268219	10.04422
2080	1	15	0	0	6.14310631461413	3.5629578	11.986176
2080	1	16	0	0	7.72475414077039	3.5262146	11.961182
2080	1	17	0	0	9.934544617779212	7.953888	12.154175
2080	1	18	0	0	10.9109224147764	4.5123596	12.308197
2080	1	19	0	0	4.661437298877241	3.073639	7.798218
2080	1	20	0	0	5.396978585222991	5.1233215	6.5983276
2080	1	21	0	0	6.62186844779742	5.319336	8.851501
2080	1	22	0	0	8.86753613679922	7.4923096	10.46225
2080	1	23	0	0	8.686946056002231	6.461029	11.62619
2080	1	24	0	0	8.64632457417383	6.830658	9.662415
2080	1	25	0	0	6.1037577135597	4.7304688	7.7464294
2080	1	26	0	0	4.83796790608745	4.5690002	7.509491
2080	1	27	0	0	5.762867246880099	3.1238708	8.87796
2080	1	28	0	0	0.4242825300608879	0.38394165	3.0947266
2080	1	29	0	0	-0.3698549811286321	-0.6127014	3.882782
2080	1	30	0	0	1.06386667335919	0.526886	5.1252136
2080	1	31	0	0	2.8960603307361503	1.7953796	7.4720764
2080	2	1	0	0	5.118278478987349	2.4403381	8.654266
2080	2	2	0	0	3.46084545626776	1.5005188	7.4298096
2080	2	3	0	0	3.1880058738256496	1.5245056	5.2828674
2080	2	4	0	0	3.16975814810295	0.8742676	6.893219
2080	2	5	0	0	6.488646416341929	3.6803894	9.19693
2080	2	6	0	0	7.58532672809038	3.52182	12.423859
2080	2	7	0	0	10.9058475445016	9.100311	11.259247
2080	2	8	0	0	6.95781695051212	3.4936523	10.365021
2080	2	9	0	0	3.61096266954643	1.6991272	6.2157288
2080	2	10	0	0	6.67037874490919	4.0400696	7.9305725
2080	2	11	0	0	5.993871521232481	1.611969	8.898773
2080	2	12	0	0	4.61831882981971	1.5091858	8.506012
2080	2	13	0	0	7.71592793832363	4.961609	9.037628
2080	2	14	0	0	9.3434014532409	4.9616394	14.815186
2080	2	15	0	0	10.1613356489791	5.9824524	14.759918
2080	2	16	0	0	11.4294448034872	6.986084	16.641449
2080	2	17	0	0	14.5735961509923	9.747833	17.71109
2080	2	18	0	0	11.7391392838901	9.631805	12.536774
2080	2	19	0	0	7.81747572991356	4.5122375	9.580109
2080	2	20	0	0	4.33272838378082	1.0354309	8.775909
2080	2	21	0	0	3.19452838060021	0.56658936	9.233398
2080	2	22	0	0	1.91096783875552	0.47418213	7.738617
2080	2	23	0	0	1.8092407582425705	0.14376831	7.4124756
2080	2	24	0	0	0.314167000691696	-0.5958557	5.076172
2080	2	25	0	0	-0.7103395458790329	-1.2706909	3.9498596
2080	2	26	0	0	0.0492269572923489	0.07537842	3.3026428
2080	2	27	0	0	1.07882102824673	-0.74282837	5.0085754
2080	2	28	0	0	6.202293270983209	3.543213	9.409241
2080	2	29	0	0	6.52110035654091	4.5556335	9.155731
2080	3	1	0	0	6.182882977225749	2.7584534	9.129608
2080	3	2	0	0	4.02541765426523	2.3070374	8.844513
2080	3	3	0	0	6.395137967446059	2.0752563	12.345184
2080	3	4	0	0	6.64943252448629	1.7137756	12.621674
2080	3	5	0	0	7.39815680357948	3.8169556	13.080078
2080	3	6	0	0	4.842682286515879	1.9431152	7.5419006
2080	3	7	0	0	6.16310647013495	2.3875427	8.883759
2080	3	8	0	0	6.827596851500781	2.2546082	11.508942
2080	3	9	0	0	13.1600864413572	9.128876	16.60318
2080	3	10	0	0	11.3127346760277	4.7254333	14.788727
2080	3	11	0	0	9.1060795066078	2.798523	13.986237
2080	3	12	0	0	6.984824038817919	4.205658	10.204987
2080	3	13	0	0	5.50913229004977	3.035614	8.572418
2080	3	14	0	0	3.98773726271881	1.761383	7.9291077
2080	3	15	0	0	2.17841583195758	0.45962524	7.2137756
2080	3	16	0	0	2.7998745104033103	0.74243164	7.2450256
2080	3	17	0	0	6.611342481656831	4.0833435	9.867584
2080	3	18	0	0	6.53395246715066	4.31131	9.199371
2080	3	19	0	0	4.91896282143808	2.5514526	9.221344
2080	3	20	0	0	4.895244464554599	2.2269897	8.497711
2080	3	21	0	0	0.8506826421721999	-0.28686523	6.3736877
2080	3	22	0	0	2.197390787281	-0.9242554	9.654694
2080	3	23	0	0	5.26785488966985	2.171051	9.27713
2080	3	24	0	0	6.347766351491179	1.8375549	8.9861145
2080	3	25	0	0	8.78375015068587	1.5747375	14.644196
2080	3	26	0	0	11.2326459228794	8.415009	13.765533
2080	3	27	0	0	10.5040794327141	7.4148865	11.721588
2080	3	28	0	0	10.0624572967972	6.490753	14.436188
2080	3	29	0	0	8.7915404861198	5.1523438	10.573639
2080	3	30	0	0	7.035041982138281	5.012146	10.698639
2080	3	31	0	0	8.661412835664741	5.4985046	12.106354
2080	4	1	0	0	10.1839564076235	7.1108093	14.308746
2080	4	2	0	0	10.4791261960234	6.556244	16.612701
2080	4	3	0	0	4.512960151178231	1.0941162	7.5016174
2080	4	4	0	0	2.69880845774814	0.2024231	8.0277405
2080	4	5	0	0	3.96579868567047	2.1487732	8.991608
2080	4	6	0	0	4.95627090906946	2.5318298	8.25235
2080	4	7	0	0	5.528741207816969	1.2467346	8.610992
2080	4	8	0	0	5.809084366520589	0.7537842	11.027496
2080	4	9	0	0	8.61027007043815	5.9250183	12.164215
2080	4	10	0	0	10.6293679069222	7.9039	12.943512
