YYYY	MM	DD	hh	mm	TA
1994	1	1	0	0	2.1
1994	1	2	0	0	3.9
1994	1	3	0	0	7.1
1994	1	4	0	0	6.8
1994	1	5	0	0	6.4
1994	1	6	0	0	5.3
1994	1	7	0	0	4.0
1994	1	8	0	0	3.6
1994	1	9	0	0	3.3
1994	1	10	0	0	2.2
1994	1	11	0	0	2.7
1994	1	12	0	0	7.0
1994	1	13	0	0	7.7
1994	1	14	0	0	6.6
1994	1	15	0	0	2.5
1994	1	16	0	0	1.6
1994	1	17	0	0	-2.1
1994	1	18	0	0	-3.7
1994	1	19	0	0	-4.8
1994	1	20	0	0	-1.7
1994	1	21	0	0	-2.9
1994	1	22	0	0	-0.8
1994	1	23	0	0	4.7
1994	1	24	0	0	5.0
1994	1	25	0	0	8.2
1994	1	26	0	0	3.2
1994	1	27	0	0	6.3
1994	1	28	0	0	1.2
1994	1	29	0	0	0.5
1994	1	30	0	0	4.2
1994	1	31	0	0	1.4
1994	2	1	0	0	1.0
1994	2	2	0	0	4.4
1994	2	3	0	0	4.5
1994	2	4	0	0	4.3
1994	2	5	0	0	2.4
1994	2	6	0	0	3.0
1994	2	7	0	0	3.7
1994	2	8	0	0	2.3
1994	2	9	0	0	3.0
1994	2	10	0	0	2.5
1994	2	11	0	0	0.0
1994	2	12	0	0	0.0
1994	2	13	0	0	-6.5
1994	2	14	0	0	-4.2
1994	2	15	0	0	-2.8
1994	2	16	0	0	-5.1
1994	2	17	0	0	-5.5
1994	2	18	0	0	-5.1
1994	2	19	0	0	-4.6
1994	2	20	0	0	-2.8
1994	2	21	0	0	-2.2
1994	2	22	0	0	1.7
1994	2	23	0	0	4.8
1994	2	24	0	0	4.3
1994	2	25	0	0	4.3
1994	2	26	0	0	6.0
1994	2	27	0	0	7.5
1994	2	28	0	0	8.3
1994	3	1	0	0	7.9
1994	3	2	0	0	5.3
1994	3	3	0	0	5.6
1994	3	4	0	0	3.2
1994	3	5	0	0	6.2
1994	3	6	0	0	7.9
1994	3	7	0	0	7.4
1994	3	8	0	0	9.3
1994	3	9	0	0	11.4
1994	3	10	0	0	7.8
1994	3	11	0	0	6.4
1994	3	12	0	0	6.6
1994	3	13	0	0	7.5
1994	3	14	0	0	8.4
1994	3	15	0	0	8.8
1994	3	16	0	0	4.7
1994	3	17	0	0	2.9
1994	3	18	0	0	4.4
1994	3	19	0	0	5.1
1994	3	20	0	0	3.2
1994	3	21	0	0	4.7
1994	3	22	0	0	7.5
1994	3	23	0	0	12.0
1994	3	24	0	0	12.2
1994	3	25	0	0	13.6
1994	3	26	0	0	5.2
1994	3	27	0	0	3.5
1994	3	28	0	0	7.7
1994	3	29	0	0	10.7
1994	3	30	0	0	12.5
1994	3	31	0	0	9.1
1994	4	1	0	0	9.1
1994	4	2	0	0	3.9
1994	4	3	0	0	2.6
1994	4	4	0	0	4.5
1994	4	5	0	0	4.1
1994	4	6	0	0	3.3
1994	4	7	0	0	5.3
1994	4	8	0	0	4.6
1994	4	9	0	0	3.5
1994	4	10	0	0	2.9
1994	4	11	0	0	3.4
1994	4	12	0	0	7.1
1994	4	13	0	0	5.2
1994	4	14	0	0	3.2
1994	4	15	0	0	5.2
1994	4	16	0	0	8.5
1994	4	17	0	0	6.4
1994	4	18	0	0	4.8
1994	4	19	0	0	5.3
1994	4	20	0	0	9.1
1994	4	21	0	0	11.0
1994	4	22	0	0	12.3
1994	4	23	0	0	13.9
1994	4	24	0	0	13.2
1994	4	25	0	0	12.3
1994	4	26	0	0	11.9
1994	4	27	0	0	12.2
1994	4	28	0	0	13.6
1994	4	29	0	0	16.1
1994	4	30	0	0	18.4
1994	5	1	0	0	10.6
1994	5	2	0	0	9.5
1994	5	3	0	0	14.3
1994	5	4	0	0	10.1
1994	5	5	0	0	9.2
1994	5	6	0	0	12.2
1994	5	7	0	0	14.9
1994	5	8	0	0	14.9
1994	5	9	0	0	12.4
1994	5	10	0	0	11.6
1994	5	11	0	0	12.7
1994	5	12	0	0	15.4
1994	5	13	0	0	13.9
1994	5	14	0	0	15.7
1994	5	15	0	0	16.4
1994	5	16	0	0	17.5
1994	5	17	0	0	16.0
1994	5	18	0	0	15.9
1994	5	19	0	0	10.8
1994	5	20	0	0	12.7
1994	5	21	0	0	13.3
1994	5	22	0	0	15.6
1994	5	23	0	0	14.8
1994	5	24	0	0	16.5
1994	5	25	0	0	13.4
1994	5	26	0	0	12.6
1994	5	27	0	0	10.4
1994	5	28	0	0	11.8
1994	5	29	0	0	13.2
1994	5	30	0	0	11.3
1994	5	31	0	0	13.9
