Name: Kupferzell-Rechbach (ID: 2787)			
Lat: 49.2428   ,Lon: 9.6786			
Jahr	Monat	Tag	ET
2003	1	1	0.1
2003	1	2	2.0
2003	1	3	0.7
2003	1	4	0.1
2003	1	5	0.0
2003	1	6	0.0
2003	1	7	0.0
2003	1	8	0.0
2003	1	9	0.0
2003	1	10	0.0
2003	1	11	0.0
2003	1	12	0.0
2003	1	13	0.0
2003	1	14	0.1
2003	1	15	0.0
2003	1	16	0.1
2003	1	17	0.3
2003	1	18	0.1
2003	1	19	0.7
2003	1	20	0.3
2003	1	21	0.2
2003	1	22	0.9
2003	1	23	0.2
2003	1	24	0.2
2003	1	25	0.1
2003	1	26	0.1
2003	1	27	0.1
2003	1	28	0.8
2003	1	29	0.1
2003	1	30	0.0
2003	1	31	0.0
2003	2	1	0.0
2003	2	2	0.1
2003	2	3	0.2
2003	2	4	0.1
2003	2	5	0.0
2003	2	6	0.0
2003	2	7	0.1
2003	2	8	0.1
2003	2	9	0.1
2003	2	10	0.0
2003	2	11	0.0
2003	2	12	0.0
2003	2	13	0.0
2003	2	14	0.1
2003	2	15	0.0
2003	2	16	0.0
2003	2	17	0.1
2003	2	18	0.0
2003	2	19	0.3
2003	2	20	0.5
2003	2	21	0.8
2003	2	22	0.4
2003	2	23	0.4
2003	2	24	0.5
2003	2	25	0.6
2003	2	26	0.6
2003	2	27	0.6
2003	2	28	1.0
2003	3	1	0.2
2003	3	2	0.9
2003	3	3	0.2
2003	3	4	0.6
2003	3	5	0.9
2003	3	6	0.2
2003	3	7	0.5
2003	3	8	1.6
2003	3	9	1.8
2003	3	10	1.5
2003	3	11	2.6
2003	3	12	0.9
2003	3	13	0.8
2003	3	14	1.1
2003	3	15	0.7
2003	3	16	1.3
2003	3	17	1.6
2003	3	18	0.8
2003	3	19	1.2
2003	3	20	0.8
2003	3	21	0.8
2003	3	22	1.5
2003	3	23	2.9
2003	3	24	2.0
2003	3	25	1.2
2003	3	26	1.1
2003	3	27	1.3
2003	3	28	1.9
2003	3	29	1.1
2003	3	30	1.2
2003	3	31	1.7
2003	4	1	2.1
2003	4	2	1.1
2003	4	3	0.7
2003	4	4	0.8
2003	4	5	1.1
2003	4	6	1.2
2003	4	7	0.7
2003	4	8	0.9
2003	4	9	1.0
2003	4	10	1.1
2003	4	11	0.9
2003	4	12	0.9
2003	4	13	2.0
2003	4	14	2.6
2003	4	15	3.4
2003	4	16	3.4
2003	4	17	3.3
2003	4	18	2.9
2003	4	19	1.0
2003	4	20	1.8
2003	4	21	2.1
2003	4	22	1.5
2003	4	23	1.8
2003	4	24	2.2
2003	4	25	2.0
2003	4	26	1.6
2003	4	27	1.6
2003	4	28	2.1
2003	4	29	1.5
2003	4	30	0.8
2003	5	1	2.1
2003	5	2	2.9
2003	5	3	3.0
2003	5	4	2.7
2003	5	5	3.4
2003	5	6	2.9
2003	5	7	3.3
2003	5	8	2.2
2003	5	9	1.5
2003	5	10	1.1
2003	5	11	1.5
2003	5	12	1.6
2003	5	13	2.1
2003	5	14	1.8
2003	5	15	1.0
2003	5	16	2.0
2003	5	17	1.6
2003	5	18	2.6
2003	5	19	1.5
2003	5	20	1.7
2003	5	21	1.5
2003	5	22	1.0
2003	5	23	2.7
2003	5	24	2.6
2003	5	25	1.6
2003	5	26	1.3
2003	5	27	1.7
2003	5	28	2.3
2003	5	29	2.3
2003	5	30	2.8
2003	5	31	1.7
2003	6	1	2.7
2003	6	2	2.8
2003	6	3	2.6
2003	6	4	3.0
2003	6	5	4.1
2003	6	6	3.7
2003	6	7	2.4
2003	6	8	2.5
2003	6	9	2.7
2003	6	10	3.2
2003	6	11	2.6
2003	6	12	3.6
2003	6	13	2.3
2003	6	14	2.2
2003	6	15	2.9
2003	6	16	2.9
2003	6	17	3.4
2003	6	18	2.8
2003	6	19	1.6
2003	6	20	3.2
2003	6	21	3.2
2003	6	22	3.3
2003	6	23	3.2
2003	6	24	2.7
2003	6	25	2.8
2003	6	26	3.3
2003	6	27	3.6
2003	6	28	2.8
2003	6	29	3.0
2003	6	30	3.3
2003	7	1	1.7
2003	7	2	2.3
2003	7	3	2.2
2003	7	4	1.5
2003	7	5	1.2
2003	7	6	2.3
2003	7	7	2.5
2003	7	8	2.8
2003	7	9	2.4
2003	7	10	3.4
2003	7	11	3.7
2003	7	12	2.4
2003	7	13	2.9
2003	7	14	4.0
2003	7	15	4.2
2003	7	16	3.3
2003	7	17	3.2
2003	7	18	2.9
2003	7	19	3.4
2003	7	20	4.0
2003	7	21	2.2
2003	7	22	3.0
2003	7	23	4.0
2003	7	24	2.3
2003	7	25	2.7
2003	7	26	2.7
2003	7	27	3.0
2003	7	28	2.9
2003	7	29	2.5
2003	7	30	2.3
2003	7	31	1.7
2003	8	1	2.9
2003	8	2	4.0
2003	8	3	3.7
2003	8	4	3.7
2003	8	5	4.3
2003	8	6	3.4
2003	8	7	3.5
2003	8	8	3.9
2003	8	9	3.9
2003	8	10	3.4
2003	8	11	3.3
2003	8	12	3.5
2003	8	13	4.4
2003	8	14	3.7
2003	8	15	3.2
2003	8	16	2.6
2003	8	17	2.7
2003	8	18	3.3
2003	8	19	1.7
2003	8	20	2.5
2003	8	21	2.7
2003	8	22	2.8
2003	8	23	2.9
2003	8	24	2.3
2003	8	25	2.8
2003	8	26	3.0
2003	8	27	2.2
2003	8	28	1.8
2003	8	29	2.0
2003	8	30	1.0
2003	8	31	1.2
2003	9	1	1.1
2003	9	2	1.0
2003	9	3	1.7
2003	9	4	1.8
2003	9	5	1.9
2003	9	6	0.8
2003	9	7	1.0
2003	9	8	1.3
2003	9	9	1.4
2003	9	10	0.9
2003	9	11	1.9
2003	9	12	1.1
2003	9	13	1.2
2003	9	14	1.2
2003	9	15	1.5
2003	9	16	1.4
2003	9	17	2.3
2003	9	18	2.2
2003	9	19	1.8
2003	9	20	1.8
2003	9	21	1.7
2003	9	22	2.7
2003	9	23	1.1
2003	9	24	0.9
2003	9	25	1.7
2003	9	26	1.1
2003	9	27	1.1
2003	9	28	0.7
2003	9	29	0.9
2003	9	30	1.3
2003	10	1	0.6
2003	10	2	0.9
2003	10	3	1.2
2003	10	4	0.8
2003	10	5	0.5
2003	10	6	0.8
2003	10	7	0.9
2003	10	8	0.6
2003	10	9	0.5
2003	10	10	0.6
2003	10	11	0.4
2003	10	12	0.9
2003	10	13	1.0
2003	10	14	0.8
2003	10	15	1.0
2003	10	16	0.8
2003	10	17	0.8
2003	10	18	0.7
2003	10	19	0.6
2003	10	20	0.2
2003	10	21	0.1
2003	10	22	0.3
2003	10	23	0.1
2003	10	24	0.3
2003	10	25	0.4
2003	10	26	0.4
2003	10	27	0.2
2003	10	28	0.5
2003	10	29	0.4
2003	10	30	0.1
2003	10	31	0.9
2003	11	1	0.6
2003	11	2	0.4
2003	11	3	1.0
2003	11	4	0.4
2003	11	5	0.4
2003	11	6	0.4
2003	11	7	0.5
2003	11	8	0.5
2003	11	9	0.8
2003	11	10	0.3
2003	11	11	0.1
2003	11	12	0.1
2003	11	13	0.1
2003	11	14	0.2
2003	11	15	0.2
2003	11	16	0.1
2003	11	17	0.2
2003	11	18	0.3
2003	11	19	0.2
2003	11	20	0.2
2003	11	21	0.2
2003	11	22	0.0
2003	11	23	0.0
2003	11	24	0.2
2003	11	25	0.2
2003	11	26	0.3
2003	11	27	0.0
2003	11	28	0.1
2003	11	29	0.1
2003	11	30	0.0
2003	12	1	0.1
2003	12	2	0.1
2003	12	3	0.1
2003	12	4	0.1
2003	12	5	0.1
2003	12	6	0.0
2003	12	7	0.1
2003	12	8	0.1
2003	12	9	0.2
2003	12	10	0.1
2003	12	11	0.2
2003	12	12	0.1
2003	12	13	0.2
2003	12	14	0.9
2003	12	15	0.5
2003	12	16	0.1
2003	12	17	0.1
2003	12	18	0.1
2003	12	19	0.0
2003	12	20	0.2
2003	12	21	1.2
2003	12	22	0.1
2003	12	23	0.0
2003	12	24	0.1
2003	12	25	0.0
2003	12	26	0.2
2003	12	27	0.1
2003	12	28	0.2
2003	12	29	0.2
2003	12	30	0.0
2003	12	31	0.1
2004	1	1	0.0
2004	1	2	0.0
2004	1	3	0.0
2004	1	4	0.0
2004	1	5	0.0
2004	1	6	0.0
2004	1	7	0.0
2004	1	8	0.0
2004	1	9	0.1
2004	1	10	0.2
2004	1	11	0.2
2004	1	12	0.7
2004	1	13	0.3
2004	1	14	0.6
2004	1	15	0.4
2004	1	16	0.8
2004	1	17	0.1
2004	1	18	0.0
2004	1	19	0.0
2004	1	20	0.1
2004	1	21	0.0
2004	1	22	0.0
2004	1	23	0.0
2004	1	24	0.0
2004	1	25	0.1
2004	1	26	0.1
2004	1	27	0.0
2004	1	28	0.0
2004	1	29	0.0
2004	1	30	0.2
2004	1	31	0.7
2004	2	1	1.1
2004	2	2	1.1
