YYYY	MM	DD	hh	mm	TA	TA_min	TA_max
2003	1	1	0	0	5.0	-1.1	10.0
2003	1	2	0	0	10.1	7.3	11.4
2003	1	3	0	0	7.1	5.0	8.7
2003	1	4	0	0	2.5	-2.5	5.5
2003	1	5	0	0	-3.6	-9.3	-1.6
2003	1	6	0	0	-4.2	-10.7	-2.6
2003	1	7	0	0	-7.8	-13.6	-4.7
2003	1	8	0	0	-10.6	-15.8	-8.7
2003	1	9	0	0	-10.4	-14.9	-7.7
2003	1	10	0	0	-9.4	-14.6	-7.3
2003	1	11	0	0	-7.9	-13.2	-4.2
2003	1	12	0	0	-8.4	-14.9	-4.3
2003	1	13	0	0	-2.9	-9.8	-0.5
2003	1	14	0	0	1.1	-0.5	2.2
2003	1	15	0	0	1.7	0.8	2.0
2003	1	16	0	0	1.8	-1.0	2.3
2003	1	17	0	0	-1.0	-2.5	4.4
2003	1	18	0	0	0.6	-2.6	2.4
2003	1	19	0	0	2.5	-1.2	5.3
2003	1	20	0	0	5.2	3.0	8.6
2003	1	21	0	0	2.4	0.3	7.2
2003	1	22	0	0	4.8	1.6	8.2
2003	1	23	0	0	4.1	3.1	5.1
2003	1	24	0	0	1.7	-0.6	4.0
2003	1	25	0	0	-0.3	-2.8	0.9
2003	1	26	0	0	0.6	-0.8	1.4
2003	1	27	0	0	4.9	0.7	7.0
2003	1	28	0	0	5.3	0.8	7.7
2003	1	29	0	0	0.6	-0.3	1.2
2003	1	30	0	0	-0.8	-3.4	0.1
2003	1	31	0	0	-4.6	-5.9	-3.4
2003	2	1	0	0	-5.5	-8.2	-3.6
2003	2	2	0	0	-0.2	-6.3	1.9
2003	2	3	0	0	2.5	0.4	2.8
2003	2	4	0	0	-0.6	-3.0	1.5
2003	2	5	0	0	-1.2	-6.2	-0.1
2003	2	6	0	0	-1.8	-6.0	2.0
2003	2	7	0	0	-1.3	-6.8	0.9
2003	2	8	0	0	1.1	-0.6	1.6
2003	2	9	0	0	-0.1	-3.9	1.7
2003	2	10	0	0	-3.8	-5.6	-0.2
2003	2	11	0	0	-4.9	-5.9	-3.8
2003	2	12	0	0	-3.9	-6.6	-0.8
2003	2	13	0	0	-4.6	-9.1	-0.4
2003	2	14	0	0	-4.4	-9.4	0.0
2003	2	15	0	0	-4.8	-9.4	-1.5
2003	2	16	0	0	-3.0	-6.6	-0.3
2003	2	17	0	0	-4.1	-8.7	0.4
2003	2	18	0	0	-5.3	-10.1	0.1
2003	2	19	0	0	-2.9	-9.6	2.6
2003	2	20	0	0	-1.4	-8.4	3.8
2003	2	21	0	0	-1.0	-6.5	3.9
2003	2	22	0	0	-1.2	-5.8	4.2
2003	2	23	0	0	-0.3	-4.8	6.1
2003	2	24	0	0	-1.2	-6.5	6.8
2003	2	25	0	0	1.6	-4.6	8.6
2003	2	26	0	0	2.8	-2.7	11.0
2003	2	27	0	0	3.1	-2.4	10.5
2003	2	28	0	0	4.2	-0.5	12.3
2003	3	1	0	0	6.7	3.5	9.8
2003	3	2	0	0	5.4	3.3	12.0
2003	3	3	0	0	3.6	2.5	4.2
2003	3	4	0	0	3.9	-0.6	6.5
2003	3	5	0	0	7.6	2.3	14.0
2003	3	6	0	0	6.2	3.8	7.2
2003	3	7	0	0	4.9	2.2	9.6
2003	3	8	0	0	5.8	2.2	9.6
2003	3	9	0	0	8.2	5.0	12.3
2003	3	10	0	0	9.0	3.4	16.9
2003	3	11	0	0	13.3	7.3	18.1
2003	3	12	0	0	6.9	5.2	13.9
2003	3	13	0	0	4.1	-0.4	7.3
2003	3	14	0	0	1.0	-4.0	6.1
2003	3	15	0	0	0.9	-1.9	6.2
2003	3	16	0	0	2.5	-3.6	10.2
2003	3	17	0	0	3.6	-3.0	11.2
2003	3	18	0	0	3.1	-3.0	10.7
2003	3	19	0	0	5.1	-2.3	13.2
2003	3	20	0	0	3.0	-2.7	10.6
2003	3	21	0	0	3.0	-2.5	8.4
2003	3	22	0	0	3.4	-3.0	11.2
2003	3	23	0	0	6.5	-3.1	15.5
2003	3	24	0	0	8.9	0.6	17.3
2003	3	25	0	0	11.1	4.5	19.5
2003	3	26	0	0	11.0	7.1	16.6
2003	3	27	0	0	10.4	3.2	18.2
2003	3	28	0	0	12.6	4.3	20.3
2003	3	29	0	0	13.1	7.8	19.4
2003	3	30	0	0	12.7	8.1	18.5
2003	3	31	0	0	7.9	3.0	13.4
2003	4	1	0	0	12.5	2.1	16.1
2003	4	2	0	0	4.6	0.5	8.0
2003	4	3	0	0	3.5	-0.2	6.3
2003	4	4	0	0	3.3	-1.8	8.7
2003	4	5	0	0	6.1	3.1	10.4
2003	4	6	0	0	2.0	-4.1	5.8
2003	4	7	0	0	-1.0	-5.6	2.4
2003	4	8	0	0	0.2	-7.3	4.6
2003	4	9	0	0	1.4	-5.0	6.3
2003	4	10	0	0	1.5	-4.7	6.4
2003	4	11	0	0	2.3	-0.6	7.9
2003	4	12	0	0	6.9	0.4	13.0
2003	4	13	0	0	8.6	1.3	17.6
2003	4	14	0	0	12.3	4.2	19.5
2003	4	15	0	0	15.5	5.9	22.3
2003	4	16	0	0	15.2	7.3	21.6
2003	4	17	0	0	13.3	5.5	20.1
2003	4	18	0	0	8.8	3.0	15.9
2003	4	19	0	0	4.9	0.3	10.4
2003	4	20	0	0	11.5	-0.8	21.5
2003	4	21	0	0	13.7	5.6	21.1
2003	4	22	0	0	11.9	6.9	19.7
2003	4	23	0	0	11.9	3.4	20.3
2003	4	24	0	0	13.6	3.9	20.3
2003	4	25	0	0	16.4	7.1	22.7
2003	4	26	0	0	14.1	9.1	20.7
2003	4	27	0	0	11.1	7.2	14.2
2003	4	28	0	0	15.8	5.9	22.3
2003	4	29	0	0	14.7	9.5	18.8
2003	4	30	0	0	13.1	9.7	16.4
2003	5	1	0	0	13.0	7.5	17.5
2003	5	2	0	0	13.2	5.7	19.5
2003	5	3	0	0	12.0	5.1	16.4
2003	5	4	0	0	18.4	4.5	24.9
2003	5	5	0	0	20.7	11.3	31.1
2003	5	6	0	0	19.2	12.6	25.9
2003	5	7	0	0	16.9	10.3	23.1
2003	5	8	0	0	17.8	10.1	23.9
2003	5	9	0	0	15.0	11.5	19.6
2003	5	10	0	0	13.7	11.3	17.3
2003	5	11	0	0	14.7	8.0	20.8
2003	5	12	0	0	15.3	10.7	20.9
2003	5	13	0	0	9.8	5.1	12.9
2003	5	14	0	0	8.0	4.0	12.0
2003	5	15	0	0	8.0	3.6	13.4
2003	5	16	0	0	11.0	1.2	17.3
2003	5	17	0	0	11.8	8.0	16.8
2003	5	18	0	0	13.9	8.5	17.8
2003	5	19	0	0	14.0	11.4	15.8
2003	5	20	0	0	11.7	7.8	15.3
2003	5	21	0	0	10.1	7.7	15.0
2003	5	22	0	0	12.8	7.1	13.2
2003	5	23	0	0	16.6	11.9	22.2
2003	5	24	0	0	19.9	11.3	27.2
2003	5	25	0	0	13.6	11.0	16.5
2003	5	26	0	0	13.4	10.5	15.4
2003	5	27	0	0	16.8	12.5	20.5
2003	5	28	0	0	16.9	10.0	22.6
2003	5	29	0	0	18.3	12.3	24.9
2003	5	30	0	0	21.1	13.0	28.0
2003	5	31	0	0	18.3	13.2	26.2
2003	6	1	0	0	19.7	12.0	27.3
2003	6	2	0	0	21.4	14.4	28.9
2003	6	3	0	0	21.8	14.5	29.3
2003	6	4	0	0	23.5	15.8	30.7
2003	6	5	0	0	22.9	15.8	29.8
2003	6	6	0	0	21.2	15.5	27.1
2003	6	7	0	0	21.7	13.6	29.6
2003	6	8	0	0	21.3	16.8	29.2
2003	6	9	0	0	19.8	13.9	24.5
2003	6	10	0	0	23.3	13.1	30.9
2003	6	11	0	0	23.2	17.8	28.5
2003	6	12	0	0	24.9	16.1	33.6
2003	6	13	0	0	22.5	16.5	26.6
2003	6	14	0	0	20.8	15.5	29.2
2003	6	15	0	0	20.7	16.1	26.3
2003	6	16	0	0	20.1	13.5	25.6
2003	6	17	0	0	21.3	12.1	29.1
2003	6	18	0	0	18.1	15.9	21.0
2003	6	19	0	0	17.8	15.4	21.5
2003	6	20	0	0	19.3	12.5	24.9
2003	6	21	0	0	16.3	7.3	22.6
