Name: Kupferzell-Rechbach (ID: 2787)			
Lat: 49.2428   ,Lon: 9.6786			
Jahr	Monat	Tag	T
2015	1	1	0.4
2015	1	2	0.8
2015	1	3	1.3
2015	1	4	1.1
2015	1	5	0.2
2015	1	6	-2.6
2015	1	7	0.6
2015	1	8	4.5
2015	1	9	7.2
2015	1	10	11.4
2015	1	11	3.6
2015	1	12	5.3
2015	1	13	9.6
2015	1	14	5.2
2015	1	15	5.5
2015	1	16	6.5
2015	1	17	3.0
2015	1	18	1.0
2015	1	19	1.5
2015	1	20	-0.4
2015	1	21	-1.0
2015	1	22	0.3
2015	1	23	0.0
2015	1	24	-0.5
2015	1	25	0.2
2015	1	26	0.3
2015	1	27	1.1
2015	1	28	2.4
2015	1	29	1.6
2015	1	30	0.5
2015	1	31	0.3
2015	2	1	-0.1
2015	2	2	0.0
2015	2	3	-2.5
2015	2	4	-5.3
2015	2	5	-2.1
2015	2	6	-2.2
2015	2	7	-3.9
2015	2	8	-0.7
2015	2	9	-0.6
2015	2	10	1.1
2015	2	11	0.8
2015	2	12	-1.0
2015	2	13	-1.2
2015	2	14	-0.8
2015	2	15	0.0
2015	2	16	0.5
2015	2	17	-0.9
2015	2	18	-0.3
2015	2	19	-1.4
2015	2	20	3.3
2015	2	21	4.8
2015	2	22	1.6
2015	2	23	1.5
2015	2	24	3.6
2015	2	25	3.0
2015	2	26	3.3
2015	2	27	2.8
2015	2	28	2.6
2015	3	1	4.9
2015	3	2	5.8
2015	3	3	5.0
2015	3	4	3.1
2015	3	5	2.9
2015	3	6	2.5
2015	3	7	4.3
2015	3	8	6.4
2015	3	9	7.6
2015	3	10	5.9
2015	3	11	4.5
2015	3	12	3.1
2015	3	13	2.3
2015	3	14	3.2
2015	3	15	4.1
2015	3	16	7.6
2015	3	17	10.0
2015	3	18	9.0
2015	3	19	8.6
2015	3	20	6.9
2015	3	21	4.6
2015	3	22	3.9
2015	3	23	3.4
2015	3	24	6.9
2015	3	25	11.3
2015	3	26	5.9
2015	3	27	6.1
2015	3	28	7.1
2015	3	29	9.4
2015	3	30	6.2
2015	3	31	7.6
2015	4	1	3.6
2015	4	2	4.5
2015	4	3	4.9
2015	4	4	4.7
2015	4	5	3.2
2015	4	6	2.6
2015	4	7	4.5
2015	4	8	7.1
2015	4	9	10.6
2015	4	10	12.7
2015	4	11	12.7
2015	4	12	12.4
2015	4	13	11.3
2015	4	14	11.9
2015	4	15	16.2
2015	4	16	16.3
2015	4	17	11.9
2015	4	18	6.3
2015	4	19	8.9
2015	4	20	10.6
2015	4	21	12.6
2015	4	22	9.5
2015	4	23	8.1
2015	4	24	11.6
2015	4	25	11.6
2015	4	26	15.3
2015	4	27	14.4
2015	4	28	8.5
2015	4	29	9.5
2015	4	30	10.6
2015	5	1	8.3
2015	5	2	10.5
2015	5	3	13.8
2015	5	4	18.0
2015	5	5	18.5
2015	5	6	14.2
2015	5	7	11.7
2015	5	8	15.1
2015	5	9	15.1
2015	5	10	14.0
2015	5	11	16.2
2015	5	12	20.1
2015	5	13	16.6
2015	5	14	14.5
2015	5	15	14.6
2015	5	16	13.0
2015	5	17	13.1
2015	5	18	14.9
2015	5	19	13.0
2015	5	20	9.6
2015	5	21	10.8
2015	5	22	11.8
2015	5	23	13.9
2015	5	24	15.8
2015	5	25	13.8
2015	5	26	11.3
2015	5	27	10.2
2015	5	28	13.3
2015	5	29	14.1
2015	5	30	12.2
2015	5	31	15.2
2015	6	1	15.3
2015	6	2	18.2
2015	6	3	20.0
2015	6	4	19.3
2015	6	5	22.7
2015	6	6	24.6
2015	6	7	21.4
2015	6	8	14.1
2015	6	9	13.3
2015	6	10	15.4
2015	6	11	18.6
2015	6	12	21.3
2015	6	13	19.2
2015	6	14	20.2
2015	6	15	18.1
2015	6	16	16.3
2015	6	17	15.0
2015	6	18	14.6
2015	6	19	12.0
2015	6	20	11.6
2015	6	21	13.6
2015	6	22	13.5
2015	6	23	10.9
2015	6	24	13.6
2015	6	25	16.7
2015	6	26	19.1
2015	6	27	18.3
2015	6	28	18.1
2015	6	29	20.4
2015	6	30	22.3
2015	7	1	24.5
2015	7	2	26.7
2015	7	3	27.8
2015	7	4	29.4
2015	7	5	29.8
2015	7	6	23.5
2015	7	7	25.8
2015	7	8	19.3
2015	7	9	15.0
2015	7	10	15.9
2015	7	11	20.4
2015	7	12	20.2
2015	7	13	18.3
2015	7	14	20.4
2015	7	15	21.4
2015	7	16	24.5
2015	7	17	26.4
2015	7	18	23.4
2015	7	19	22.2
2015	7	20	22.3
2015	7	21	24.1
2015	7	22	26.0
2015	7	23	22.0
2015	7	24	24.2
2015	7	25	18.8
2015	7	26	16.2
2015	7	27	18.0
2015	7	28	17.9
2015	7	29	13.7
2015	7	30	15.1
2015	7	31	16.5
2015	8	1	18.5
2015	8	2	21.5
2015	8	3	23.1
2015	8	4	22.3
2015	8	5	21.7
2015	8	6	26.7
2015	8	7	28.8
2015	8	8	27.4
2015	8	9	26.8
2015	8	10	23.6
2015	8	11	23.9
2015	8	12	25.3
2015	8	13	27.4
2015	8	14	22.4
2015	8	15	19.3
2015	8	16	16.1
2015	8	17	14.2
2015	8	18	15.2
2015	8	19	15.0
2015	8	20	14.8
2015	8	21	16.7
2015	8	22	18.7
2015	8	23	19.3
2015	8	24	17.8
2015	8	25	16.0
2015	8	26	19.6
2015	8	27	23.8
2015	8	28	20.3
2015	8	29	23.7
2015	8	30	25.4
2015	8	31	25.6
2015	9	1	20.1
2015	9	2	16.0
2015	9	3	15.6
2015	9	4	13.4
2015	9	5	11.9
2015	9	6	11.4
2015	9	7	11.0
2015	9	8	13.2
2015	9	9	13.7
2015	9	10	12.7
2015	9	11	13.0
2015	9	12	17.8
2015	9	13	18.9
2015	9	14	15.4
2015	9	15	14.1
2015	9	16	16.2
2015	9	17	13.9
2015	9	18	13.4
2015	9	19	12.6
2015	9	20	11.7
2015	9	21	12.7
2015	9	22	13.0
2015	9	23	10.9
2015	9	24	12.4
2015	9	25	12.4
2015	9	26	12.8
2015	9	27	12.9
2015	9	28	10.4
2015	9	29	11.3
2015	9	30	10.5
2015	10	1	9.8
2015	10	2	11.8
2015	10	3	12.4
2015	10	4	10.8
2015	10	5	12.6
2015	10	6	15.3
2015	10	7	13.8
2015	10	8	11.9
2015	10	9	11.5
2015	10	10	10.9
2015	10	11	8.8
2015	10	12	5.6
2015	10	13	6.4
2015	10	14	3.8
2015	10	15	3.6
2015	10	16	4.5
2015	10	17	5.5
2015	10	18	6.3
2015	10	19	6.6
2015	10	20	7.2
2015	10	21	7.2
2015	10	22	7.7
2015	10	23	10.4
2015	10	24	9.1
2015	10	25	10.7
2015	10	26	8.9
2015	10	27	7.2
2015	10	28	7.1
2015	10	29	9.2
2015	10	30	8.4
2015	10	31	8.8
2015	11	1	4.3
2015	11	2	4.9
2015	11	3	2.0
2015	11	4	8.5
2015	11	5	10.5
2015	11	6	13.4
2015	11	7	14.8
2015	11	8	15.0
2015	11	9	14.7
2015	11	10	12.9
2015	11	11	10.0
2015	11	12	9.5
2015	11	13	8.7
2015	11	14	7.8
2015	11	15	9.9
2015	11	16	9.7
2015	11	17	11.8
2015	11	18	12.6
2015	11	19	12.5
2015	11	20	7.4
2015	11	21	3.0
2015	11	22	0.7
2015	11	23	0.7
2015	11	24	0.8
2015	11	25	1.8
2015	11	26	2.6
2015	11	27	-1.1
2015	11	28	0.9
2015	11	29	5.8
2015	11	30	8.8
2015	12	1	8.9
2015	12	2	8.4
2015	12	3	5.5
2015	12	4	3.2
2015	12	5	6.0
2015	12	6	7.3
2015	12	7	6.9
2015	12	8	3.3
2015	12	9	4.7
2015	12	10	0.6
2015	12	11	1.4
2015	12	12	7.3
2015	12	13	7.3
2015	12	14	5.4
2015	12	15	6.2
2015	12	16	7.2
2015	12	17	10.7
2015	12	18	9.7
2015	12	19	9.4
2015	12	20	6.8
2015	12	21	8.3
2015	12	22	10.3
2015	12	23	8.6
2015	12	24	9.8
2015	12	25	11.7
2015	12	26	9.4
2015	12	27	4.6
2015	12	28	3.7
2015	12	29	1.8
2015	12	30	2.9
2015	12	31	2.7
2016	1	1	3.7
2016	1	2	1.3
2016	1	3	3.6
2016	1	4	3.1
2016	1	5	3.5
2016	1	6	4.0
2016	1	7	3.9
2016	1	8	4.2
2016	1	9	4.1
2016	1	10	5.6
2016	1	11	4.6
2016	1	12	4.2
2016	1	13	3.0
2016	1	14	2.1
2016	1	15	0.1
2016	1	16	-0.6
2016	1	17	-2.1
2016	1	18	-7.2
2016	1	19	-7.5
2016	1	20	-5.9
2016	1	21	-1.9
2016	1	22	-6.2
2016	1	23	1.7
2016	1	24	3.0
2016	1	25	6.7
2016	1	26	6.6
2016	1	27	10.7
2016	1	28	8.5
2016	1	29	5.6
2016	1	30	6.1
2016	1	31	4.9
2016	2	1	10.5
2016	2	2	9.4
2016	2	3	2.8
2016	2	4	2.6
2016	2	5	4.5
2016	2	6	6.2
2016	2	7	5.1
2016	2	8	7.0
2016	2	9	7.2
2016	2	10	1.9
