DD hh mm PREC
0.0 0.0 0 0.0
0.002777777777777778 0.16666666666666666 10 0.31222704079098607
0.005555555555555556 0.3333333333333333 20 0.5505002426123841
0.008333333333333333 0.5 30 0.45897062786102305
0.011111111111111112 0.6666666666666666 40 0.1165415014905835
0.013888888888888888 0.8333333333333334 50 0.6169345811566646
0.016666666666666666 1.0 60 0.4951735715247423
0.019444444444444445 1.1666666666666667 70 0.5093231769397021
0.022222222222222223 1.3333333333333333 80 0.13580700527722045
0.025 1.5 90 0.31875980507099566
0.027777777777777776 1.6666666666666667 100 0.27357803984159573
0.030555555555555555 1.8333333333333333 110 0.58919843638763
0.03333333333333333 2.0 120 0.4285972236428674
0.03611111111111111 2.1666666666666665 130 0.0
0.03888888888888889 2.3333333333333335 140 0.0
0.041666666666666664 2.5 150 0.0
0.044444444444444446 2.6666666666666665 160 0.0
0.04722222222222222 2.8333333333333335 170 0.09930618929088808
0.05 3.0 180 0.5329205339607682
0.05277777777777778 3.1666666666666665 190 0.42167091932591877
0.05555555555555555 3.3333333333333335 200 0.49344098400066494
0.058333333333333334 3.5 210 0.26434045357007213
0.06111111111111111 3.6666666666666665 220 0.6141390587322892
0.06388888888888888 3.8333333333333335 230 0.5700989368025067
0.06666666666666667 4.0 240 0.5049628104338256
0.06944444444444445 4.166666666666667 250 0.17357304524676853
0.07222222222222222 4.333333333333333 260 0.3280331617332822
0.075 4.5 270 0.08794460460668387
0.07777777777777778 4.666666666666667 280 0.1506669441711488
0.08055555555555556 4.833333333333333 290 0.45084174129916244
