PREC event_type event_no event 10mins h d dt PET TA TA_min TA_max
0.1 30 1 True False True False 3600 0.0017353111666666666 3.647222222222222 -0.3 5.8
0.0 30 1 True False True False 3600 0.0017353111666666666 3.647222222222222 -0.3 5.8
0.0 30 1 True False True False 3600 0.0017353111666666666 3.647222222222222 -0.3 5.8
0.0 30 1 True False True False 3600 0.0017353111666666666 3.647222222222222 -0.3 5.8
0.0 30 1 True False True False 3600 0.0017353111666666666 3.647222222222222 -0.3 5.8
0.0 30 1 True False True False 3600 0.0017353111666666666 3.647222222222222 -0.3 5.8
0.0 30 1 True False True False 3600 0.0017353111666666666 3.647222222222222 -0.3 5.8
0.0 30 1 True False True False 3600 0.0017353111666666666 3.647222222222222 -0.3 5.8
0.0 30 1 True False True False 3600 0.0017353111666666666 3.647222222222222 -0.3 5.8
0.0 30 1 True False True False 3600 0.0017353111666666666 3.647222222222222 -0.3 5.8
0.0 30 1 True False True False 3600 0.0017353111666666666 3.647222222222222 -0.3 5.8
0.0 30 1 True False True False 3600 0.0017353111666666666 3.647222222222222 -0.3 5.8
0.0 30 1 True False True False 3600 0.0017353111666666666 3.647222222222222 -0.3 5.8
0.0 30 1 True False True False 3600 0.0017353111666666666 3.647222222222222 -0.3 5.8
0.0 30 1 True False True False 3600 0.0017353111666666666 3.647222222222222 -0.3 5.8
0.0 30 1 True False True False 3600 0.0017353111666666666 3.647222222222222 -0.3 5.8
0.0 30 1 True False True False 3600 0.0017353111666666666 3.647222222222222 -0.3 5.8
0.0 30 1 True False True False 3600 0.0017353111666666666 3.647222222222222 -0.3 5.8
0.0 30 1 True False True False 3600 0.0017353111666666666 3.647222222222222 -0.3 5.8
0.0 30 1 True False True False 3600 0.0017353111666666666 3.647222222222222 -0.3 5.8
0.0 30 1 True False True False 3600 0.0017353111666666666 3.647222222222222 -0.3 5.8
0.0 30 1 True False True False 3600 0.0017353111666666666 3.647222222222222 -0.3 5.8
0.0 30 1 True False True False 3600 0.0017353111666666666 3.647222222222222 -0.3 5.8
0.0 30 1 True False True False 3600 0.0017353111666666666 3.647222222222222 -0.3 5.8
0.0 0 0 True False True False 3600 0.002033036083333333 4.227083333333334 3.1 5.9
0.0 0 0 True False True False 3600 0.002033036083333333 4.227083333333334 3.1 5.9
0.0 0 0 True False True False 3600 0.002033036083333333 4.227083333333334 3.1 5.9
0.0 0 0 True False True False 3600 0.002033036083333333 4.227083333333334 3.1 5.9
0.0 0 0 True False True False 3600 0.002033036083333333 4.227083333333334 3.1 5.9
0.0 0 0 True False True False 3600 0.002033036083333333 4.227083333333334 3.1 5.9
0.2 30 2 True False True False 3600 0.002033036083333333 4.227083333333334 3.1 5.9
0.9 30 2 True False True False 3600 0.002033036083333333 4.227083333333334 3.1 5.9
0.1 30 2 True False True False 3600 0.002033036083333333 4.227083333333334 3.1 5.9
0.30000000000000004 30 2 True False True False 3600 0.002033036083333333 4.227083333333334 3.1 5.9
0.1 30 2 True False True False 3600 0.002033036083333333 4.227083333333334 3.1 5.9
0.0 30 2 True False True False 3600 0.002033036083333333 4.227083333333334 3.1 5.9
0.0 30 2 True False True False 3600 0.002033036083333333 4.227083333333334 3.1 5.9
