[1/m2];[mm];[-];[-];[-];[mm/hour];[mm/hour];[-];[-];[-]
dmpv;lmpv;theta_ac;theta_ufc;theta_pwp;ks;kf;c_canopy;c_root;clay
234;867;0.062367585;0.19874834;0.15828395;17.761724;2500;1.0709763;1.1971608;0.17989749874022737
137;856;0.080353126;0.21901785;0.1241673;8.86667;2500;1.0751442;1.140164;0.11345427311433842
258;251;0.077117644;0.07902895;0.12147458;12.64067;2500;1.4491946;1.2193424;0.17377759417621905
212;53;0.024962682;0.16177523;0.1018687;3.6752224;2500;1.0705861;1.2686526;0.09451196754469181
37;371;0.034669485;0.20499162;0.29567128;11.013373;2500;1.0727981;1.0385054;0.44779462649733937
292;196;0.058195937;0.15408324;0.23101617;9.055568;2500;1.3105485;1.1470976;0.3490528093260825
230;480;0.041192103;0.20444134;0.16424742;10.191242;2500;1.7459972;0.99408084;0.1883375485174186
237;1175;0.088981114;0.14897953;0.21581572;4.501208;2500;1.1353478;1.1714889;0.3209191770822331
47;225;0.065513104;0.20268533;0.22381479;17.458206;2500;1.1018723;1.0220338;0.3029713657435525
140;389;0.07043591;0.09019953;0.13658579;2.5194397;2500;1.4031693;1.1417888;0.19735538218478396
117;872;0.08631686;0.12977554;0.15777364;15.842812;2500;1.2231437;0.86502093;0.21441313598756734
278;615;0.080444366;0.19856371;0.20945555;18.93835;2500;1.9770467;1.1121515;0.27701241225435125
196;62;0.08953178;0.11488252;0.2679589;3.0204005;2500;1.7677637;1.0471251;0.4616525378149781
248;202;0.03165345;0.19391488;0.12591773;9.240007;2500;1.2700605;0.8499025;0.12447906613925919
138;1122;0.050941978;0.10229481;0.27166715;12.114051;2500;0.94369024;1.1114005;0.48228968769205277
75;132;0.062809885;0.1208162;0.22179723;19.83536;2500;1.0614632;0.9221674;0.3552118168976519
170;765;0.04356023;0.17598805;0.19793187;17.442276;2500;1.7400329;1.0774046;0.26708250033364106
28;952;0.02514964;0.18469557;0.12878808;8.870349;2500;1.3483478;1.0949547;0.13277275268128882
250;325;0.080780715;0.17641753;0.20998077;19.390425;2500;1.0344262;1.102729;0.29091620633785165
193;872;0.073857345;0.16792464;0.17072631;7.2940497;2500;1.549878;1.110159;0.21811106749014844
229;212;0.101942725;0.18009965;0.13779344;7.459832;2500;1.5673319;0.9504172;0.15057770239541354
112;348;0.051517602;0.22669801;0.2759947;10.618915;2500;1.1951016;1.0748087;0.39300659318250886
291;381;0.03199691;0.15418606;0.19211453;15.811938;2500;0.9729224;1.2440481;0.2686379881147146
269;1195;0.074974485;0.07767133;0.1159512;4.651194;2500;1.4765745;0.7408695;0.16316586801537158
235;265;0.040466983;0.23770364;0.16042773;15.106865;2500;1.4765552;1.1699146;0.1683973818870155
66;163;0.099636905;0.09973123;0.13630098;1.0513027;2500;1.3483436;0.7772618;0.19004885962714427
145;1111;0.078399904;0.12366655;0.28784904;5.987115;2500;1.9638551;0.97935104;0.4974332922901506
22;202;0.061116137;0.11264308;0.1486124;19.514906;2500;1.1846143;0.7984464;0.20673735635201054
54;1056;0.05991047;0.19404064;0.20127934;13.472857;2500;1.4033642;1.1694522;0.26350446120768173
208;784;0.08585458;0.10616175;0.2491045;9.7886505;2500;1.5624528;0.72229844;0.42811066218755883
225;696;0.08190567;0.094605796;0.13170217;14.903497;2500;1.6286514;1.1206834;0.1840413663658926
290;904;0.08766729;0.13784133;0.18749753;9.269869;2500;1.8144106;0.9409061;0.2698831122081968
104;873;0.10081226;0.16175014;0.23065628;3.027082;2500;1.0650147;0.8590307;0.3428356575499875
117;141;0.056610487;0.13382931;0.27639073;10.453818;2500;1.8348172;1.2762766;0.46282959670264606
