[1/m2];[mm];[-];[-];[-];[mm/hour];[mm/hour];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-]
dmpv;lmpv;theta_ac;theta_ufc;theta_pwp;ks;kf;c_canopy_sugarbeet;c_root_sugarbeet;c_canopy_winter-wheat;c_root_winter-wheat;c_canopy_winter-rape;c_root_winter-rape;c_canopy_winter-barley;c_root_winter-barley;c_canopy_winter-triticale;c_root_winter-triticale;c_canopy_silage-corn;c_root_silage-corn;c_canopy_green-manure;c_root_green-manure;clay
234;867;0.062367585;0.19874834;0.15828395;17.761724;2500;1.0709763;1.1971608;1.4886069;1.0887598;1.4480075;1.2633239;0.9822797;1.0237348;1.319947;1.0632706;1.8120766;1.02357;1.1807922;0.83645827;0.17989749874022737
137;856;0.080353126;0.21901785;0.1241673;8.86667;2500;1.0751442;1.140164;0.91885144;0.77747834;1.445024;1.2685734;1.959844;1.113633;0.97761446;1.1392924;1.7049307;1.0984453;1.6576147;1.223214;0.11345427311433842
258;251;0.077117644;0.07902895;0.12147458;12.64067;2500;1.4491946;1.2193424;1.6923789;1.0908091;1.8646543;1.0216041;1.0478923;0.9396829;0.92484206;1.2430027;1.4014591;0.953251;1.425846;1.1536427;0.17377759417621905
212;53;0.024962682;0.16177523;0.1018687;3.6752224;2500;1.0705861;1.2686526;1.1508294;1.087249;0.9210797;0.85051894;1.597364;0.87890303;1.1887245;0.72094804;1.5209678;1.0106752;1.044017;1.2988354;0.09451196754469181
37;371;0.034669485;0.20499162;0.29567128;11.013373;2500;1.0727981;1.0385054;1.9501396;0.9814381;1.434225;1.1435939;1.9927776;0.9507659;1.8395206;0.876588;1.6804904;1.2351494;1.8519222;1.1835917;0.44779462649733937
292;196;0.058195937;0.15408324;0.23101617;9.055568;2500;1.3105485;1.1470976;0.8302456;1.2753274;0.95473576;1.0969443;1.2391416;1.0090127;1.21656;1.1798476;1.1504557;1.2360272;1.8515227;1.0789402;0.3490528093260825
230;480;0.041192103;0.20444134;0.16424742;10.191242;2500;1.7459972;0.99408084;1.4773403;0.86300534;0.9496529;1.2251946;0.9035702;0.76970536;1.467738;1.1798679;0.9549267;0.79633963;1.0787474;1.2518941;0.1883375485174186
237;1175;0.088981114;0.14897953;0.21581572;4.501208;2500;1.1353478;1.1714889;1.6445572;1.0454967;1.563079;1.2112535;1.2226856;1.0313795;1.7373482;1.04671;1.0077852;1.2029396;1.9807588;1.2997419;0.3209191770822331
47;225;0.065513104;0.20268533;0.22381479;17.458206;2500;1.1018723;1.0220338;1.3170035;0.7777298;0.8748077;0.86701185;1.7728267;1.2581608;1.398956;0.73741335;1.2621461;0.72837925;1.5734713;1.0741581;0.3029713657435525
