[1/m2];[mm];[-];[-];[-];[mm/hour];[mm/hour];[-];[-];[-]
dmpv;lmpv;theta_ac;theta_ufc;theta_pwp;ks;kf;c_canopy;c_root;clay
166;74;0.077442914;0.13218799;0.18331358;8.939764;2500;1.2677441;1.1971608;0.2650887718805215
115;74;0.08446027;0.13537197;0.16966692;4.7263174;2500;1.2687861;1.140164;0.23498998543860447
178;28;0.0902637;0.09137538;0.16858983;6.514002;2500;1.3622986;1.2193424;0.2647021757041938
154;13;0.06013499;0.12966178;0.16074748;2.2672107;2500;1.2676466;1.2686526;0.22050201577454367
64;37;0.06572624;0.1381834;0.23826851;5.743177;2500;1.2681996;1.0385054;0.3765238214441868
196;24;0.07610178;0.120506;0.21240647;4.8157954;2500;1.3276371;1.1470976;0.33523664461700936
164;45;0.06860667;0.13689558;0.18569897;5.353746;2500;1.4364992;0.99408084;0.26681282245577914
167;98;0.08890344;0.11455274;0.20632629;2.6584668;2500;1.283837;1.1714889;0.3270005752397313
69;26;0.07871395;0.13280563;0.20952591;8.795993;2500;1.2754681;1.0220338;0.3195089534518393
117;38;0.08579429;0.09704182;0.17463432;1.7197345;2500;1.3507923;1.1417888;0.2730684220898964
105;75;0.08887617;0.108748466;0.18310945;8.030806;2500;1.3057859;0.86502093;0.2818594466427251
189;55;0.084509045;0.12989311;0.20378222;9.497114;2500;1.4942617;1.1121515;0.3095553622923539
146;13;0.09122461;0.103285864;0.22718357;1.9570318;2500;1.4419409;1.0471251;0.38229518371497206
173;24;0.064081274;0.13607028;0.17036709;4.903161;2500;1.3175151;0.8499025;0.235968642322159
116;94;0.07527882;0.105584316;0.22866686;6.26455;2500;1.2359226;1.1114005;0.3834562148963113
84;19;0.079560116;0.109406844;0.2087189;9.922012;2500;1.2653658;0.9221674;0.3364661487858615
133;67;0.06933317;0.12921304;0.19917275;8.788446;2500;1.4350082;1.0774046;0.30033747562783647
59;81;0.060732365;0.13522635;0.17151523;4.72806;2500;1.3370869;1.0949547;0.23884263535434636
174;33;0.08490288;0.123683326;0.2039923;9.711254;2500;1.2586066;1.102729;0.31472909280610467
144;75;0.082349405;0.12212579;0.18829052;3.981392;2500;1.3874695;1.110159;0.2826550999119428
163;25;0.09269632;0.122514986;0.17511737;4.0599203;2500;1.391833;0.9504172;0.2547886509657044
103;35;0.07337872;0.1408121;0.23039788;5.5563283;2500;1.2987754;1.0748087;0.35766844415290205
195;38;0.06370847;0.12594032;0.19684581;8.016182;2500;1.2432306;1.2440481;0.2978626625914207
183;99;0.08955463;0.09115092;0.16638048;2.729513;2500;1.3691436;0.7408695;0.2601165738635276
166;29;0.06912358;0.14505525;0.1841711;7.682199;2500;1.3691388;1.1699146;0.25830864722229124
79;21;0.09655957;0.09660526;0.17452039;1.0243013;2500;1.337086;0.7772618;0.2731808592339326
120;93;0.08608377;0.10780062;0.23513961;3.3623176;2500;1.4909638;0.97935104;0.3956872142201593
56;24;0.07935379;0.106982;0.17944495;9.770219;2500;1.2961535;0.7984464;0.2754237788034982
73;89;0.07643207;0.13128822;0.20051174;6.908196;2500;1.350841;1.1694522;0.30162597405597513
152;68;0.090546854;0.1006575;0.2196418;5.163045;2500;1.3906132;0.72229844;0.36808297019075065
161;61;0.090169914;0.096899815;0.17268087;7.585867;2500;1.4071629;1.1206834;0.26897886212794764
195;77;0.08893563;0.1112;0.19499901;4.9173064;2500;1.4536027;0.9409061;0.3053633537600237
98;75;0.09282267;0.11719396;0.21226251;1.9601967;2500;1.2662537;0.8590307;0.33762691077321766
105;19;0.07605238;0.114731565;0.2305563;5.4781246;2500;1.4587042;1.2762766;0.37942211543197474
120;99;0.06591612;0.14296542;0.21232826;9.598618;2500;1.2303813;0.87523705;0.31792789773657054
78;94;0.099200964;0.09927805;0.1664067;3.453416;2500;1.2194623;0.8270221;0.253638050982287
69;90;0.059455514;0.1366954;0.18572491;1.4758741;2500;1.4613267;0.9588787;0.2670015527632118
121;66;0.0775734;0.11680744;0.18807457;7.6721177;2500;1.2975284;0.88134694;0.2861919607844644
84;57;0.069391385;0.11643185;0.19106187;5.089643;2500;1.4389166;1.1366854;0.29282438415865586
150;58;0.08799771;0.10530763;0.23532948;4.012344;2500;1.4322138;0.71809554;0.3984069676543163
115;11;0.0962146;0.118955456;0.16285627;5.3878517;2500;1.4026409;1.115235;0.23182678680304725
174;54;0.07834912;0.10573756;0.18417388;9.369996;2500;1.2613664;0.9532661;0.2865263014982105
155;66;0.06876316;0.14956884;0.19939648;3.2522433;2500;1.3273985;1.1703614;0.28651151423786
96;69;0.06402022;0.12027963;0.16691168;2.80468;2500;1.442808;0.9003383;0.23930803233467224
174;39;0.06200679;0.13247448;0.19868304;5.8052034;2500;1.2294437;0.7108805;0.2969181565339539
170;52;0.1012673;0.10298495;0.16857031;5.169775;2500;1.3517938;1.1579666;0.2553675154779347
108;67;0.06951077;0.14400288;0.22702257;2.3481786;2500;1.2460924;0.779523;0.3480856107748343
93;48;0.091652915;0.0940904;0.18160675;6.225916;2500;1.2306689;0.98666567;0.29062661199329454
152;96;0.059878096;0.125766;0.20184089;6.1704135;2500;1.3324393;1.1997973;0.30856129031275376
70;73;0.09691528;0.10821984;0.20946543;6.4488773;2500;1.2928596;1.254997;0.33909971556207646
79;10;0.07954541;0.112164445;0.18445805;4.721999;2500;1.4462371;0.84760517;0.28207297339784726
51;12;0.09596454;0.109815545;0.18810518;3.6104386;2500;1.3463892;1.2028993;0.2916945504443129
168;72;0.09083444;0.121988885;0.20084128;3.9549563;2500;1.42232;1.1656649;0.30933475307018543
149;47;0.083073385;0.10000143;0.22443478;8.509214;2500;1.3983995;1.2541395;0.37926765494747294
155;85;0.09538047;0.118399285;0.19621535;6.625871;2500;1.4853913;1.1890916;0.30226925365749496
167;25;0.06389599;0.11760742;0.19927168;4.5822124;2500;1.2780064;0.7536971;0.30940865853034694
118;11;0.10517122;0.11078183;0.2076692;6.5194025;2500;1.434239;1.2666304;0.33302951728007046
135;44;0.0939023;0.12512244;0.19401692;4.1465254;2500;1.2562871;0.7148231;0.29250304284085316
70;76;0.070363544;0.13633467;0.21808627;8.763831;2500;1.4586848;0.90613365;0.33496206735795586
67;97;0.07923837;0.14013185;0.16039261;7.5486884;2500;1.4620539;0.9335411;0.21339528521686885
150;89;0.08655904;0.12632063;0.19864158;1.9085379;2500;1.4452289;0.9911589;0.30137111075534295
120;53;0.08659113;0.09518349;0.2338413;1.5055301;2500;1.296306;0.8411375;0.40474518264576076
134;83;0.08275313;0.09739931;0.2092723;1.3007567;2500;1.2440156;0.77427846;0.34822392599499186
164;16;0.06517357;0.11565837;0.19891198;1.247801;2500;1.4529743;1.2022285;0.31018277444502407
145;61;0.086697444;0.111378826;0.22176199;5.47219;2500;1.3768736;1.0850917;0.36315324990900893
133;93;0.061548494;0.1433868;0.19144006;2.6275764;2500;1.334403;0.9849359;0.2742772475333045
133;45;0.073034;0.12622488;0.19737965;7.0707955;2500;1.3237842;1.164762;0.2987772007170861
95;96;0.096899115;0.11018609;0.17561278;5.344861;2500;1.2304;1.2490942;0.26481153042203825
54;29;0.06538232;0.13260178;0.16993633;1.841292;2500;1.3940867;0.83435595;0.23731492930938095
115;19;0.06735333;0.11434923;0.16204181;1.0524865;2500;1.3562418;0.89374626;0.23331033402621812
82;57;0.056753445;0.13229321;0.21852072;1.3305227;2500;1.4883835;1.2605933;0.3389838425699646
111;91;0.06692797;0.152777;0.19745521;5.8000307;2500;1.4025192;1.026426;0.28041950248470293
178;38;0.06381107;0.1300235;0.23514827;6.279439;2500;1.4896894;0.86874354;0.3764215685116886
85;82;0.06182891;0.13116172;0.17414528;4.1771297;2500;1.2419523;0.7949332;0.24687580333082337
58;25;0.07406238;0.11204931;0.17951867;1.7101043;2500;1.4047482;1.2932261;0.27167311326504745
92;77;0.10535335;0.1141324;0.21109807;9.4122;2500;1.4442853;1.0210143;0.3376465310498762
94;60;0.05996866;0.1292497;0.16436781;4.651423;2500;1.3833443;1.2173545;0.22812262316530724
149;25;0.09757711;0.10829595;0.20027307;4.8637776;2500;1.3844556;1.081598;0.3191050658636745
133;74;0.078783005;0.102898896;0.16988651;4.433119;2500;1.2467277;0.96619844;0.2582339876790439
167;74;0.0609677;0.1216912;0.1729118;1.5352063;2500;1.2963648;1.2149789;0.2507780776466869
149;56;0.07469288;0.13397717;0.200968;7.394027;2500;1.3897653;0.91390496;0.300620172127051
110;30;0.06959934;0.1358074;0.20552567;6.9832916;2500;1.3419026;1.1610832;0.308854296521952
172;21;0.094871506;0.112335;0.17696278;2.4801807;2500;1.4589103;0.97204965;0.2660477979097613
75;96;0.084215075;0.10502374;0.18169908;3.4172409;2500;1.4331869;1.238434;0.28179218855329036
53;69;0.07917588;0.14021969;0.1827286;5.9222784;2500;1.3604815;1.0019308;0.25849955123215135
63;82;0.06289925;0.13943575;0.17134479;4.3908963;2500;1.3835635;0.89549017;0.23582868829596274
158;72;0.07301807;0.14576386;0.23725767;9.981362;2500;1.3969092;1.1354465;0.36843840696993035
119;84;0.07947285;0.10709397;0.21537599;5.4682984;2500;1.396565;1.2160803;0.3529549583621202
74;24;0.062407494;0.13379648;0.16886735;8.940064;2500;1.4088236;1.210611;0.23436871812365664
125;54;0.07878165;0.114645764;0.18857281;2.8415148;2500;1.3491533;0.9870431;0.28890925131034134
72;70;0.0888288;0.12137418;0.17380822;6.005989;2500;1.2371433;0.96410257;0.2528648138132519
154;19;0.09184314;0.11805971;0.17875089;3.8961587;2500;1.486543;0.78957593;0.26557574509520143
116;23;0.064839266;0.1346225;0.23515822;9.410515;2500;1.2049366;0.723546;0.3727061638429562
107;67;0.07080258;0.109843336;0.17094024;5.9606247;2500;1.2049745;1.2589123;0.2551924485040627
95;88;0.07343427;0.11357396;0.23038493;6.8855143;2500;1.4815224;1.1351379;0.3800636671103272
144;69;0.08500925;0.097001374;0.22734681;1.684187;2500;1.3483149;1.046069;0.3885438664860415
104;13;0.08421407;0.12966652;0.21949346;5.3891845;2500;1.4452661;1.0500443;0.34311056168966475
63;97;0.07306493;0.11852593;0.19973776;6.2152576;2500;1.3157144;0.7140081;0.30968150150274837
67;22;0.059976123;0.12474078;0.18066941;3.613626;2500;1.3292829;0.9722509;0.2647858888667514
194;30;0.08521847;0.10894844;0.22647838;7.6219;2500;1.4116126;1.2527949;0.3756103897243955
186;97;0.077623114;0.10546845;0.226726;5.19922;2500;1.3526555;0.9772223;0.37928952995969983
154;79;0.097170815;0.12198346;0.20202528;6.0517936;2500;1.4701853;1.0484877;0.311859344939898
89;94;0.08306017;0.10954014;0.16380908;4.248373;2500;1.4074478;0.9262607;0.24041649247262445
195;82;0.1032406;0.11408206;0.1754369;7.0885477;2500;1.3581804;0.7630207;0.26152737499041917
166;68;0.09856912;0.108740024;0.16448668;1.9285434;2500;1.4489205;0.89414126;0.24242030885947313
157;35;0.07326333;0.12938094;0.17438704;5.556047;2500;1.3634696;0.75105345;0.24856287339144353
117;39;0.06696669;0.1320532;0.2006737;9.060764;2500;1.2898864;1.0471478;0.30140520255264236
90;95;0.10069649;0.10679871;0.22833388;3.1166549;2500;1.2361147;1.2890525;0.3816183977108399
64;87;0.09181947;0.115631536;0.21225895;8.816032;2500;1.3051652;0.9176192;0.3389092396171411
185;42;0.08916317;0.091257684;0.20807223;8.965465;2500;1.3903686;1.2150636;0.3512503255508425
118;43;0.086392835;0.1299185;0.21983628;3.0738862;2500;1.4945062;0.72566855;0.34364446400238885
80;36;0.09588888;0.09882965;0.21119292;1.7265214;2500;1.4236618;1.0030111;0.35114999355984333
95;39;0.06300398;0.13112696;0.19547418;7.8797655;2500;1.3856896;1.0926809;0.2911668446720469
136;87;0.08205251;0.11421111;0.22522907;9.627238;2500;1.2607161;0.89153624;0.36825378842377526
76;10;0.0828291;0.124582216;0.18481475;3.3014498;2500;1.4121;0.75900835;0.2735615511103479
178;49;0.058615383;0.13642532;0.23424919;9.217035;2500;1.3568869;0.8307403;0.36931703621800893
163;94;0.06600722;0.12894602;0.16929525;2.8735068;2500;1.4216902;0.7420058;0.23839020758989968
157;58;0.0603645;0.1221741;0.21101439;4.2337418;2500;1.3096441;1.2329319;0.3309105538759028
114;50;0.061391518;0.13527414;0.20004131;8.973154;2500;1.3434391;0.70274925;0.2977418468746838
144;38;0.09106093;0.094918214;0.19406094;3.7365441;2500;1.357808;0.7416232;0.3170695074766848
137;16;0.10562795;0.10859561;0.1943773;7.801261;2500;1.3086292;1.1774138;0.3061387490837827
147;30;0.09250354;0.1008769;0.1633766;2.322715;2500;1.3736149;0.87983805;0.24595280717245896
62;18;0.10873158;0.10970311;0.2201211;4.4088964;2500;1.282911;0.9188559;0.36103410433830607
112;21;0.09666715;0.11071396;0.18818776;9.466639;2500;1.2229028;0.8840122;0.2911599050020218
56;24;0.102271296;0.10797475;0.1981309;3.0365415;2500;1.2535144;1.2344241;0.314743124738935
124;37;0.07398618;0.14392388;0.22780752;7.315315;2500;1.3482505;1.2572433;0.34980495865246486
99;10;0.06660606;0.12295133;0.20616868;9.275985;2500;1.2201345;1.2572882;0.31993659208468384
71;95;0.09575421;0.10693744;0.22811493;8.064592;2500;1.3160028;0.884406;0.3810112762263158
65;21;0.07190561;0.10972342;0.17096636;9.531901;2500;1.4027067;0.8202274;0.2553368982117128
138;44;0.08159804;0.10243231;0.18254541;9.493735;2500;1.3536397;1.1967977;0.28569891373833384
75;89;0.080275685;0.114387795;0.17823459;2.0227265;2500;1.3660711;1.209379;0.26719827521813044
188;19;0.0748618;0.13243826;0.23090674;6.4149647;2500;1.4173324;0.9125653;0.3653395429512182
137;53;0.07612954;0.1371382;0.22252457;4.842055;2500;1.2362696;1.0468034;0.34376309365959157
102;86;0.08554601;0.104710154;0.22672807;7.1446443;2500;1.2791427;0.9344366;0.3799851308401965
138;60;0.08533299;0.124630086;0.20549469;7.6829424;2500;1.3267578;0.7089877;0.31719358489123023
53;28;0.070274234;0.11869742;0.17765991;3.2071369;2500;1.2804426;0.9464056;0.2628219639515723
193;76;0.07631599;0.10392624;0.19015987;8.198811;2500;1.3316404;1.2369642;0.30088383923796425
122;71;0.06995351;0.112223;0.20402408;4.682824;2500;1.468095;1.2147611;0.32395190188159756
167;42;0.08035487;0.12306746;0.16151829;6.9106464;2500;1.2343339;0.7622693;0.22632247694584376
62;14;0.087066695;0.11281922;0.21117139;4.849356;2500;1.288383;0.8841748;0.33890296684062354
122;10;0.07472262;0.116094396;0.22838956;4.115043;2500;1.4601887;0.74431473;0.37351058101936574
123;84;0.08832619;0.091935724;0.18605083;7.2450724;2500;1.3694988;0.87882125;0.3021807088906791
190;38;0.08048782;0.1222326;0.21438317;5.877163;2500;1.490997;0.8786089;0.33808830002030554
135;22;0.10472804;0.107976235;0.19868506;8.676316;2500;1.2517394;0.7319088;0.31593894541539813
121;56;0.08580415;0.09693765;0.1603182;8.0740795;2500;1.4267168;1.2371471;0.24248536137424287
90;92;0.10016024;0.109298736;0.18271938;8.814997;2500;1.4517272;1.2039262;0.28059631337915175
99;10;0.09296707;0.112414636;0.20222881;7.891946;2500;1.4875603;1.2570782;0.31992453243165425
128;15;0.08383344;0.11534076;0.21799268;9.251571;2500;1.2473363;1.1466153;0.3515595726175151
115;47;0.07396213;0.10797153;0.1921627;2.4100015;2500;1.3607253;1.1560297;0.30188161671175673
53;70;0.08901838;0.12792447;0.17489964;6.764334;2500;1.3209074;1.1723453;0.2506038032998389
173;52;0.06775112;0.13134652;0.16488397;1.7416793;2500;1.3817906;1.105148;0.2278315379719217
184;90;0.06719889;0.1287854;0.21717536;5.4968257;2500;1.2238473;0.80557764;0.3388528642240028
71;13;0.06580297;0.14865604;0.1892033;8.752109;2500;1.3421421;0.8066416;0.2662463095087138
133;40;0.09603054;0.117792584;0.21176833;7.5303783;2500;1.2086934;1.0002158;0.336070870627631
66;41;0.067948684;0.14114176;0.17774014;6.246358;2500;1.292842;1.1143608;0.2477253506815752
150;40;0.08877218;0.124402225;0.22037484;7.245873;2500;1.4464489;0.7178308;0.34920640562505634
92;53;0.060594354;0.12437878;0.18755089;2.5596015;2500;1.3401299;1.0278419;0.2794454388991587
148;81;0.06593176;0.14450487;0.16418949;9.377221;2500;1.455394;1.2322801;0.2183845473583075
159;38;0.0785461;0.11457526;0.20081867;2.9122505;2500;1.2174464;0.7756113;0.315137566506763
165;77;0.10190064;0.11279916;0.21851574;2.5027406;2500;1.4100103;0.8877668;0.35485629589167267
66;23;0.072313756;0.1224955;0.23459977;2.260029;2500;1.2179887;1.29205;0.38152804372574955
187;60;0.088143185;0.09402899;0.23766862;9.425967;2500;1.2466139;0.8973234;0.41442397794770824
84;43;0.05937779;0.13719742;0.19651356;5.147711;2500;1.4410825;0.7172487;0.2890121311922161
55;58;0.08266761;0.12760346;0.20894986;5.797587;2500;1.2059109;1.1101841;0.3222467534353974
133;19;0.065882854;0.13415444;0.20457767;4.4112253;2500;1.3141714;1.2895823;0.3080723148431629
105;95;0.07646083;0.13408454;0.20268333;1.2455081;2500;1.4808899;0.8383959;0.30414227523658655
174;91;0.05528433;0.12612662;0.16916312;1.5999631;2500;1.246563;0.82964045;0.23999123800570654
171;84;0.05744858;0.12963799;0.21366921;1.1418376;2500;1.4843566;0.9591295;0.33071409660701856
97;90;0.08963857;0.112905756;0.23722161;5.8509665;2500;1.2587126;1.0215445;0.39563436874312397
192;23;0.08420484;0.11120771;0.17014423;2.7413528;2500;1.2809845;1.1888145;0.25250521992979624
93;55;0.07079582;0.1364112;0.18494835;4.619089;2500;1.3914301;1.296092;0.2655921163840015
127;38;0.10493125;0.11357091;0.166164;5.142922;2500;1.2019583;1.1878144;0.24244759246433586
88;89;0.09031727;0.116077214;0.19222263;5.7932034;2500;1.4127207;0.8745447;0.295569176662746
190;27;0.072233036;0.124461494;0.19853377;9.035253;2500;1.4710586;1.1717019;0.3025440489546469
74;29;0.07695266;0.124741904;0.18864144;1.3891068;2500;1.3067484;1.0785226;0.2814705776961676
56;71;0.07762235;0.13889071;0.19812657;5.448061;2500;1.3816093;0.99457085;0.2911807805343987
115;18;0.09644928;0.11047029;0.22423735;2.1867774;2500;1.3071885;1.0807997;0.36935487057274
198;75;0.08459462;0.12753256;0.17711389;9.338667;2500;1.4075736;0.9638588;0.2554499215709862
183;34;0.06281567;0.12924506;0.22063774;9.257111;2500;1.3580755;1.079326;0.34588938998621177
162;69;0.07139467;0.13837817;0.22346304;2.259442;2500;1.3507974;1.1420952;0.34480673806538176
183;88;0.06668084;0.11889642;0.20649065;2.056233;2500;1.2156864;0.70823294;0.32383546054811263
184;64;0.07992902;0.13006201;0.1852257;1.9888269;2500;1.3984938;1.0697421;0.2705291496041751
127;29;0.090093315;0.12516902;0.23492007;1.8827517;2500;1.3518001;0.79182905;0.37996199836069583
97;14;0.10645651;0.109552786;0.18911229;2.4228752;2500;1.2962656;0.9019857;0.29405984556722853
165;14;0.06507282;0.11959078;0.1639937;2.4012;2500;1.343916;0.96618277;0.23374419445092703
149;17;0.07796141;0.13523388;0.17088702;2.471509;2500;1.299148;1.2833446;0.23755898162521305
106;62;0.056202576;0.12819488;0.2313272;2.3371832;2500;1.2813267;0.89533895;0.36968699203606614
64;41;0.07457846;0.12455742;0.17199811;4.401229;2500;1.236363;1.1915892;0.24690218776630182
162;31;0.090179086;0.11712177;0.19579153;3.285056;2500;1.2659539;0.9022357;0.3023611761712194
89;29;0.098212086;0.10115788;0.21535772;4.7537093;2500;1.2389057;0.837595;0.3581980692817607
190;95;0.08673851;0.10685787;0.20589158;9.043699;2500;1.2030337;0.9604049;0.3324960675758936
86;20;0.067099236;0.1402536;0.21226974;4.167691;2500;1.4213275;0.7539186;0.31977297233525354
68;37;0.0986776;0.107757546;0.18790518;3.578264;2500;1.2283324;1.1915826;0.29290877914178004
174;52;0.09509804;0.108217664;0.21297888;9.22919;2500;1.3184583;0.99899036;0.3467482508557248
72;10;0.06794503;0.1331921;0.16072685;3.8944685;2500;1.3942488;1.1125222;0.21825832503846385
76;92;0.10138045;0.10684914;0.18106002;2.0980494;2500;1.4123117;1.178643;0.27897641618889496
139;18;0.08684648;0.109275;0.16988799;6.570865;2500;1.2229921;0.9453474;0.2533956363826687
181;71;0.08343731;0.09931342;0.19642104;3.5361533;2500;1.4644452;0.9704285;0.3183758249291172
79;66;0.07895262;0.12254556;0.17166585;5.679631;2500;1.2268468;0.8521397;0.24759753422371963
96;82;0.071067564;0.13787065;0.20378968;7.911882;2500;1.3539755;1.128591;0.30372002766337963
166;68;0.08827019;0.10369621;0.1744532;6.0901227;2500;1.4466726;1.1993562;0.2673465326678232
195;79;0.07341456;0.11221548;0.19314118;8.278904;2500;1.337339;1.0444914;0.30056677452153063
125;47;0.10682674;0.109646924;0.16593772;4.1023164;2500;1.4998955;0.7231563;0.24480588154262573
71;53;0.07094458;0.14360541;0.19519842;2.5180953;2500;1.4117471;1.1269689;0.28187033768272174
52;73;0.075974084;0.12876329;0.22463866;4.5520043;2500;1.3016454;1.1001245;0.3548438872786108
84;61;0.09454767;0.11691662;0.1853521;4.7073503;2500;1.2228625;0.90554756;0.2803421145492881
69;56;0.09066324;0.12808897;0.21650533;7.443714;2500;1.4475346;0.94554204;0.3379695907011897
151;28;0.07840217;0.12436819;0.19407889;7.1815534;2500;1.4611474;0.99711406;0.29319526532284806
68;33;0.08355872;0.10620855;0.17873694;3.7843354;2500;1.3891937;1.1744727;0.27451906811535975
125;42;0.09181417;0.11373831;0.1842783;9.363931;2500;1.2992074;1.1083728;0.28048067823793926
154;10;0.08998184;0.1266019;0.18420626;3.480296;2500;1.3697573;1.0102373;0.2708447349000558
137;47;0.075531326;0.1320746;0.21939032;9.968175;2500;1.2008213;1.1833032;0.34100556457757214
79;10;0.07672012;0.1043295;0.17607488;1.2943093;2500;1.3252121;1.2154944;0.27031137458410615
170;60;0.088634804;0.1280505;0.23822172;7.0636654;2500;1.4958974;0.7310759;0.3846940434953582
157;73;0.096569106;0.1135779;0.21499874;6.5818996;2500;1.2639431;0.74188846;0.34655710447793964
160;60;0.084447086;0.11162614;0.19209236;6.264362;2500;1.4048759;0.98540175;0.2987901420627585
69;72;0.08765815;0.13184153;0.23984031;8.012243;2500;1.2314851;1.1689701;0.38504370910101304
68;10;0.063441515;0.14542566;0.17729372;6.3178854;2500;1.4189699;0.76586056;0.24412114632345389
189;15;0.07101754;0.1420001;0.2210329;6.4892564;2500;1.3319991;1.2180333;0.3369336740752908
109;72;0.07997511;0.13775155;0.18167496;8.896224;2500;1.302232;0.7823475;0.2579646629441092
95;82;0.076314986;0.10526816;0.20348516;2.680687;2500;1.3516761;1.1172869;0.3286245691880359
123;74;0.0967269;0.11424989;0.16435371;5.780418;2500;1.445598;1.1819887;0.23818980803336315
149;69;0.09616151;0.09929235;0.22771673;7.4089103;2500;1.4515095;0.72729045;0.3871935632696838
193;73;0.0901921;0.1245709;0.18929215;3.7708957;2500;1.3058668;1.2092456;0.2829628307217548
92;76;0.09590976;0.11924607;0.20675892;2.9753616;2500;1.3898578;1.2048901;0.32413071093011575
188;75;0.090434805;0.12270992;0.2341827;2.1601157;2500;1.2968994;0.78756917;0.38044039022362425
53;76;0.08152259;0.12964542;0.16241974;3.364195;2500;1.3355393;0.82542765;0.22390624338100085
133;16;0.0893538;0.12241752;0.23744139;6.9947004;2500;1.3968799;1.2161913;0.3877697257477592
145;15;0.07293342;0.118928686;0.20201434;6.534689;2500;1.2767094;1.2793826;0.31422750359261403
65;42;0.07668469;0.11957643;0.22245972;2.5457726;2500;1.2974583;0.99058014;0.3576760727365119
71;57;0.08901533;0.09558688;0.19784358;5.4203835;2500;1.2497748;0.77538437;0.3247593320348299
112;78;0.08801275;0.12521093;0.22527263;2.9239275;2500;1.3804578;0.86773366;0.359087337305123
194;40;0.0658858;0.13995446;0.2304447;9.423755;2500;1.4536722;0.9029622;0.35842997566449264
139;34;0.082775526;0.12173314;0.19053392;7.5172086;2500;1.475432;1.0787053;0.2876789668421367
189;80;0.09314691;0.0966962;0.21781057;2.559958;2500;1.4827988;1.1330365;0.36770469192749666
170;32;0.06547421;0.13912722;0.23988944;3.6074107;2500;1.4338604;1.0640602;0.3792433025275654
120;83;0.097949006;0.10023308;0.22057053;8.677714;2500;1.3419124;1.2341943;0.37052075507116
167;25;0.10936202;0.11044873;0.23655039;6.0140986;2500;1.4437484;0.7063559;0.39637760377793335
52;42;0.08841396;0.12610877;0.21892938;4.203596;2500;1.2767153;0.9339508;0.34472836145279706
66;46;0.07367844;0.12736087;0.18639095;6.3857875;2500;1.353277;0.87508094;0.2748662809473795
174;36;0.06406816;0.14827006;0.22617213;4.505343;2500;1.4755492;1.1510233;0.34312267570778904
