-;-;-;-;kg N/ha/a;kg N/ha/a;-;-;kg N/ha/a;kg N/ha/a;-;-;-;-;-;-;-;-
alpha_transp;alpha_q;km_denit_rz;km_denit_ss;dmax_denit_rz;dmax_denit_ss;km_nit_rz;km_nit_ss;dmax_nit_rz;dmax_nit_ss;kmin_rz;kmin_ss;c1_transp;c2_transp;c1_q_rz;c2_q_rz;c1_q_ss;c2_q_ss
0.8191648;0.7765827;15.074682;7.595384;29.850555;88.33741;16.743427;5.290457;65.14537;57.810074;93.94845;54.460613;0.3421804;0.92324936;1.5392832;2.545852;1.5395579;0.8443089
0.55110276;0.7689902;19.920322;8.999311;12.962812;41.98949;14.938527;5.35645;13.783925;10.805242;94.814606;54.21448;0.3928616;0.38122287;1.6640755;2.2869158;1.6893883;4.8360295
0.8868783;0.36215603;1.7785689;19.709288;11.629915;61.65402;17.44584;11.278914;65.483505;74.621254;54.06468;88.833984;0.46200177;0.29766658;1.422085;1.5535262;1.3994715;1.1122268
0.7578944;0.22932431;5.653469;2.5996878;1.9250057;14.939317;19.00733;5.2842793;64.89609;29.943432;25.835623;10.989075;0.113965355;0.71548045;1.5177919;1.8423388;1.2981718;3.3559027
0.27534187;0.44303963;12.357074;3.1213715;97.85728;53.174946;11.719339;5.319303;47.437286;95.88651;74.192986;53.32356;0.21772532;1.7459075;1.8919156;2.2278519;1.4179431;4.970508
0.9804979;0.32570904;8.888695;9.272037;65.85301;42.973747;15.158092;9.083685;95.92903;3.4952629;66.49582;13.765701;0.41989845;0.7595533;1.8933787;0.9469347;1.5150211;1.8931617
0.80891174;0.51663077;13.113568;4.2156296;32.802475;48.89121;10.31256;15.978289;27.895882;56.880577;87.65711;13.346365;0.41991192;1.157252;1.1605661;0.4744063;1.1161755;0.52291167
0.82885146;0.9834769;12.141683;14.011773;58.32878;19.243135;15.930482;6.3096747;58.006947;70.67598;85.35682;63.954018;0.33113998;1.5841347;1.8382326;0.6021475;1.5522991;1.825966
0.30249092;0.3448571;15.9718;7.8528733;62.288322;86.75592;11.197736;5.7796454;13.825414;43.65279;28.556953;7.1716375;0.124942236;1.048347;1.0472988;1.2168531;1.9302682;4.072376
0.56030875;0.45509917;2.3471556;17.077942;19.109966;8.91708;14.989982;10.55018;39.273136;96.562035;58.815807;26.121319;0.33466467;1.919088;1.7557185;0.16150478;1.9831082;2.1517062
0.49663842;0.78009146;9.371705;15.2236;29.59795;78.33886;6.2256618;7.6997757;27.250772;30.666752;44.44309;93.83223;0.4300375;0.6710296;1.4570872;2.5864978;1.5368973;3.1801684
0.941412;0.60734624;17.341022;9.945329;55.180496;94.468254;14.051464;19.636574;69.89305;3.3308299;92.99741;73.45785;0.10826398;0.1443182;1.776337;2.034297;1.9109595;4.950284
0.7150921;0.23514251;7.892476;17.05461;84.139656;11.52735;11.992296;16.322926;76.496666;68.754005;41.481647;88.45176;0.1848019;0.62225455;1.7109078;1.170017;1.6140451;0.6912633
0.8582093;0.32935202;10.571987;2.915558;13.829278;43.934772;5.7469134;8.442626;86.06885;51.94054;7.278458;33.194294;0.43954432;1.3931407;1.7694033;1.1194208;1.0267801;3.0438755
0.55473137;0.9481996;1.4099939;12.040881;85.975235;58.910053;14.027681;3.2750955;25.569653;61.22809;49.48785;91.65992;0.19373406;1.0511831;1.7157286;1.3348771;1.4829837;0.80804783
0.38179097;0.282532;5.259304;12.497526;61.289623;99.142136;8.035301;5.139835;65.21057;55.711647;23.8066;71.04178;0.12320062;1.5010899;1.9509823;1.5351645;1.4745333;4.297511
0.6436678;0.7080742;9.809447;5.6744013;49.476276;86.67291;12.951146;15.883854;51.156555;72.27958;2.0581634;6.6326127;0.3876658;1.5459794;1.4574533;1.1945094;1.6725862;3.2681699
0.2510538;0.8338605;8.580395;1.9428052;15.250099;42.00866;13.506902;9.682173;54.000004;47.873104;91.29494;62.600445;0.4098993;1.5422899;1.6451346;2.950423;1.222739;1.359374
0.86210495;0.41235125;14.578443;11.16878;55.440483;96.82379;13.753084;4.7117476;23.259214;7.75853;67.59696;4.243639;0.25980276;0.42568463;1.8582395;0.20065378;1.783772;1.6063707
0.7053315;0.7800624;12.62572;10.759864;36.00953;33.79531;13.988369;12.873069;71.138084;6.717871;12.598534;50.25171;0.38853115;0.4667529;1.7264339;2.084998;1.2976451;2.915863
0.8064702;0.33591613;17.725368;13.418623;19.70775;34.659126;8.929878;13.149422;62.695545;3.9882934;38.569614;9.236181;0.32858202;1.6177875;1.7703533;1.814095;1.3823692;0.3538277
0.48362076;0.4278002;17.240643;5.045646;88.11737;51.11961;12.868941;7.2557755;90.751884;96.46797;28.587593;2.4983716;0.19859397;1.1918585;1.9592807;1.2228212;1.2682923;3.815787
0.97655845;0.44945762;5.583177;4.4132237;46.59669;78.17799;18.22819;3.737938;60.444614;95.69187;81.81279;88.989075;0.26639608;1.5921023;1.9481694;0.17777577;1.206285;0.9798707
0.9144969;0.997148;1.3351358;19.580402;8.895847;20.024643;2.2942019;11.712431;69.74174;39.454803;69.97312;74.604065;0.34415513;1.6519554;1.6919616;2.222993;1.9815356;4.7217245
0.8227068;0.37165785;17.234945;3.1600814;30.91173;74.50419;15.8806305;11.712124;35.130726;67.48446;11.875772;24.65596;0.43984643;0.112476826;1.8296843;0.18853821;1.8008355;2.8915422
0.35571095;0.30336598;7.2532964;19.988764;18.968983;1.2673141;3.446623;9.682107;19.603453;6.2422366;1.6560713;74.75801;0.1958513;0.6664929;1.9053867;2.1810107;1.411426;1.7966183
0.5733768;0.9405531;7.5950847;14.679559;93.98527;26.985493;9.846116;19.427706;94.75332;70.9916;82.16538;1.8470278;0.15205993;1.8654612;1.0828682;2.0004532;1.6812719;1.4495524
0.23504302;0.32954454;4.009501;12.957123;25.063135;97.472404;4.1174703;7.089727;60.730274;46.164776;93.38836;96.61321;0.44736758;1.8969827;1.5578038;0.92045116;1.1599386;1.3028493
0.32343158;0.90342396;14.167138;7.4558864;51.133274;65.99015;15.865985;10.5532675;48.362732;50.364445;96.223175;36.457645;0.4809338;1.3271809;1.3976268;0.6241214;1.1066608;2.7802496
0.74643916;0.7203653;6.3220696;17.488258;74.806725;46.793495;1.706117;13.072169;99.856026;11.045988;12.778251;69.803955;0.12090491;0.9375209;1.1166886;1.6659478;1.12662;0.94625735
0.79580975;0.6614892;4.358119;18.29117;16.692577;73.444534;14.321642;14.120315;27.221771;39.68782;39.71746;38.132664;0.48491246;1.1164236;1.3516765;0.985294;1.2772042;0.8060778
0.9740078;0.801071;10.5644245;14.715796;44.31127;44.09037;8.628694;17.0615;70.89776;19.080679;13.109806;54.6561;0.39682427;1.647721;1.5444759;2.4134924;1.777063;3.9516244
0.46066028;0.78079915;15.257902;14.487883;65.67486;11.562163;6.035973;5.1960654;23.30498;1.6420617;93.49999;22.769808;0.46919814;0.55809355;1.126999;0.77583;1.3519435;0.5927509
0.49636775;0.28842095;6.1223736;10.369938;88.313416;50.259373;19.24876;17.384605;44.573223;41.88093;45.770714;91.84599;0.10991996;1.8465567;1.0597925;2.8447626;1.540649;4.5232053
0.5756447;0.9995729;14.718741;2.4788625;65.75621;95.58479;6.549174;2.924143;38.543434;11.316733;91.07882;69.18524;0.47683373;0.3431646;1.5562484;0.37318912;1.8030081;0.8342327
0.35157707;0.9535118;9.777527;19.981552;8.928301;27.987577;5.022366;2.2326145;75.67758;19.35104;45.955513;7.991039;0.17245638;1.9909867;1.130877;0.81171805;1.9631323;0.25325653
0.3039372;0.9172736;8.671681;1.2955523;32.834583;6.234615;9.1978245;17.550692;47.27914;31.461666;9.988838;22.820963;0.13166314;1.2337276;1.338315;1.5147947;1.9668715;1.4204228
0.58056396;0.69783133;7.8308964;10.412551;35.742287;74.393295;6.7426534;7.176795;35.287975;45.879227;36.377472;9.154616;0.44440112;0.7304502;1.3051276;1.4531876;1.455479;2.971492
0.38152748;0.6182331;3.7660384;7.975552;39.43907;45.986076;14.828368;16.13138;29.90156;24.83958;97.17134;15.189941;0.4182927;0.12229139;1.0308775;2.6702404;1.1552413;4.6420426
0.73585117;0.6290229;7.3200417;15.746515;94.22024;34.135784;1.573025;15.706874;83.97481;95.31288;87.77489;6.5022907;0.2789853;1.2940592;1.0186597;0.15757647;1.8880955;0.25310102
0.54972154;0.21194956;17.70578;14.979827;4.5346317;49.26637;14.149108;13.833928;21.63785;92.01033;51.86954;97.535;0.4391318;1.9122308;1.1119456;2.4031372;1.5150454;3.2342978
0.8661426;0.5995756;2.9411716;12.932944;30.915188;93.069954;9.020093;4.886536;46.47148;25.589567;33.554432;66.339676;0.4534548;1.5784518;1.3367598;0.53503215;1.4315715;1.6280077
0.76021206;0.6990157;19.2077;2.4200323;49.753136;25.774677;15.894778;9.068574;42.921257;45.424458;17.23805;56.76874;0.10368543;0.5752886;1.9465846;0.7479325;1.7022814;0.28779423
0.44989333;0.72696495;3.042434;5.5001397;9.553206;20.85148;7.344045;16.377844;47.656708;61.133022;14.649023;66.515076;0.12457766;1.5441946;1.4561439;0.30001554;1.7782583;4.90118
