[-];[-];[-];[-];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[-];[-];[-];[-];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[day of year];[-];;[mm]
alpha_transp_crop;alpha_q_crop;k_transp_crop;k_q_crop;km_denit_crop;km_nit_crop;dmax_denit_crop;dmax_nit_crop;alpha_transp_bare;alpha_q_bare;k_transp_bare;k_q_bare;km_denit_bare;km_nit_bare;dmax_denit_bare;dmax_nit_bare;kmin;kfix;kngl;phi_soil_temp;clay;soil_fertility;z_soil
0.5788457;0.90575683;0.8191648;3.7432778;16.743427;13.310728;23.35554;57.810074;1.4205352;0.632005;0.7926182;2.0620646;12.50357;11.246381;43.895626;84.49632;54.416237;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.35708743;0.5312282;0.55110276;3.7005699;14.938527;3.4534805;23.699398;10.805242;1.431909;0.63001597;0.99664515;2.3945737;14.910926;13.6174345;15.6531925;75.656784;69.24944;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.33958474;0.69013345;0.8868783;1.4121276;17.44584;13.375622;54.55855;74.621254;0.8968089;0.90976954;0.23278184;4.931147;18.195084;9.019616;11.299468;50.620377;40.547676;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.21214654;0.31264094;0.7578944;0.6649493;19.00733;13.262885;23.32335;29.943432;0.52612436;0.2807198;0.39593554;0.8788734;1.6633542;10.838046;33.06977;60.479843;30.519;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.4718633;0.6216157;0.27534187;1.8670979;11.719339;9.912207;23.50584;95.88651;1.16112;0.6228166;0.6781926;1.0024301;6.5919523;17.946396;86.760445;73.64046;42.376373;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.0516052;0.5391818;0.9804979;1.2071134;15.158092;19.218702;43.12025;3.4952629;1.0600461;0.30315718;0.5321556;2.4591665;16.195175;17.974197;35.3662;29.912598;51.98709;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.61760825;0.58699965;0.80891174;2.281048;10.31256;6.1618357;79.04477;56.880577;1.3379217;0.2997686;0.710045;1.2615964;16.195816;4.050756;56.08839;13.781457;12.501381;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.9528022;0.34741926;0.82885146;4.907058;15.930482;11.940727;28.666199;70.67598;1.3077159;0.7087193;0.6691235;3.5817356;11.979149;16.92642;78.33123;18.142279;55.677616;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.0047961;0.8929771;0.30249092;1.3148211;11.197736;3.461443;25.904469;43.65279;0.56185895;0.24987182;0.8303916;2.1230488;2.1847563;1.8986762;50.413868;39.127052;93.09654;40.0;44.6636575032666;91;0.1537041353167826;3;1350
