[-];[-];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[-];[-];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[day of year];[-];;[mm]
alpha_transp_crop;alpha_q_crop;km_denit_crop;km_nit_crop;dmax_denit_crop;dmax_nit_crop;alpha_transp_bare;alpha_q_bare;km_denit_bare;km_nit_bare;dmax_denit_bare;dmax_nit_bare;kmin;kfix;kngl;phi_soil_temp;clay;soil_fertility;z_soil
1.2061429;0.7765827;15.074682;6.5369754;35.36542;88.33741;1.2771819;0.38065082;13.310728;18.83859;57.810074;54.460613;60.93965;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.77054197;0.7689902;19.920322;3.2958932;42.680622;41.98949;1.1536887;0.3834295;3.4534805;19.004824;10.805242;54.21448;73.483246;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.3161772;0.36215603;1.7785689;3.0400848;98.48524;61.65402;1.3252417;0.6327964;13.375622;11.184131;74.621254;88.833984;90.595436;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.1065785;0.22932431;5.653469;1.1775264;9.335215;14.939317;1.4320804;0.3803907;13.262885;5.766433;29.943432;10.989075;4.4564247;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.32243055;0.44303963;12.357074;19.58877;12.053462;53.174946;0.9334285;0.38186538;9.912207;15.047139;95.88651;53.32356;30.137016;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.468309;0.32570904;8.888695;13.446537;44.101665;42.973747;1.1687115;0.5403657;19.218702;13.569904;3.4952629;13.765701;80.174866;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.1894816;0.51663077;13.113568;7.103505;17.755121;48.89121;0.8371752;0.83066475;6.1618357;17.631163;56.880577;13.346365;80.1782;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.2218837;0.9834769;12.141683;12.002493;68.79819;19.243135;1.2215593;0.42356524;11.940727;17.189693;70.67598;63.954018;58.207146;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.36654773;0.3448571;15.9718;12.762405;36.707077;86.75592;0.8977398;0.40124822;3.461443;6.288708;43.65279;7.1716375;7.173204;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.7855017;0.45509917;2.3471556;4.4756503;84.774536;8.91708;1.1572093;0.6021128;8.345349;12.095963;96.562035;26.121319;59.079502;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.6820374;0.78009146;9.371705;6.4884953;75.11244;78.33886;0.5575453;0.4820958;6.038027;9.337563;30.666752;93.83223;82.68428;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.4047945;0.60734624;17.341022;11.398277;47.60987;94.468254;1.0929949;0.9846978;14.221898;18.656069;3.3308299;73.45785;3.0453348;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.0370246;0.23514251;7.892476;16.956095;84.65296;11.52735;0.9521045;0.8451758;15.489259;8.769205;68.754005;88.45176;21.988472;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.2695901;0.32935202;10.571987;3.4621847;10.981066;43.934772;0.5247888;0.51337373;17.326345;2.2049565;51.94054;33.194294;85.03722;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.7764385;0.9481996;1.4099939;17.308378;58.5288;58.910053;1.0913677;0.2957935;5.715388;10.305749;61.22809;91.65992;24.199183;40.0;44.6636575032666;91;0.1537041353167826;3;1350
