[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[-];[-];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[day of year];[-];;[mm]
c1_transp_crop;c2_transp_crop;c1_q_crop;c2_q_crop;c1_transp_bare;c2_transp_bare;c1_q_bare;c2_q_bare;alpha_transp_crop;alpha_q_crop;km_denit_crop;km_nit_crop;dmax_denit_crop;dmax_nit_crop;alpha_transp_bare;alpha_q_bare;km_denit_bare;km_nit_bare;dmax_denit_bare;dmax_nit_bare;kmin;kfix;kngl;phi_soil_temp;clay;soil_fertility;z_soil
0.4095824;1.469384;1.7407727;1.1066638;0.2165679;1.7761725;1.8286015;0.7548592;1.042313;0.6590713;18.83859;12.50357;54.460613;43.895626;0.90106815;0.8747178;11.251601;5.321179;16.038078;32.41536;40.965714;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.27555138;1.4513518;1.9958065;1.3209475;0.1483346;0.886667;1.7336067;0.76493186;0.36786973;0.27923426;19.004824;14.910926;54.21448;15.6531925;1.0632981;0.8032871;14.098378;17.568445;96.68713;71.75322;39.787106;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.44343916;0.48512056;1.0409774;2.9556282;0.14294915;1.264067;1.8655705;1.6688869;1.046753;0.79491925;11.184131;18.195084;88.833984;11.299468;0.7487106;0.6009727;8.589958;15.365349;21.451115;52.632294;86.93291;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.3789472;0.16964525;1.2449194;0.34416285;0.1037374;0.36752224;1.9477541;0.7539163;1.0390395;0.43388632;5.766433;1.6633542;10.989075;33.06977;0.8731295;0.68064517;6.665262;19.963121;66.782524;21.131403;58.183903;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.13767093;0.6772191;1.5977408;0.42378828;0.49134254;1.1013373;1.5641757;0.759262;0.80978256;0.96675974;15.047139;6.5919523;53.32356;86.760445;1.3594903;0.7869936;8.94092;16.313738;99.404144;87.78358;76.23465;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.49024895;0.39855897;1.4151945;1.362574;0.36203235;0.9055568;1.7451627;1.3338256;1.4465429;0.22016373;13.569904;16.195175;13.765701;35.3662;1.3613924;0.43363714;10.785401;12.999772;37.229183;87.75062;39.67589;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.40445587;0.8519981;1.6375562;0.5908066;0.22849485;1.0191242;1.4901347;2.38616;0.55317825;0.65156025;17.631163;16.195816;13.346365;56.08839;0.40873593;0.3032845;3.2073357;18.476646;9.544541;23.996664;25.910032;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.41442573;1.9607576;1.5864043;2.0860074;0.33163145;0.45012078;1.7858149;0.910424;0.9485761;0.7630382;17.189693;11.979149;63.954018;78.33123;1.2897024;0.33852345;11.493684;19.991825;35.87156;98.4126;71.90228;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.15124546;0.44403562;1.7879895;1.1459649;0.34762958;1.7458208;1.5367229;0.8295248;0.36841452;0.54466903;6.288708;2.1847563;7.1716375;50.413868;0.26148838;0.5080974;18.675095;12.84834;81.2582;64.81138;47.23968;40.0;44.6636575032666;91;0.1537041353167826;3;1350
