[-];[-];[-];[-];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[day of year];[-];;[mm]
alpha_transp_crop;alpha_q_crop;alpha_transp_bare;alpha_q_bare;km_denit_sugarbeet;km_nit_sugarbeet;dmax_denit_sugarbeet;dmax_nit_sugarbeet;km_denit_winter-wheat;km_nit_winter-wheat;dmax_denit_winter-wheat;dmax_nit_winter-wheat;km_denit_winter-rape;km_nit_winter-rape;dmax_denit_winter-rape;dmax_nit_winter-rape;km_denit_winter-triticale;km_nit_winter-triticale;dmax_denit_winter-triticale;dmax_nit_winter-triticale;km_denit_silage-corn;km_nit_silage-corn;dmax_denit_silage-corn;dmax_nit_silage-corn;km_denit_winter-barley;km_nit_winter-barley;dmax_denit_winter-barley;dmax_nit_winter-barley;km_denit_green-manure;km_nit_green-manure;dmax_denit_green-manure;dmax_nit_green-manure;km_denit_bare;km_nit_bare;dmax_denit_bare;dmax_nit_bare;kmin;kfix;kngl;phi_soil_temp;clay;soil_fertility;z_soil
1.2061429;0.7765827;0.9884768;0.8681241;15.074682;6.5369754;35.36542;88.33741;16.743427;13.310728;23.35554;57.810074;18.83859;12.50357;54.460613;43.895626;11.246381;11.251601;84.49632;16.038078;8.670187;12.100826;30.931454;47.073627;15.840936;5.2045946;8.306916;93.69756;3.4042482;10.10727;41.044037;57.11052;11.322637;7.114172;93.74252;23.915201;82.71598;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.77054197;0.7689902;1.3493564;0.8405426;19.920322;3.2958932;42.680622;41.98949;14.938527;3.4534805;23.699398;10.805242;19.004824;14.910926;54.21448;15.6531925;13.6174345;14.098378;75.656784;96.68713;8.44399;10.485928;11.560305;81.03066;18.308619;3.0457163;97.17501;10.224321;3.3849108;8.816924;36.360287;96.219406;15.958434;3.4913285;19.141914;19.689274;61.911777;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.3161772;0.36215603;0.22434433;0.7098884;1.7785689;3.0400848;98.48524;61.65402;17.44584;13.375622;54.55855;74.621254;11.184131;18.195084;88.833984;11.299468;9.019616;8.589958;50.620377;21.451115;17.492174;1.5388161;53.573498;10.594148;7.7239594;18.30623;71.887344;41.346416;7.102879;15.56624;14.334562;59.076332;11.222479;7.5413284;27.814917;54.841034;8.906352;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.1065785;0.22932431;1.293922;0.69223374;5.653469;1.1775264;9.335215;14.939317;19.00733;13.262885;23.32335;29.943432;5.766433;1.6633542;10.989075;33.06977;10.838046;6.665262;60.479843;66.782524;11.974689;7.7593637;92.08214;55.677055;16.859356;7.506714;83.141975;70.121765;9.210433;15.072674;48.97131;46.840225;9.839068;9.6137295;50.143074;17.00321;90.715454;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.32243055;0.44303963;1.0249394;0.775207;12.357074;19.58877;12.053462;53.174946;11.719339;9.912207;23.50584;95.88651;15.047139;6.5919523;53.32356;86.760445;17.946396;8.94092;73.64046;99.404144;15.438973;17.062077;68.31696;55.363773;18.170048;13.566142;49.50478;18.654257;19.684319;15.227422;34.72348;94.61019;5.2522693;5.091373;96.78225;68.61477;2.5003648;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.468309;0.32570904;1.1053439;0.6388737;8.888695;13.446537;44.101665;42.973747;15.158092;19.218702;43.12025;3.4952629;13.569904;16.195175;13.765701;35.3662;17.974197;10.785401;29.912598;37.229183;8.422646;15.944999;67.96851;69.798004;13.268656;14.298276;94.41832;61.682236;15.820165;17.707443;64.89042;98.14072;16.246954;15.996219;53.62702;6.413227;58.071484;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.1894816;0.51663077;1.028346;0.49139357;13.113568;7.103505;17.755121;48.89121;10.31256;6.1618357;79.04477;56.880577;17.631163;16.195816;13.346365;56.08839;4.050756;3.2073357;13.781457;9.544541;5.7807136;7.639168;93.79737;23.917883;2.1552136;9.043657;84.72512;87.911255;16.627867;14.613459;82.01249;41.856487;13.242769;1.7379442;55.683235;24.5227;50.63014;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.2218837;0.9834769;0.74258316;0.89762104;12.141683;12.002493;68.79819;19.243135;15.930482;11.940727;28.666199;70.67598;17.189693;11.979149;63.954018;78.33123;16.92642;11.493684;18.142279;35.87156;14.607508;17.193354;38.895184;43.035923;6.943787;4.891151;34.840523;40.149986;17.94954;10.750743;21.640434;32.192215;19.256626;15.505204;18.285215;9.08441;28.693996;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.36654773;0.3448571;0.7739633;0.9534009;15.9718;12.762405;36.707077;86.75592;11.197736;3.461443;25.904469;43.65279;6.288708;2.1847563;7.1716375;50.413868;1.8986762;18.675095;39.127052;81.2582;9.874282;16.26603;64.10883;49.62623;6.5088935;12.960293;25.592749;70.78425;9.817317;13.583542;40.498886;39.459633;8.56522;15.137471;11.277534;78.160164;25.081514;40.0;44.6636575032666;91;0.1537041353167826;3;1350
