-;-;-;-;-;-;-;kg N/ha/year;kg N/ha/year;kg N/ha/a;kg N/ha/a;day of year;-;;mm
alpha_transp;alpha_q;k_transp;k_q;km_denit;km_nit;kmin;kfix;kngl;dmax_denit;dmax_nit;phi_soil_temp;clay;soil_fertility;z_soil
3.914989;0.57937545;0.7926182;2.0620646;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
2.3066165;0.57187784;0.99664515;2.3945737;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
4.32127;0.17012908;0.23278184;4.931147;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
3.5473666;0.038957763;0.39593554;0.8788734;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
0.65205127;0.2500016;0.6781926;1.0024301;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
4.8829875;0.13413768;0.5321556;2.4591665;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
3.8534706;0.3226729;0.710045;1.2615964;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
3.9731088;0.7836834;0.6691235;3.5817356;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
0.81494546;0.15304638;0.8303916;2.1230488;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
2.3618524;0.2619104;0.25672233;4.307934;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
1.9798305;0.5828403;0.55249286;3.8687475;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
4.648472;0.4122544;0.88804305;2.6186306;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
3.2905526;0.044703234;0.49020952;4.3024073;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
4.1492558;0.13773511;0.60303104;0.9536848;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
2.3283882;0.7488471;0.2172629;3.1149454;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
