-;-;-;-;-;kg N/ha/year;kg N/ha/year;kg N/ha/a;kg N/ha/a;day of year;-;;mm
alpha_transp;alpha_q;km_denit;km_nit;kmin;kfix;kngl;dmax_denit;dmax_nit;phi_soil_temp;clay;soil_fertility;z_soil
3.914989;0.57937545;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
2.3066165;0.57187784;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
4.32127;0.17012908;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
3.5473666;0.038957763;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
0.65205127;0.2500016;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
4.8829875;0.13413768;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
3.8534706;0.3226729;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
3.9731088;0.7836834;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
0.81494546;0.15304638;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
2.3618524;0.2619104;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
1.9798305;0.5828403;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
4.648472;0.4122544;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
3.2905526;0.044703234;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
4.1492558;0.13773511;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
2.3283882;0.7488471;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
1.2907459;0.09150034;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
2.862007;0.5117233;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
0.5063228;0.6359373;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
4.17263;0.21969686;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
3.2319891;0.5828116;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
3.8388212;0.1442172;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
1.9017247;0.23495272;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
4.8593507;0.2563394;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
4.4869814;0.79718363;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
3.9362407;0.17951211;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
1.1342658;0.1120739;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
2.440261;0.74129623;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
0.41025808;0.13792525;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
0.94058955;0.70463115;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
3.478635;0.52386075;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
3.7748582;0.4657206;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
4.8440466;0.6035576;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
1.7639617;0.5835392;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
1.9782066;0.09731569;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
2.453868;0.79957825;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
1.1094625;0.7540929;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
0.82362324;0.7183077;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
2.4833837;0.50160843;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
1.2891649;0.42300516;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
3.4151073;0.4336601;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
2.298329;0.021800186;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
4.1968555;0.40458092;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
3.5612724;0.50277793;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
1.6993599;0.5303779;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
4.194847;0.2723902;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
4.062869;0.38231304;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
2.0598962;0.51268536;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
1.583975;0.34836134;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
3.4759784;0.7700868;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
0.87081194;0.56729925;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
1.1595594;0.011006259;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
0.2353389;0.028390791;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
3.977237;0.55533713;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
3.3912842;0.33598962;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
3.5847938;0.6731821;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
3.9474993;0.14668217;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
2.4027958;0.020923262;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
2.9299576;0.31658506;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
0.87102556;0.5914906;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
0.74974436;0.7776649;12.147350020705584;8.157396617080435;30.0;0.4;44.6636575032666;22.134536998693363;39.7757716688444;91;0.1537041353167826;3;1350
