[mm];[1/m2];[mm];[-];[-];[-];[mm/hour];[mm/hour];[-];[-]
z_soil;dmpv;lmpv;theta_ac;theta_ufc;theta_pwp;ks;kf;c_canopy;c_root
1350;220;1050;0.10913056;0.14220041;0.15962094;44.423138;2500;1.2388532;1.2761621
1350;247;1050;0.10913056;0.14220041;0.15962094;44.423138;2500;1.2388532;1.2761621
1350;220;466;0.10913056;0.14220041;0.15962094;44.423138;2500;1.2388532;1.2761621
1350;220;1050;0.14999302;0.19544542;0.15962094;44.423138;2500;1.2388532;1.2761621
1350;220;1050;0.08189234;0.16943863;0.15962094;44.423138;2500;1.2388532;1.2761621
1350;220;1050;0.10913056;0.14220041;0.12311562;44.423138;2500;1.2388532;1.2761621
1350;220;1050;0.10913056;0.14220041;0.15962094;48.774433;2500;1.2388532;1.2761621
1350;220;1050;0.10913056;0.14220041;0.15962094;44.423138;2500;1.2388532;1.4671386
1350;220;1050;0.10913056;0.14220041;0.15962094;44.423138;2500;0.7063223;1.2761621
1350;247;466;0.11255581;0.23288262;0.12311562;48.774433;2500;0.7063223;1.4671386
1350;102;55;0.026662683;0.20973395;0.18898071;19.115725;2500;0.7808599;0.9184897
1350;67;55;0.026662683;0.20973395;0.18898071;19.115725;2500;0.7808599;0.9184897
1350;102;787;0.026662683;0.20973395;0.18898071;19.115725;2500;0.7808599;0.9184897
1350;102;55;0.026550528;0.20885171;0.18898071;19.115725;2500;0.7808599;0.9184897
1350;102;55;0.13213591;0.10426071;0.18898071;19.115725;2500;0.7808599;0.9184897
1350;102;55;0.026662683;0.20973395;0.18457241;19.115725;2500;0.7808599;0.9184897
1350;102;55;0.026662683;0.20973395;0.18898071;16.177048;2500;0.7808599;0.9184897
1350;102;55;0.026662683;0.20973395;0.18898071;19.115725;2500;0.7808599;0.7340641
1350;102;55;0.026662683;0.20973395;0.18898071;19.115725;2500;1.3398037;0.9184897
1350;67;787;0.13158008;0.10382214;0.18457241;16.177048;2500;1.3398037;0.7340641
1350;79;747;0.22463869;0.11462323;0.22419916;8.455609;2500;0.63149077;1.2406898
1350;114;747;0.22463869;0.11462323;0.22419916;8.455609;2500;0.63149077;1.2406898
1350;79;1127;0.22463869;0.11462323;0.22419916;8.455609;2500;0.63149077;1.2406898
1350;79;747;0.117344774;0.05987587;0.22419916;8.455609;2500;0.63149077;1.2406898
1350;79;747;0.14235765;0.19690427;0.22419916;8.455609;2500;0.63149077;1.2406898
1350;79;747;0.22463869;0.11462323;0.16217436;8.455609;2500;0.63149077;1.2406898
1350;79;747;0.22463869;0.11462323;0.22419916;36.438774;2500;0.63149077;1.2406898
