[1/m2];[mm];[-];[-];[-];[mm/hour];[-];[-];[-];[-];[-];[-];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[-];[-];[-]
dmpv;lmpv;theta_ac;theta_ufc;theta_pwp;ks;c_canopy;c_root;alpha_transp;alpha_q;k_transp;k_q;km_denit;km_nit;kmin;dmax_denit;dmax_nit;clay;theta_eff;frac_lp
62;1052;0.09927968;0.07435311;0.13791305;44.786667;0.99304277;0.91973776;1.3668919;0.42371035;0.7300737;4.5715714;8.297777;36.294456;10.619853;43.50797;62.545006;0.21255977445408475;0.57177955;0.17363279
210;1052;0.09927968;0.07435311;0.13791305;44.786667;0.99304277;0.91973776;1.3668919;0.42371035;0.7300737;4.5715714;8.297777;36.294456;10.619853;43.50797;62.545006;0.21255977445408475;0.57177955;0.17363279
62;1010;0.09927968;0.07435311;0.13791305;44.786667;0.99304277;0.91973776;1.3668919;0.42371035;0.7300737;4.5715714;8.297777;36.294456;10.619853;43.50797;62.545006;0.21255977445408475;0.57177955;0.17363279
62;1052;0.18359265;0.13749728;0.13791305;44.786667;0.99304277;0.91973776;1.3668919;0.42371035;0.7300737;4.5715714;8.297777;36.294456;10.619853;43.50797;62.545006;0.17065875207299888;0.57177955;0.32108992
62;1052;0.103254125;0.07037866;0.13791305;44.786667;0.99304277;0.91973776;1.3668919;0.42371035;0.7300737;4.5715714;8.297777;36.294456;10.619853;43.50797;62.545006;0.2159313379999133;0.5946695;0.17363279
62;1052;0.09927968;0.07435311;0.13096906;44.786667;0.99304277;0.91973776;1.3668919;0.42371035;0.7300737;4.5715714;8.297777;36.294456;10.619853;43.50797;62.545006;0.19759179665802548;0.57177955;0.17363279
62;1052;0.09927968;0.07435311;0.13791305;24.433662;0.99304277;0.91973776;1.3668919;0.42371035;0.7300737;4.5715714;8.297777;36.294456;10.619853;43.50797;62.545006;0.21255977445408475;0.57177955;0.17363279
62;1052;0.09927968;0.07435311;0.13791305;44.786667;0.99304277;1.1658841;1.3668919;0.42371035;0.7300737;4.5715714;8.297777;36.294456;10.619853;43.50797;62.545006;0.21255977445408475;0.57177955;0.17363279
62;1052;0.09927968;0.07435311;0.13791305;44.786667;0.5825479;0.91973776;1.3668919;0.42371035;0.7300737;4.5715714;8.297777;36.294456;10.619853;43.50797;62.545006;0.21255977445408475;0.57177955;0.17363279
62;1052;0.09927968;0.07435311;0.13791305;44.786667;0.99304277;0.91973776;1.3668919;0.42371035;1.0177226;4.5715714;8.297777;36.294456;10.619853;43.50797;62.545006;0.21255977445408475;0.57177955;0.17363279
62;1052;0.09927968;0.07435311;0.13791305;44.786667;0.99304277;0.91973776;1.3668919;0.42371035;0.7300737;4.563626;8.297777;36.294456;10.619853;43.50797;62.545006;0.21255977445408475;0.57177955;0.17363279
62;1052;0.09927968;0.07435311;0.13791305;44.786667;0.99304277;0.91973776;0.7235358;0.42371035;0.7300737;4.5715714;8.297777;36.294456;10.619853;43.50797;62.545006;0.21255977445408475;0.57177955;0.17363279
62;1052;0.09927968;0.07435311;0.13791305;44.786667;0.99304277;0.91973776;1.3668919;0.3195596;0.7300737;4.5715714;8.297777;36.294456;10.619853;43.50797;62.545006;0.21255977445408475;0.57177955;0.17363279
62;1052;0.09927968;0.07435311;0.13791305;44.786667;0.99304277;0.91973776;1.3668919;0.42371035;0.7300737;4.5715714;34.008423;36.294456;10.619853;43.50797;62.545006;0.21255977445408475;0.57177955;0.17363279
62;1052;0.09927968;0.07435311;0.13791305;44.786667;0.99304277;0.91973776;1.3668919;0.42371035;0.7300737;4.5715714;8.297777;2.02947;10.619853;43.50797;62.545006;0.21255977445408475;0.57177955;0.17363279
62;1052;0.09927968;0.07435311;0.13791305;44.786667;0.99304277;0.91973776;1.3668919;0.42371035;0.7300737;4.5715714;8.297777;36.294456;10.305692;43.50797;62.545006;0.21255977445408475;0.57177955;0.17363279
62;1052;0.09927968;0.07435311;0.13791305;44.786667;0.99304277;0.91973776;1.3668919;0.42371035;0.7300737;4.5715714;8.297777;36.294456;10.619853;2.0350518;62.545006;0.21255977445408475;0.57177955;0.17363279
62;1052;0.09927968;0.07435311;0.13791305;44.786667;0.99304277;0.91973776;1.3668919;0.42371035;0.7300737;4.5715714;8.297777;36.294456;10.619853;43.50797;78.77832;0.21255977445408475;0.57177955;0.17363279
210;1010;0.19094239;0.13014753;0.13096906;24.433662;0.5825479;1.1658841;0.7235358;0.3195596;1.0177226;4.563626;34.008423;2.02947;10.305692;2.0350518;78.77832;0.16110041770299013;0.5946695;0.32108992
286;292;0.09864695;0.20510559;0.23750217;6.920862;1.4788551;1.3979788;0.2694885;0.8590656;1.071594;2.4369726;38.494175;8.319419;26.325212;69.95065;25.00966;0.32878743669613636;0.3247609;0.30375254
124;292;0.09864695;0.20510559;0.23750217;6.920862;1.4788551;1.3979788;0.2694885;0.8590656;1.071594;2.4369726;38.494175;8.319419;26.325212;69.95065;25.00966;0.32878743669613636;0.3247609;0.30375254
286;212;0.09864695;0.20510559;0.23750217;6.920862;1.4788551;1.3979788;0.2694885;0.8590656;1.071594;2.4369726;38.494175;8.319419;26.325212;69.95065;25.00966;0.32878743669613636;0.3247609;0.30375254
286;292;0.05077987;0.10558092;0.23750217;6.920862;1.4788551;1.3979788;0.2694885;0.8590656;1.071594;2.4369726;38.494175;8.319419;26.325212;69.95065;25.00966;0.4029543272840865;0.3247609;0.15636079
286;292;0.09993336;0.20381919;0.23750217;6.920862;1.4788551;1.3979788;0.2694885;0.8590656;1.071594;2.4369726;38.494175;8.319419;26.325212;69.95065;25.00966;0.3295574276504727;0.32899597;0.30375254
