YYYY	MM	DD	hh	mm	TA	TA_min	TA_max
2013	1	1	0	0	1.7263888888888888	-5.2	5.8
2013	1	2	0	0	0.21874999999999997	-5.5	8.2
2013	1	3	0	0	0.44791666666666674	-5.8	5.3
2013	1	4	0	0	5.1625000000000005	2.0	8.0
2013	1	5	0	0	5.678472222222222	3.2	7.5
2013	1	6	0	0	3.509027777777778	-2.0	5.6
2013	1	7	0	0	3.2159722222222222	-0.9	5.9
2013	1	8	0	0	1.5597222222222225	-4.1	7.4
2013	1	9	0	0	-0.3743055555555555	-2.1	1.9
2013	1	10	0	0	1.582638888888889	-0.1	4.3
2013	1	11	0	0	1.420138888888889	0.0	3.5
2013	1	12	0	0	0.7861111111111111	-2.5	7.6
2013	1	13	0	0	0.2236111111111111	-0.6	1.9
2013	1	14	0	0	-0.6069444444444444	-3.1	0.8
2013	1	15	0	0	-2.2805555555555554	-6.3	1.8
2013	1	16	0	0	-3.3465277777777778	-6.1	0.2
2013	1	17	0	0	-4.465277777777778	-13.8	-1.7
2013	1	18	0	0	-8.497222222222222	-15.7	1.6
2013	1	19	0	0	-3.2229166666666664	-6.0	-1.2
2013	1	20	0	0	-1.6722222222222223	-4.6	2.1
2013	1	21	0	0	-1.1847222222222222	-5.3	3.0
2013	1	22	0	0	-0.7888888888888889	-7.7	5.1
2013	1	23	0	0	-3.6368055555555556	-8.6	4.2
2013	1	24	0	0	-1.8277777777777777	-3.2	0.1
2013	1	25	0	0	-2.8847222222222224	-8.8	1.2
2013	1	26	0	0	-4.731944444444444	-9.3	3.1
2013	1	27	0	0	-1.0527777777777778	-8.7	5.8
2013	1	28	0	0	0.4888888888888889	-4.0	6.5
2013	1	29	0	0	3.734027777777778	-1.4	6.1
2013	1	30	0	0	9.152083333333334	5.8	14.6
2013	1	31	0	0	6.528472222222223	-1.6	11.7
2013	2	1	0	0	6.728472222222222	5.1	8.0
2013	2	2	0	0	3.0131944444444443	-1.5	8.5
2013	2	3	0	0	0.19930555555555554	-2.7	3.7
2013	2	4	0	0	1.9013888888888888	-0.4	4.9
2013	2	5	0	0	3.829166666666667	-1.0	8.9
2013	2	6	0	0	-0.6930555555555555	-5.0	0.7
2013	2	7	0	0	-0.5305555555555556	-3.9	2.8
2013	2	8	0	0	-0.8048611111111112	-3.3	3.1
2013	2	9	0	0	-1.757638888888889	-4.9	1.8
2013	2	10	0	0	-4.9624999999999995	-9.6	-0.4
2013	2	11	0	0	-1.2104166666666667	-3.4	1.7
2013	2	12	0	0	-0.9395833333333333	-2.0	0.4
2013	2	13	0	0	-2.8451388888888887	-6.8	-0.9
2013	2	14	0	0	-3.8229166666666665	-8.8	1.1
2013	2	15	0	0	-0.22847222222222222	-1.8	0.6
2013	2	16	0	0	0.4354166666666668	-6.9	9.0
2013	2	17	0	0	0.75625	-6.2	3.3
2013	2	18	0	0	-0.07500000000000007	-7.5	7.4
2013	2	19	0	0	-0.7930555555555556	-8.7	6.8
2013	2	20	0	0	0.002777777777777768	-2.0	2.1
2013	2	21	0	0	-2.288194444444444	-3.8	-0.4
2013	2	22	0	0	-4.178472222222222	-5.3	-2.4
2013	2	23	0	0	-3.988888888888889	-5.5	0.0
2013	2	24	0	0	-3.6631944444444446	-10.8	2.0
2013	2	25	0	0	-5.065277777777777	-11.8	4.6
2013	2	26	0	0	-1.707638888888889	-8.8	3.0
2013	2	27	0	0	0.7020833333333334	-0.6	2.0
2013	2	28	0	0	0.3625	-5.1	5.6
2013	3	1	0	0	0.2833333333333334	-5.1	3.3
2013	3	2	0	0	-0.015277777777777777	-0.5	1.1
2013	3	3	0	0	0.24583333333333332	-5.5	7.9
2013	3	4	0	0	-1.1555555555555557	-7.7	10.5
2013	3	5	0	0	1.1291666666666667	-7.3	14.0
2013	3	6	0	0	5.288888888888889	-3.6	19.7
2013	3	7	0	0	7.254861111111111	-2.3	18.5
2013	3	8	0	0	7.063194444444445	-2.2	18.4
2013	3	9	0	0	9.38263888888889	3.7	18.8
2013	3	10	0	0	7.5993055555555555	1.6	17.4
2013	3	11	0	0	4.365972222222222	-0.6	16.4
2013	3	12	0	0	5.53125	1.9	12.6
2013	3	13	0	0	0.3090277777777778	-3.0	2.5
2013	3	14	0	0	-2.326388888888889	-12.2	5.6
2013	3	15	0	0	-3.2597222222222224	-13.6	7.0
2013	3	16	0	0	0.322222222222222	-9.4	11.1
2013	3	17	0	0	3.336111111111111	-1.1	8.6
2013	3	18	0	0	3.3562499999999997	0.8	5.8
2013	3	19	0	0	3.8743055555555554	-2.5	11.9
2013	3	20	0	0	4.228472222222222	-0.5	12.5
2013	3	21	0	0	4.7749999999999995	-1.6	14.7
2013	3	22	0	0	7.649305555555556	0.9	16.6
2013	3	23	0	0	4.071527777777778	-0.4	10.1
2013	3	24	0	0	1.3541666666666667	-1.7	3.9
2013	3	25	0	0	0.23125000000000004	-1.8	3.7
2013	3	26	0	0	-0.9909722222222223	-3.0	3.7
2013	3	27	0	0	0.5576388888888889	-3.9	10.4
2013	3	28	0	0	1.3083333333333333	-3.5	4.3
2013	3	29	0	0	1.6069444444444445	-1.0	6.8
2013	3	30	0	0	2.1006944444444446	0.0	5.3
2013	3	31	0	0	1.3215277777777776	-0.7	5.5
2013	4	1	0	0	3.076388888888889	-1.9	12.0
2013	4	2	0	0	2.047222222222222	-3.6	5.9
2013	4	3	0	0	3.5284722222222222	0.8	6.9
2013	4	4	0	0	4.533333333333333	-3.4	11.6
2013	4	5	0	0	2.9472222222222224	0.9	5.1
2013	4	6	0	0	4.895138888888889	-2.0	11.5
2013	4	7	0	0	3.4250000000000003	-4.4	9.4
2013	4	8	0	0	3.215277777777778	-4.2	13.2
2013	4	9	0	0	6.455555555555556	1.1	14.0
2013	4	10	0	0	9.390972222222222	4.6	16.8
2013	4	11	0	0	10.984027777777778	6.1	21.6
2013	4	12	0	0	9.428472222222222	5.9	19.1
2013	4	13	0	0	10.344444444444445	2.5	21.8
2013	4	14	0	0	14.892361111111112	3.0	27.3
2013	4	15	0	0	15.781944444444443	2.6	28.3
2013	4	16	0	0	16.60902777777778	7.8	29.0
2013	4	17	0	0	17.148611111111112	6.1	29.4
2013	4	18	0	0	16.76458333333333	6.7	28.9
2013	4	19	0	0	6.911111111111111	0.0	10.9
2013	4	20	0	0	3.6180555555555554	0.0	6.6
2013	4	21	0	0	7.958333333333333	5.9	11.0
2013	4	22	0	0	9.35	3.8	17.4
2013	4	23	0	0	10.259722222222221	1.0	24.1
2013	4	24	0	0	13.243055555555555	-0.9	26.9
2013	4	25	0	0	15.890277777777778	2.0	29.6
2013	4	26	0	0	15.620138888888889	5.5	29.0
2013	4	27	0	0	9.122222222222222	4.9	12.0
2013	4	28	0	0	9.677777777777779	4.6	18.5
2013	4	29	0	0	10.11111111111111	7.0	16.1
2013	4	30	0	0	11.294444444444444	7.2	16.4
2013	5	1	0	0	14.636805555555556	8.1	26.0
2013	5	2	0	0	15.770833333333334	9.1	27.6
2013	5	3	0	0	11.370833333333332	6.3	18.2
2013	5	4	0	0	11.4625	5.3	18.3
2013	5	5	0	0	13.568055555555555	3.5	24.1
2013	5	6	0	0	15.282638888888888	4.5	26.8
2013	5	7	0	0	15.229166666666666	5.9	26.7
2013	5	8	0	0	17.445833333333333	3.0	28.3
2013	5	9	0	0	16.290972222222223	12.6	26.9
2013	5	10	0	0	10.866666666666667	4.0	15.1
2013	5	11	0	0	10.475	4.3	18.5
2013	5	12	0	0	10.292361111111111	5.1	19.8
2013	5	13	0	0	11.311111111111112	1.3	22.9
2013	5	14	0	0	16.257638888888888	5.5	27.4
2013	5	15	0	0	14.556249999999999	4.8	26.3
2013	5	16	0	0	12.987499999999999	8.6	21.9
2013	5	17	0	0	10.825694444444444	7.3	16.6
