YYYY	MM	DD	hh	mm	TA	TA_min	TA_max
2013	1	1	0	0	1.726388888888889	-5.2	5.8
2013	1	2	0	0	0.21875000000000003	-5.5	8.2
2013	1	3	0	0	0.4479166666666665	-5.8	5.3
2013	1	4	0	0	5.1625000000000005	2.0	8.0
2013	1	5	0	0	5.678472222222222	3.2	7.5
2013	1	6	0	0	3.509027777777778	-2.0	5.6
2013	1	7	0	0	3.2159722222222222	-0.9	5.9
2013	1	8	0	0	1.5597222222222225	-4.1	7.4
2013	1	9	0	0	-0.3743055555555555	-2.1	1.9
2013	1	10	0	0	1.582638888888889	-0.1	4.3
2013	1	11	0	0	1.420138888888889	0.0	3.5
2013	1	12	0	0	0.786111111111111	-2.5	7.6
2013	1	13	0	0	0.2236111111111111	-0.6	1.9
2013	1	14	0	0	-0.6069444444444444	-3.1	0.8
2013	1	15	0	0	-2.280555555555556	-6.3	1.8
2013	1	16	0	0	-3.346527777777777	-6.1	0.2
2013	1	17	0	0	-4.465277777777779	-13.8	-1.7
2013	1	18	0	0	-8.497222222222224	-15.7	1.6
2013	1	19	0	0	-3.2229166666666664	-6.0	-1.2
2013	1	20	0	0	-1.6722222222222223	-4.6	2.1
2013	1	21	0	0	-1.184722222222222	-5.3	3.0
2013	1	22	0	0	-0.7888888888888889	-7.7	5.1
2013	1	23	0	0	-3.6368055555555556	-8.6	4.2
2013	1	24	0	0	-1.8277777777777782	-3.2	0.1
2013	1	25	0	0	-2.8847222222222224	-8.8	1.2
2013	1	26	0	0	-4.731944444444445	-9.3	3.1
2013	1	27	0	0	-1.0527777777777778	-8.7	5.8
2013	1	28	0	0	0.48888888888888865	-4.0	6.5
2013	1	29	0	0	3.734027777777777	-1.4	6.1
2013	1	30	0	0	9.152083333333332	5.8	14.6
2013	1	31	0	0	6.528472222222223	-1.6	11.7
2013	2	1	0	0	6.728472222222223	5.1	8.0
2013	2	2	0	0	3.013194444444444	-1.5	8.5
2013	2	3	0	0	0.19930555555555549	-2.7	3.7
2013	2	4	0	0	1.9013888888888892	-0.4	4.9
2013	2	5	0	0	3.829166666666666	-1.0	8.9
2013	2	6	0	0	-0.6930555555555555	-5.0	0.7
2013	2	7	0	0	-0.5305555555555557	-3.9	2.8
2013	2	8	0	0	-0.8048611111111111	-3.3	3.1
2013	2	9	0	0	-1.757638888888889	-4.9	1.8
2013	2	10	0	0	-4.9625	-9.6	-0.4
2013	2	11	0	0	-1.2104166666666667	-3.4	1.7
2013	2	12	0	0	-0.9395833333333333	-2.0	0.4
