-;-;-;-;-;-;-;kg N/ha/year;kg N/ha/year;kg N/ha/a;kg N/ha/a;day of year;-;;mm
alpha_transp;alpha_q;k_transp;k_q;km_denit;km_nit;kmin;kfix;kngl;dmax_denit;dmax_nit;phi_soil_temp;clay;soil_fertility;z_soil
0.8191648;0.7765827;0.38065082;2.295866;15.074682;6.5369754;83.03155;40.0;39.49391472232355;35.36542;88.33741;91;0.1798974987402273;3;1350
0.55110276;0.7689902;0.3834295;1.2582611;19.920322;3.2958932;73.62706;40.0;39.49391472232355;42.680622;41.98949;91;0.1798974987402273;3;1350
0.8868783;0.36215603;0.6327964;2.302697;1.7785689;3.0400848;86.69149;40.0;39.49391472232355;98.48524;61.65402;91;0.1798974987402273;3;1350
0.7578944;0.22932431;0.3803907;2.29083;5.653469;1.1775264;94.82767;40.0;39.49391472232355;9.335215;14.939317;91;0.1798974987402273;3;1350
0.27534187;0.44303963;0.38186538;1.938127;12.357074;19.58877;56.8534;40.0;39.49391472232355;12.053462;53.174946;91;0.1798974987402273;3;1350
0.9804979;0.32570904;0.5403657;2.9177582;8.888695;13.446537;74.77111;40.0;39.49391472232355;44.101665;42.973747;91;0.1798974987402273;3;1350
0.80891174;0.51663077;0.83066475;1.5433512;13.113568;7.103505;49.523342;40.0;39.49391472232355;17.755121;48.89121;91;0.1798974987402273;3;1350
0.82885146;0.9834769;0.42356524;2.1516554;12.141683;12.002493;78.79567;40.0;39.49391472232355;68.79819;19.243135;91;0.1798974987402273;3;1350
0.30249092;0.3448571;0.40124822;1.2590992;15.9718;12.762405;54.135574;40.0;39.49391472232355;36.707077;86.75592;91;0.1798974987402273;3;1350
0.56030875;0.45509917;0.6021128;1.7731947;2.3471556;4.4756503;73.895164;40.0;39.49391472232355;84.774536;8.91708;91;0.1798974987402273;3;1350
0.49663842;0.78009146;0.4820958;1.5303186;9.371705;6.4884953;28.228449;40.0;39.49391472232355;75.11244;78.33886;91;0.1798974987402273;3;1350
0.941412;0.60734624;0.9846978;2.3917787;17.341022;11.398277;69.005;40.0;39.49391472232355;47.60987;94.468254;91;0.1798974987402273;3;1350
0.7150921;0.23514251;0.8451758;2.525185;7.892476;16.956095;58.27565;40.0;39.49391472232355;84.65296;11.52735;91;0.1798974987402273;3;1350
0.8582093;0.32935202;0.51337373;2.7185626;10.571987;3.4621847;25.733917;40.0;39.49391472232355;10.981066;43.934772;91;0.1798974987402273;3;1350
0.55473137;0.9481996;0.2957935;1.4963566;1.4099939;17.308378;68.88108;40.0;39.49391472232355;58.5288;58.910053;91;0.1798974987402273;3;1350
0.38179097;0.282532;0.37430885;2.2971833;5.259304;12.570736;37.657623;40.0;39.49391472232355;60.908165;99.142136;91;0.1798974987402273;3;1350
0.6436678;0.7080742;0.8266886;2.0132637;9.809447;10.303528;63.271763;40.0;39.49391472232355;25.35609;86.67291;91;0.1798974987402273;3;1350
0.2510538;0.8338605;0.56556517;2.070707;8.580395;3.7348676;66.16754;40.0;39.49391472232355;5.9125113;42.00866;91;0.1798974987402273;3;1350
0.86210495;0.41235125;0.3562841;1.449681;14.578443;11.4481735;67.45028;40.0;39.49391472232355;53.984695;96.82379;91;0.1798974987402273;3;1350
0.7053315;0.7800624;0.6999187;2.416931;12.62572;7.7190003;68.67624;40.0;39.49391472232355;51.854027;33.79531;91;0.1798974987402273;3;1350
0.8064702;0.33591613;0.7115546;2.2463746;17.725368;4.5903764;42.31884;40.0;39.49391472232355;65.707565;34.659126;91;0.1798974987402273;3;1350
0.48362076;0.4278002;0.46340108;2.8131695;17.240643;17.719496;62.84343;40.0;39.49391472232355;22.079945;51.11961;91;0.1798974987402273;3;1350
0.97655845;0.44945762;0.3152816;2.2009013;5.583177;9.75088;90.76794;40.0;39.49391472232355;18.784693;78.17799;91;0.1798974987402273;3;1350
0.9144969;0.997148;0.65104973;2.388722;1.3351358;2.5153646;7.743473;40.0;39.49391472232355;97.813675;20.024643;91;0.1798974987402273;3;1350
0.8227068;0.37165785;0.6510368;1.6895096;17.234945;6.740635;78.53591;40.0;39.49391472232355;12.255161;74.50419;91;0.1798974987402273;3;1350
0.35571095;0.30336598;0.5655624;1.3758273;7.2532964;4.4485927;13.748194;40.0;39.49391472232355;99.94145;1.2673141;91;0.1798974987402273;3;1350
0.5733768;0.9405531;0.9759034;2.8940065;7.5950847;18.845657;47.092922;40.0;39.49391472232355;72.2777;26.985493;91;0.1798974987402273;3;1350
0.23504302;0.32954454;0.45640954;2.2066722;4.009501;5.6181774;17.243662;40.0;39.49391472232355;63.302902;97.472404;91;0.1798974987402273;3;1350
0.32343158;0.90342396;0.6022428;1.9568229;14.167138;10.621537;78.45961;40.0;39.49391472232355;34.638565;65.99015;91;0.1798974987402273;3;1350
0.74643916;0.7203653;0.70830184;2.9970915;6.3220696;15.1649275;4.679241;40.0;39.49391472232355;86.912506;46.793495;91;0.1798974987402273;3;1350
0.79580975;0.6614892;0.7524343;1.5297328;4.358119;4.011707;70.412766;40.0;39.49391472232355;91.0961;73.444534;91;0.1798974987402273;3;1350
0.9740078;0.801071;0.8762737;2.412076;10.5644245;9.312264;40.74951;40.0;39.49391472232355;72.466515;44.09037;91;0.1798974987402273;3;1350
0.46066028;0.78079915;0.37667644;1.4506056;15.257902;13.412347;27.24007;40.0;39.49391472232355;71.27897;11.562163;91;0.1798974987402273;3;1350
0.49636775;0.28842095;0.8898781;1.8802671;6.1223736;17.75712;96.08565;40.0;39.49391472232355;49.822308;50.259373;91;0.1798974987402273;3;1350
0.5756447;0.9995729;0.28101656;1.7584532;14.718741;13.42796;29.914116;40.0;39.49391472232355;8.705651;95.58479;91;0.1798974987402273;3;1350
0.35157707;0.9535118;0.25189957;2.508638;9.777527;2.521593;21.958643;40.0;39.49391472232355;99.90388;27.987577;91;0.1798974987402273;3;1350
0.3039372;0.9172736;0.8968712;1.9349321;8.671681;7.109668;43.71498;40.0;39.49391472232355;2.5399828;6.234615;91;0.1798974987402273;3;1350
0.58056396;0.69783133;0.4600756;1.6926863;7.8308964;7.6677117;30.922245;40.0;39.49391472232355;50.044342;74.393295;91;0.1798974987402273;3;1350
0.38152748;0.6182331;0.8371107;1.5838699;3.7660384;8.377195;73.05308;40.0;39.49391472232355;37.3463;45.986076;91;0.1798974987402273;3;1350
0.73585117;0.6290229;0.8192368;2.6762586;7.3200417;18.890753;3.9857616;40.0;39.49391472232355;77.837105;34.135784;91;0.1798974987402273;3;1350
0.54972154;0.21194956;0.74037594;1.4169263;17.70578;1.6783637;69.51377;40.0;39.49391472232355;73.842255;49.26637;91;0.1798974987402273;3;1350
0.8661426;0.5995756;0.36364362;1.9186158;2.9411716;6.7412987;42.788902;40.0;39.49391472232355;63.17692;93.069954;91;0.1798974987402273;3;1350
0.76021206;0.6990157;0.5397294;1.8468941;19.2077;10.356663;78.609634;40.0;39.49391472232355;8.399116;25.774677;91;0.1798974987402273;3;1350
0.44989333;0.72696495;0.84748816;1.9425597;3.042434;2.6415246;34.055813;40.0;39.49391472232355;24.448095;20.85148;91;0.1798974987402273;3;1350
0.86580783;0.46571156;0.27851653;2.3346307;7.878601;10.187222;2.7952893;40.0;39.49391472232355;10.321685;53.85724;91;0.1798974987402273;3;1350
0.8438115;0.5770259;0.60478324;2.7734742;12.519817;3.0354495;76.56449;40.0;39.49391472232355;97.91866;46.867527;91;0.1798974987402273;3;1350
0.5099827;0.7090485;0.32291308;1.3153232;16.918987;16.917862;14.121302;40.0;39.49391472232355;13.650507;15.829964;91;0.1798974987402273;3;1350
0.43066248;0.5426444;0.28178376;2.433233;3.7280736;6.1316032;48.29984;40.0;39.49391472232355;96.75208;58.485073;91;0.1798974987402273;3;1350
0.7459964;0.96970814;0.5531714;1.2858185;3.6809423;10.937213;83.46656;40.0;39.49391472232355;12.158505;57.874546;91;0.1798974987402273;3;1350
0.311802;0.7643537;0.44762534;1.0133148;12.939184;12.748039;92.57451;40.0;39.49391472232355;86.3608;60.937653;91;0.1798974987402273;3;1350
0.35992655;0.201019;0.85663223;1.0158508;6.5621862;6.808787;25.354849;40.0;39.49391472232355;57.888386;41.941994;91;0.1798974987402273;3;1350
0.20588982;0.21862358;0.590371;2.7921336;13.24554;7.674979;83.978386;40.0;39.49391472232355;83.34084;29.714825;91;0.1798974987402273;3;1350
0.8295395;0.7522402;0.7928535;2.6926591;16.591082;10.699805;77.83472;40.0;39.49391472232355;63.769363;33.504517;91;0.1798974987402273;3;1350
0.73188066;0.5301161;0.7290653;1.6519861;2.4605398;16.303259;92.43303;40.0;39.49391472232355;77.114876;83.60136;91;0.1798974987402273;3;1350
0.7641323;0.8715768;0.96104324;2.2980828;17.04539;9.601146;81.70011;40.0;39.49391472232355;73.35035;62.884583;91;0.1798974987402273;3;1350
0.82458323;0.3384123;0.4080172;1.2999473;1.7141218;10.327023;9.860022;40.0;39.49391472232355;26.75851;40.40434;91;0.1798974987402273;3;1350
0.5671326;0.21106154;0.82463735;2.508176;18.077698;12.321434;94.49401;40.0;39.49391472232355;93.56978;61.71343;91;0.1798974987402273;3;1350
0.65499294;0.51046586;0.3500988;2.9967864;19.536745;9.079018;3.4458163;40.0;39.49391472232355;64.72096;35.61178;91;0.1798974987402273;3;1350
0.31183758;0.78885126;0.8898262;2.889337;13.681649;14.795488;35.01205;40.0;39.49391472232355;21.006329;86.402145;91;0.1798974987402273;3;1350
0.29162407;0.9773822;0.89881057;2.2678647;19.700851;1.0932446;39.534283;40.0;39.49391472232355;31.29816;73.03557;91;0.1798974987402273;3;1350
0.7347224;0.9069231;0.85394394;1.8939697;16.617846;10.177375;49.04122;40.0;39.49391472232355;53.77205;10.993917;91;0.1798974987402273;3;1350
