-;-;-;-;-;-;-;-;-;kg N/ha/year;kg N/ha/year;kg N/ha/a;kg N/ha/a;day of year;-;;mm
alpha_transp;alpha_q;c1_transp;c2_transp;c1_q;c2_q;km_denit;km_nit;kmin;kfix;kngl;dmax_denit;dmax_nit;phi_soil_temp;clay;soil_fertility;z_soil
0.8191648;0.7765827;0.19032541;1.3310728;1.5738392;2.8227324;15.074682;6.5369754;83.03155;40.0;19.291893748489898;35.36542;88.33741;91;0.2822544050076512;3;1350
0.55110276;0.7689902;0.19171475;0.34534806;1.0990429;2.8481045;19.920322;3.2958932;73.62706;40.0;19.291893748489898;42.680622;41.98949;91;0.2822544050076512;3;1350
0.8868783;0.36215603;0.3163982;1.3375622;1.743649;1.6544199;1.7785689;3.0400848;86.69149;40.0;19.291893748489898;98.48524;61.65402;91;0.2822544050076512;3;1350
0.7578944;0.22932431;0.19019535;1.3262885;1.2923579;0.82750815;5.653469;1.1775264;94.82767;40.0;19.291893748489898;9.335215;14.939317;91;0.2822544050076512;3;1350
0.27534187;0.44303963;0.19093269;0.99122065;1.9584496;2.244037;12.357074;19.58877;56.8534;40.0;19.291893748489898;12.053462;53.174946;91;0.2822544050076512;3;1350
0.9804979;0.32570904;0.27018285;1.9218704;1.0252047;2.0185642;8.888695;13.446537;74.77111;40.0;19.291893748489898;44.101665;42.973747;91;0.2822544050076512;3;1350
0.80891174;0.51663077;0.41533238;0.6161836;1.5644503;2.6384406;13.113568;7.103505;49.523342;40.0;19.291893748489898;17.755121;48.89121;91;0.2822544050076512;3;1350
0.82885146;0.9834769;0.21178262;1.1940727;1.7037977;2.5710585;12.141683;12.002493;78.79567;40.0;19.291893748489898;68.79819;19.243135;91;0.2822544050076512;3;1350
0.30249092;0.3448571;0.20062411;0.34614432;1.4308363;0.9072239;15.9718;12.762405;54.135574;40.0;19.291893748489898;36.707077;86.75592;91;0.2822544050076512;3;1350
0.56030875;0.45509917;0.3010564;0.83453494;1.965273;1.7935944;2.3471556;4.4756503;73.895164;40.0;19.291893748489898;84.774536;8.91708;91;0.2822544050076512;3;1350
0.49663842;0.78009146;0.2410479;0.6038027;1.2996641;1.3725753;9.371705;6.4884953;28.228449;40.0;19.291893748489898;75.11244;78.33886;91;0.2822544050076512;3;1350
0.941412;0.60734624;0.4923489;1.4221898;1.0235437;2.7948737;17.341022;11.398277;69.005;40.0;19.291893748489898;47.60987;94.468254;91;0.2822544050076512;3;1350
0.7150921;0.23514251;0.4225879;1.5489259;1.6843839;1.2858261;7.892476;16.956095;58.27565;40.0;19.291893748489898;84.65296;11.52735;91;0.2822544050076512;3;1350
0.8582093;0.32935202;0.25668687;1.7326344;1.5145509;0.28391442;10.571987;3.4621847;25.733917;40.0;19.291893748489898;10.981066;43.934772;91;0.2822544050076512;3;1350
0.55473137;0.9481996;0.14789675;0.57153875;1.6083646;1.5203512;1.4099939;17.308378;68.88108;40.0;19.291893748489898;58.5288;58.910053;91;0.2822544050076512;3;1350
0.38179097;0.282532;0.18715443;1.3323241;1.552643;0.7680722;5.259304;12.570736;37.657623;40.0;19.291893748489898;60.908165;99.142136;91;0.2822544050076512;3;1350
0.6436678;0.7080742;0.4133443;1.0626005;1.7199957;0.1309967;9.809447;10.303528;63.271763;40.0;19.291893748489898;25.35609;86.67291;91;0.2822544050076512;3;1350
0.2510538;0.8338605;0.28278258;1.1171718;1.4734657;2.7450032;8.580395;3.7348676;66.16754;40.0;19.291893748489898;5.9125113;42.00866;91;0.2822544050076512;3;1350
0.86210495;0.41235125;0.17814206;0.52719706;1.068268;2.05082;14.578443;11.4481735;67.45028;40.0;19.291893748489898;53.984695;96.82379;91;0.2822544050076512;3;1350
0.7053315;0.7800624;0.34995934;1.4460845;1.0577563;0.43975502;12.62572;7.7190003;68.67624;40.0;19.291893748489898;51.854027;33.79531;91;0.2822544050076512;3;1350
0.8064702;0.33591613;0.3557773;1.284056;1.0301847;1.2005241;17.725368;4.5903764;42.31884;40.0;19.291893748489898;65.707565;34.659126;91;0.2822544050076512;3;1350
0.48362076;0.4278002;0.23170054;1.822511;1.9643229;0.9081214;17.240643;17.719496;62.84343;40.0;19.291893748489898;22.079945;51.11961;91;0.2822544050076512;3;1350
0.97655845;0.44945762;0.1576408;1.2408563;1.9564835;2.4672434;5.583177;9.75088;90.76794;40.0;19.291893748489898;18.784693;78.17799;91;0.2822544050076512;3;1350
0.9144969;0.997148;0.32552487;1.4192859;1.3884324;2.1204247;1.3351358;2.5153646;7.743473;40.0;19.291893748489898;97.813675;20.024643;91;0.2822544050076512;3;1350
0.8227068;0.37165785;0.3255184;0.75503415;1.6715602;0.41858324;17.234945;6.740635;78.53591;40.0;19.291893748489898;12.255161;74.50419;91;0.2822544050076512;3;1350
0.35571095;0.30336598;0.2827812;0.45703596;1.0529519;0.11921825;7.2532964;4.4485927;13.748194;40.0;19.291893748489898;99.94145;1.2673141;91;0.2822544050076512;3;1350
0.5733768;0.9405531;0.4879517;1.8993062;1.706986;2.477572;7.5950847;18.845657;47.092922;40.0;19.291893748489898;72.2777;26.985493;91;0.2822544050076512;3;1350
0.23504302;0.32954454;0.22820477;1.2463386;1.4562099;2.8063257;4.009501;5.6181774;17.243662;40.0;19.291893748489898;63.302902;97.472404;91;0.2822544050076512;3;1350
0.32343158;0.90342396;0.3011214;1.0089817;1.4986308;2.8893657;14.167138;10.621537;78.45961;40.0;19.291893748489898;34.638565;65.99015;91;0.2822544050076512;3;1350
0.74643916;0.7203653;0.35415092;1.997237;1.1014746;0.44501945;6.3220696;15.1649275;4.679241;40.0;19.291893748489898;86.912506;46.793495;91;0.2822544050076512;3;1350
0.79580975;0.6614892;0.37621716;0.60324615;1.390786;1.2341478;4.358119;4.011707;70.412766;40.0;19.291893748489898;91.0961;73.444534;91;0.2822544050076512;3;1350
0.9740078;0.801071;0.43813685;1.4414722;1.1826332;0.4547317;10.5644245;9.312264;40.74951;40.0;19.291893748489898;72.466515;44.09037;91;0.2822544050076512;3;1350
0.46066028;0.78079915;0.18833822;0.5280754;1.0064855;2.8095958;15.257902;13.412347;27.24007;40.0;19.291893748489898;71.27897;11.562163;91;0.2822544050076512;3;1350
0.49636775;0.28842095;0.44493905;0.9362537;1.4129387;1.4114653;6.1223736;17.75712;96.08565;40.0;19.291893748489898;49.822308;50.259373;91;0.2822544050076512;3;1350
0.5756447;0.9995729;0.14050828;0.82053053;1.1042094;2.7386725;14.718741;13.42796;29.914116;40.0;19.291893748489898;8.705651;95.58479;91;0.2822544050076512;3;1350
0.35157707;0.9535118;0.12594979;1.5332061;1.185364;1.4168787;9.777527;2.521593;21.958643;40.0;19.291893748489898;99.90388;27.987577;91;0.2822544050076512;3;1350
0.3039372;0.9172736;0.4484356;0.98818547;1.3076936;0.36330938;8.671681;7.109668;43.71498;40.0;19.291893748489898;2.5399828;6.234615;91;0.2822544050076512;3;1350
0.58056396;0.69783133;0.2300378;0.75805205;1.4533255;1.1363097;7.8308964;7.6677117;30.922245;40.0;19.291893748489898;50.044342;74.393295;91;0.2822544050076512;3;1350
0.38152748;0.6182331;0.41855535;0.6546764;1.2408038;2.9171402;3.7660384;8.377195;73.05308;40.0;19.291893748489898;37.3463;45.986076;91;0.2822544050076512;3;1350
0.73585117;0.6290229;0.4096184;1.6924458;1.9526553;2.6418905;7.3200417;18.890753;3.9857616;40.0;19.291893748489898;77.837105;34.135784;91;0.2822544050076512;3;1350
0.54972154;0.21194956;0.37018797;0.49607992;1.9192963;1.5901178;17.70578;1.6783637;69.51377;40.0;19.291893748489898;73.842255;49.26637;91;0.2822544050076512;3;1350
0.8661426;0.5995756;0.18182181;0.97268504;1.2483795;1.0536146;2.9411716;6.7412987;42.788902;40.0;19.291893748489898;63.17692;93.069954;91;0.2822544050076512;3;1350
0.76021206;0.6990157;0.2698647;0.9045494;1.4487319;0.57566005;19.2077;10.356663;78.609634;40.0;19.291893748489898;8.399116;25.774677;91;0.2822544050076512;3;1350
0.44989333;0.72696495;0.42374408;0.9954318;1.6074042;0.49981987;3.042434;2.6415246;34.055813;40.0;19.291893748489898;24.448095;20.85148;91;0.2822544050076512;3;1350
0.86580783;0.46571156;0.13925827;1.3678992;1.1863835;0.5516006;7.878601;10.187222;2.7952893;40.0;19.291893748489898;10.321685;53.85724;91;0.2822544050076512;3;1350
0.8438115;0.5770259;0.30239162;1.7848005;1.6283199;1.6429335;12.519817;3.0354495;76.56449;40.0;19.291893748489898;97.91866;46.867527;91;0.2822544050076512;3;1350
0.5099827;0.7090485;0.16145654;0.39955708;1.4205351;2.128843;16.918987;16.917862;14.121302;40.0;19.291893748489898;13.650507;15.829964;91;0.2822544050076512;3;1350
0.43066248;0.5426444;0.14089188;1.4615715;1.0310645;0.9595752;3.7280736;6.1316032;48.29984;40.0;19.291893748489898;96.75208;58.485073;91;0.2822544050076512;3;1350
0.7459964;0.96970814;0.2765857;0.37152755;1.2569203;2.9542935;3.6809423;10.937213;83.46656;40.0;19.291893748489898;12.158505;57.874546;91;0.2822544050076512;3;1350
0.311802;0.7643537;0.22381267;0.11264905;1.1833017;1.4537266;12.939184;12.748039;92.57451;40.0;19.291893748489898;86.3608;60.937653;91;0.2822544050076512;3;1350
0.35992655;0.201019;0.42831612;0.1150582;1.8228012;1.8271911;6.5621862;6.808787;25.354849;40.0;19.291893748489898;57.888386;41.941994;91;0.2822544050076512;3;1350
0.20588982;0.21862358;0.2951855;1.8025268;1.4975224;1.6543419;13.24554;7.674979;83.978386;40.0;19.291893748489898;83.34084;29.714825;91;0.2822544050076512;3;1350
0.8295395;0.7522402;0.39642674;1.7080262;1.1800629;2.3359904;16.591082;10.699805;77.83472;40.0;19.291893748489898;63.769363;33.504517;91;0.2822544050076512;3;1350
0.73188066;0.5301161;0.36453265;0.7193868;1.5689433;2.8133185;2.4605398;16.303259;92.43303;40.0;19.291893748489898;77.114876;83.60136;91;0.2822544050076512;3;1350
0.7641323;0.8715768;0.48052162;1.3331786;1.4362242;2.55732;17.04539;9.601146;81.70011;40.0;19.291893748489898;73.35035;62.884583;91;0.2822544050076512;3;1350
0.82458323;0.3384123;0.2040086;0.3849499;1.4275243;1.5930374;1.7141218;10.327023;9.860022;40.0;19.291893748489898;26.75851;40.40434;91;0.2822544050076512;3;1350
0.5671326;0.21106154;0.41231868;1.5327673;1.2014238;2.8215215;18.077698;12.321434;94.49401;40.0;19.291893748489898;93.56978;61.71343;91;0.2822544050076512;3;1350
0.65499294;0.51046586;0.1750494;1.996947;1.6391433;1.314369;19.536745;9.079018;3.4458163;40.0;19.291893748489898;64.72096;35.61178;91;0.2822544050076512;3;1350
0.31183758;0.78885126;0.4449131;1.8948703;1.8202965;0.3140059;13.681649;14.795488;35.01205;40.0;19.291893748489898;21.006329;86.402145;91;0.2822544050076512;3;1350
0.29162407;0.9773822;0.44940528;1.3044714;1.4850539;0.48470753;19.700851;1.0932446;39.534283;40.0;19.291893748489898;31.29816;73.03557;91;0.2822544050076512;3;1350
0.7347224;0.9069231;0.42697197;0.9492712;1.1487772;2.8611436;16.617846;10.177375;49.04122;40.0;19.291893748489898;53.77205;10.993917;91;0.2822544050076512;3;1350
0.57687694;0.5872597;0.22840807;0.7961856;1.2616239;2.826149;1.8429445;18.537308;24.28769;40.0;19.291893748489898;88.30085;6.560831;91;0.2822544050076512;3;1350
0.6521889;0.8502538;0.15868737;0.6256178;1.3139327;2.7497823;1.072408;12.702171;13.255944;40.0;19.291893748489898;79.878555;4.3083234;91;0.2822544050076512;3;1350
0.8119991;0.25626436;0.43729907;0.26263204;1.8831453;2.2793047;1.3951713;10.241595;83.8677;40.0;19.291893748489898;30.902752;3.7258103;91;0.2822544050076512;3;1350
0.70777464;0.6578179;0.3358315;0.49815133;1.6238396;2.0699167;9.586232;15.668472;64.54014;40.0;19.291893748489898;69.16015;50.194088;91;0.2822544050076512;3;1350
0.6428635;0.9394387;0.279204;1.1614269;1.9266083;2.529097;12.84427;8.467014;48.01442;40.0;19.291893748489898;1.1640261;18.903341;91;0.2822544050076512;3;1350
0.64736575;0.51710814;0.26504567;0.61644846;1.3219453;1.391369;10.1479645;9.877666;77.68574;40.0;19.291893748489898;33.931465;67.778755;91;0.2822544050076512;3;1350
0.4431601;0.9680805;0.1405333;1.4784898;1.8729186;1.6872921;13.865477;4.7080345;91.600555;40.0;19.291893748489898;84.11993;48.79347;91;0.2822544050076512;3;1350
0.22465427;0.37654808;0.3587823;1.5587963;1.7916687;2.7051282;9.54245;3.3598788;23.16873;40.0;19.291893748489898;15.968919;10.254212;91;0.2822544050076512;3;1350
0.5493739;0.28450704;0.30832237;1.0056124;1.9488988;0.2646573;1.8087122;1.4849317;32.968132;40.0;19.291893748489898;35.98613;1.5773522;91;0.2822544050076512;3;1350
0.37166774;0.61980987;0.48451144;1.8205516;1.241778;1.7334372;5.2971673;14.898669;93.49789;40.0;19.291893748489898;1.1032884;4.63575;91;0.2822544050076512;3;1350
0.5268229;0.9257975;0.3700256;1.6490309;1.9471735;1.2054737;19.859861;9.895612;54.860294;40.0;19.291893748489898;3.29014;53.80034;91;0.2822544050076512;3;1350
0.88272244;0.44902337;0.48625255;0.24776009;1.6594443;1.7111416;7.571413;18.847712;28.842688;40.0;19.291893748489898;15.45588;59.073826;91;0.2822544050076512;3;1350
0.3871516;0.84012824;0.15593635;1.6247358;1.7345202;2.8760772;7.170549;4.359505;16.663982;40.0;19.291893748489898;11.084442;35.948425;91;0.2822544050076512;3;1350
0.24664219;0.33535782;0.37299767;1.6765889;1.1858847;2.3784518;3.903049;5.635685;98.88232;40.0;19.291893748489898;49.483204;8.811149;91;0.2822544050076512;3;1350
0.42510712;0.79645634;0.42571378;0.758545;1.2160532;1.4820107;19.755732;13.135793;53.967365;40.0;19.291893748489898;90.10043;93.534195;91;0.2822544050076512;3;1350
0.434875;0.64562154;0.3444591;1.0366805;1.9943218;2.0743587;5.378727;2.0373561;86.363495;40.0;19.291893748489898;9.379529;41.16565;91;0.2822544050076512;3;1350
0.7295332;0.3400136;0.34594077;0.23321624;1.7839857;1.7324419;13.289704;10.564852;63.96367;40.0;19.291893748489898;87.11385;43.501553;91;0.2822544050076512;3;1350
0.6456257;0.7744698;0.16230366;0.6052475;1.8890454;0.67182523;1.7989017;3.348049;44.92274;40.0;19.291893748489898;67.14763;38.76431;91;0.2822544050076512;3;1350
0.8271186;0.7710049;0.22848631;1.9077806;1.2621946;1.4225515;2.2629743;4.0665517;85.97151;40.0;19.291893748489898;17.720592;6.8872695;91;0.2822544050076512;3;1350
0.73145086;0.6123482;0.3530203;1.8727903;1.495062;0.42158866;14.618282;10.7298975;36.294315;40.0;19.291893748489898;29.683912;71.3343;91;0.2822544050076512;3;1350
0.52510947;0.3803741;0.28920346;1.397539;1.5295743;1.4233942;13.068195;11.8123455;77.078735;40.0;19.291893748489898;20.224165;66.81621;91;0.2822544050076512;3;1350
0.8512163;0.30583513;0.4452138;0.1347843;1.2663915;1.3742679;13.923085;5.0286603;45.888187;40.0;19.291893748489898;79.14055;17.281986;91;0.2822544050076512;3;1350
0.33357835;0.96580404;0.41091588;0.14546001;1.1445202;2.1251438;5.3884377;6.153534;89.8416;40.0;19.291893748489898;72.784935;27.58965;91;0.2822544050076512;3;1350
0.21816966;0.72465;0.3139753;1.2306026;1.1859423;0.8813402;19.71289;6.398044;50.818577;40.0;19.291893748489898;31.136526;55.14506;91;0.2822544050076512;3;1350
