YYYY	MM	DD	hh	mm	PET	R_R0
2011	1	1	0	0	0.08223902699999999	0
2011	1	2	0	0	0.105031081	0
2011	1	3	0	0	0.269983808	0
2011	1	4	0	0	0.068496379	0
2011	1	5	0	0	0.366773849	0
2011	1	6	0	0	0.385024512	0
2011	1	7	0	0	0.312318415	0
2011	1	8	0	0	0.558975402	0
2011	1	9	0	0	0.22319125999999997	0
2011	1	10	0	0	0.050520947	0
2011	1	11	0	0	0.28050042399999997	0
2011	1	12	0	0	0.213232473	0
2011	1	13	0	0	0.570205029	0
2011	1	14	0	0	0.345701918	0
2011	1	15	0	0	0.655753044	0
2011	1	16	0	0	0.295079294	0
2011	1	17	0	0	0.39469875	0
2011	1	18	0	0	0.214174848	0
2011	1	19	0	0	0.07578879499999999	0
2011	1	20	0	0	0.178794039	0
2011	1	21	0	0	0.40417927	0
2011	1	22	0	0	0.446540899	0
2011	1	23	0	0	0.487815224	0
2011	1	24	0	0	0.24414216900000002	0
2011	1	25	0	0	0.366749947	0
2011	1	26	0	0	0.403223425	0
2011	1	27	0	0	0.121321911	0
2011	1	28	0	0	0.353662927	0
2011	1	29	0	0	0.200483523	0
2011	1	30	0	0	0.058599364	0
2011	1	31	0	0	0.044282119	0
2011	2	1	0	0	0.053599855	0
2011	2	2	0	0	0.403180576	0
2011	2	3	0	0	0.390160253	0
2011	2	4	0	0	0.721968076	0
2011	2	5	0	0	1.119185269	0
2011	2	6	0	0	0.891629398	0
2011	2	7	0	0	1.029860273	0
2011	2	8	0	0	0.9187166019999999	0
2011	2	9	0	0	0.417256126	0
2011	2	10	0	0	0.77413221	0
2011	2	11	0	0	1.080151247	0
2011	2	12	0	0	1.054525398	0
2011	2	13	0	0	0.725817163	0
2011	2	14	0	0	0.950125762	0
2011	2	15	0	0	0.249978767	0
2011	2	16	0	0	0.097774042	0
2011	2	17	0	0	0.48807863	0
2011	2	18	0	0	0.272399483	0
2011	2	19	0	0	0.805722373	0
2011	2	20	0	0	0.045762371999999996	0
2011	2	21	0	0	0.110625975	0
2011	2	22	0	0	0.166706529	0
2011	2	23	0	0	0.880051522	0
2011	2	24	0	0	0.256443059	0
2011	2	25	0	0	0.154646658	0
2011	2	26	0	0	0.287558495	0
2011	2	27	0	0	0.324080231	0
2011	2	28	0	0	0.270055989	0
2011	3	1	0	0	0.999036348	0
2011	3	2	0	0	1.792808112	0
2011	3	3	0	0	1.146112029	0
2011	3	4	0	0	0.906532464	0
2011	3	5	0	0	0.413205211	0
2011	3	6	0	0	0.94757835	0
2011	3	7	0	0	1.740755154	0
2011	3	8	0	0	1.441912559	0
2011	3	9	0	0	1.7711609609999999	0
2011	3	10	0	0	1.543903852	0
2011	3	11	0	0	1.042068974	0
2011	3	12	0	0	1.187746814	0
2011	3	13	0	0	0.303933482	0
2011	3	14	0	0	1.959154841	0
2011	3	15	0	0	1.609253611	0
2011	3	16	0	0	0.7385336450000001	0
2011	3	17	0	0	0.246354976	0
2011	3	18	0	0	0.81731818	0
2011	3	19	0	0	0.261599956	0
2011	3	20	0	0	1.937269828	0
2011	3	21	0	0	2.3567799209999998	0
2011	3	22	0	0	2.014756001	0
2011	3	23	0	0	2.543911988	0
2011	3	24	0	0	2.245255845	0
2011	3	25	0	0	2.652002918	0
2011	3	26	0	0	2.128784361	0
2011	3	27	0	0	1.050144452	0
2011	3	28	0	0	0.921090049	0
2011	3	29	0	0	2.102195239	0
2011	3	30	0	0	1.273784191	0
2011	3	31	0	0	1.218862731	0
2011	4	1	0	0	1.871351783	0
2011	4	2	0	0	2.929292622	0
2011	4	3	0	0	3.094545938	0
2011	4	4	0	0	0.902199227	0
2011	4	5	0	0	2.438306357	0
2011	4	6	0	0	2.657287308	0
2011	4	7	0	0	3.557950177	0
2011	4	8	0	0	2.9174456429999998	0
2011	4	9	0	0	3.431463736	0
2011	4	10	0	0	3.577507528	0
2011	4	11	0	0	3.261960843	0
2011	4	12	0	0	1.012213595	0
2011	4	13	0	0	2.070400123	0
2011	4	14	0	0	2.122273299	0
2011	4	15	0	0	2.844914668	0
2011	4	16	0	0	2.75315166	0
2011	4	17	0	0	2.998817007	0
2011	4	18	0	0	3.159748334	0
2011	4	19	0	0	3.3599807580000003	0
2011	4	20	0	0	3.335287033	0
2011	4	21	0	0	3.309357751	0
2011	4	22	0	0	3.671259183	0
2011	4	23	0	0	2.965304221	0
2011	4	24	0	0	2.052229524	0
2011	4	25	0	0	4.142765833	0
2011	4	26	0	0	3.228742168	0
2011	4	27	0	0	0.959199573	0
2011	4	28	0	0	2.246462694	0
2011	4	29	0	0	1.715160422	0
2011	4	30	0	0	3.245033641	0
2011	5	1	0	0	2.9463400809999998	0
2011	5	2	0	0	3.291340792	0
2011	5	3	0	0	2.125836987	0
2011	5	4	0	0	3.205207534	0
2011	5	5	0	0	3.784543732	0
2011	5	6	0	0	3.844700171	0
2011	5	7	0	0	3.9431920639999998	0
2011	5	8	0	0	3.8351870900000002	0
2011	5	9	0	0	4.157918181	0
2011	5	10	0	0	3.6322104129999997	0
2011	5	11	0	0	3.744417498	0
2011	5	12	0	0	1.114623908	0
2011	5	13	0	0	3.764815876	0
2011	5	14	0	0	1.338202617	0
2011	5	15	0	0	1.526410527	0
2011	5	16	0	0	2.145986633	0
2011	5	17	0	0	2.561078153	0
2011	5	18	0	0	4.198346872	0
2011	5	19	0	0	4.37813215	0
2011	5	20	0	0	4.384016904	0
2011	5	21	0	0	4.25555504	0
2011	5	22	0	0	3.2642984420000003	0
2011	5	23	0	0	3.671150908	0
2011	5	24	0	0	5.145938101	0
2011	5	25	0	0	4.589827511	0
2011	5	26	0	0	4.420563971	0
2011	5	27	0	0	0.739159887	0
2011	5	28	0	0	3.378628734	0
2011	5	29	0	0	4.287496249	0
2011	5	30	0	0	4.771183423	0
2011	5	31	0	0	1.501177219	0
2011	6	1	0	0	0.619854562	0
2011	6	2	0	0	1.350572838	0
2011	6	3	0	0	2.107908045	0
2011	6	4	0	0	3.362283017	0
2011	6	5	0	0	3.733008863	0
2011	6	6	0	0	3.406832035	0
2011	6	7	0	0	3.088923238	0
2011	6	8	0	0	1.1310088249999999	0
2011	6	9	0	0	1.1291378650000001	0
2011	6	10	0	0	3.4117473609999998	0
2011	6	11	0	0	0.918709522	0
2011	6	12	0	0	4.14792786	0
2011	6	13	0	0	2.378992681	0
2011	6	14	0	0	2.550686055	0
2011	6	15	0	0	4.298567463	0
2011	6	16	0	0	3.792487655	0
2011	6	17	0	0	3.5909565490000004	0
2011	6	18	0	0	1.183455385	0
2011	6	19	0	0	3.055759321	0
2011	6	20	0	0	3.439469074	0
2011	6	21	0	0	4.249032757	0
2011	6	22	0	0	2.053344944	0
2011	6	23	0	0	1.605388942	0
2011	6	24	0	0	2.95719319	0
2011	6	25	0	0	3.158970987	0
2011	6	26	0	0	4.948418192	0
2011	6	27	0	0	4.868540134	0
2011	6	28	0	0	4.844063267	0
2011	6	29	0	0	2.159303905	0
2011	6	30	0	0	2.135274888	0
2011	7	1	0	0	3.668095766	0
2011	7	2	0	0	4.102673799	0
2011	7	3	0	0	4.455163166	0
