YYYY	MM	DD	hh	mm	PET	R_R0
2010	1	1	0	0	0.032027416999999996	0
2010	1	2	0	0	0.527133245	0
2010	1	3	0	0	0.361301961	0
2010	1	4	0	0	0.24544598099999998	0
2010	1	5	0	0	0.051894784	0
2010	1	6	0	0	0.049590286	0
2010	1	7	0	0	0.23458702900000003	0
2010	1	8	0	0	0.09661551099999999	0
2010	1	9	0	0	0.028479809	0
2010	1	10	0	0	0.10684595899999999	0
2010	1	11	0	0	0.16036284199999998	0
2010	1	12	0	0	0.18033032599999999	0
2010	1	13	0	0	0.07889515799999999	0
2010	1	14	0	0	0.095699267	0
2010	1	15	0	0	0.138919616	0
2010	1	16	0	0	0.16973893299999998	0
2010	1	17	0	0	0.37978457599999993	0
2010	1	18	0	0	0.286117303	0
2010	1	19	0	0	0.046413395	0
2010	1	20	0	0	0.05101115899999999	0
2010	1	21	0	0	0.40771951199999995	0
2010	1	22	0	0	0.16718016800000002	0
2010	1	23	0	0	0.231465206	0
2010	1	24	0	0	0.142476016	0
2010	1	25	0	0	0.126878245	0
2010	1	26	0	0	0.24527408900000003	0
2010	1	27	0	0	0.22112117599999995	0
2010	1	28	0	0	0.168386929	0
2010	1	29	0	0	0.3444015349999999	0
2010	1	30	0	0	0.5844678690000001	0
2010	1	31	0	0	0.12971701	0
2010	2	1	0	0	0.387213357	0
2010	2	2	0	0	0.860246755	0
2010	2	3	0	0	0.6597776730000001	0
2010	2	4	0	0	0.573856171	0
2010	2	5	0	0	0.05112268700000001	0
2010	2	6	0	0	0.14766436900000002	0
2010	2	7	0	0	0.100564014	0
2010	2	8	0	0	0.210376324	0
2010	2	9	0	0	0.459936451	0
2010	2	10	0	0	0.22398366900000005	0
2010	2	11	0	0	0.218087263	0
2010	2	12	0	0	0.255920257	0
2010	2	13	0	0	0.36172845300000006	0
2010	2	14	0	0	0.23603004700000002	0
2010	2	15	0	0	0.5034532060000001	0
2010	2	16	0	0	0.66086995	0
2010	2	17	0	0	0.392004409	0
2010	2	18	0	0	0.440263608	0
2010	2	19	0	0	0.20214933999999996	0
2010	2	20	0	0	1.1577019039999998	0
2010	2	21	0	0	1.154242448	0
2010	2	22	0	0	0.9394748099999999	0
2010	2	23	0	0	0.48341052399999995	0
2010	2	24	0	0	0.895793727	0
2010	2	25	0	0	1.0989570359999998	0
2010	2	26	0	0	1.243215899	0
2010	2	27	0	0	1.501358224	0
2010	2	28	0	0	1.4970480130000001	0
2010	3	1	0	0	1.7363107199999999	0
2010	3	2	0	0	0.358387342	0
2010	3	3	0	0	1.339178329	0
2010	3	4	0	0	0.8770108059999999	0
2010	3	5	0	0	1.1781381579999999	0
2010	3	6	0	0	0.7066579570000001	0
2010	3	7	0	0	0.9392783730000002	0
2010	3	8	0	0	1.5535980360000003	0
2010	3	9	0	0	0.989071457	0
2010	3	10	0	0	0.809799644	0
2010	3	11	0	0	0.35297801100000004	0
2010	3	12	0	0	0.906838906	0
2010	3	13	0	0	0.9660480020000001	0
2010	3	14	0	0	0.5347029260000001	0
2010	3	15	0	0	0.9446793499999999	0
2010	3	16	0	0	0.661805818	0
2010	3	17	0	0	1.7463569470000004	0
2010	3	18	0	0	1.8436584460000003	0
2010	3	19	0	0	2.303862943	0
2010	3	20	0	0	1.110096093	0
2010	3	21	0	0	0.575691019	0
2010	3	22	0	0	1.6883453980000003	0
2010	3	23	0	0	2.226533395	0
2010	3	24	0	0	2.337338707	0
2010	3	25	0	0	2.5243882209999997	0
2010	3	26	0	0	0.8909973680000003	0
2010	3	27	0	0	1.543673645	0
2010	3	28	0	0	0.9653971349999999	0
2010	3	29	0	0	1.6162720410000002	0
2010	3	30	0	0	1.623362393	0
2010	3	31	0	0	1.661431124	0
2010	4	1	0	0	0.6436998930000001	0
2010	4	2	0	0	2.211146936	0
2010	4	3	0	0	2.008792925	0
2010	4	4	0	0	1.255147334	0
2010	4	5	0	0	1.5595600789999997	0
2010	4	6	0	0	2.7428522719999995	0
2010	4	7	0	0	3.1085872379999997	0
2010	4	8	0	0	1.8933623579999999	0
2010	4	9	0	0	2.3590483960000004	0
