YYYY	MM	DD	hh	mm	TA	TA_min	TA_max
2016	1	1	0	0	3.647222222222222	-0.3	5.8
2016	1	2	0	0	4.227083333333334	3.1	5.9
2016	1	3	0	0	3.903472222222222	0.0	10.9
2016	1	4	0	0	2.5444444444444443	-0.2	6.5
2016	1	5	0	0	4.266666666666667	0.6	12.4
2016	1	6	0	0	3.616666666666667	0.3	8.7
2016	1	7	0	0	2.4777777777777774	-0.5	5.7
2016	1	8	0	0	2.9402777777777778	-0.9	7.0
2016	1	9	0	0	4.42986111111111	-0.6	7.7
2016	1	10	0	0	4.127777777777777	0.7	5.5
2016	1	11	0	0	4.521527777777777	3.0	7.8
2016	1	12	0	0	3.440277777777778	1.1	6.2
2016	1	13	0	0	0.7874999999999998	-5.1	2.8
2016	1	14	0	0	-2.0027777777777778	-6.8	1.9
2016	1	15	0	0	-0.3743055555555555	-2.2	1.1
2016	1	16	0	0	-0.5861111111111111	-3.5	3.0
2016	1	17	0	0	-4.675694444444445	-14.3	3.2
2016	1	18	0	0	-8.904861111111112	-16.0	2.4
2016	1	19	0	0	-2.402083333333333	-6.6	0.6
2016	1	20	0	0	-0.5055555555555555	-5.3	5.5
2016	1	21	0	0	-3.4069444444444446	-9.4	4.6
2016	1	22	0	0	-1.426388888888889	-6.9	6.2
2016	1	23	0	0	1.542361111111111	-5.1	12.9
2016	1	24	0	0	1.4826388888888886	-4.0	6.6
2016	1	25	0	0	2.3736111111111104	-4.2	16.0
2016	1	26	0	0	2.285416666666667	-3.4	16.7
2016	1	27	0	0	3.5631944444444446	-3.5	15.1
2016	1	28	0	0	6.95625	0.2	13.0
2016	1	29	0	0	6.861111111111112	1.7	14.4
2016	1	30	0	0	5.006944444444444	-3.3	14.8
2016	1	31	0	0	6.166666666666665	2.5	9.9
2016	2	1	0	0	10.347222222222223	4.8	15.8
2016	2	2	0	0	8.579861111111112	4.5	15.2
2016	2	3	0	0	3.6604166666666664	-2.0	9.0
2016	2	4	0	0	2.0076388888888896	-0.2	4.8
2016	2	5	0	0	4.495833333333334	-3.3	16.4
2016	2	6	0	0	2.2451388888888886	-3.2	17.0
2016	2	7	0	0	2.127083333333333	-2.7	8.7
2016	2	8	0	0	6.461111111111111	-1.7	14.6
2016	2	9	0	0	5.857638888888888	0.5	8.7
2016	2	10	0	0	1.3993055555555556	-0.2	4.3
2016	2	11	0	0	2.3173611111111114	-1.7	11.6
2016	2	12	0	0	2.9979166666666663	-0.8	10.3
2016	2	13	0	0	4.908333333333333	1.2	14.0
2016	2	14	0	0	4.122916666666666	1.8	7.9
2016	2	15	0	0	1.5819444444444446	-1.4	4.2
2016	2	16	0	0	1.7256944444444444	0.4	2.8
2016	2	17	0	0	1.9055555555555557	0.0	4.5
2016	2	18	0	0	2.775694444444444	-2.8	15.2
2016	2	19	0	0	1.8166666666666667	-3.7	8.4
2016	2	20	0	0	1.7118055555555556	-4.8	6.4
2016	2	21	0	0	9.730555555555556	-0.4	18.9
2016	2	22	0	0	8.725694444444445	-1.3	19.6
2016	2	23	0	0	4.951388888888888	-3.5	9.0
2016	2	24	0	0	1.2381944444444446	-4.4	9.3
2016	2	25	0	0	0.6749999999999999	-0.2	3.0
2016	2	26	0	0	1.720833333333333	-5.0	11.2
2016	2	27	0	0	0.5791666666666668	-5.8	11.5
2016	2	28	0	0	3.6368055555555556	-0.4	10.7
2016	2	29	0	0	1.5583333333333333	0.0	3.1
2016	3	1	0	0	1.9520833333333332	-0.5	9.3
2016	3	2	0	0	3.2743055555555554	-0.9	10.6
2016	3	3	0	0	0.6368055555555556	-5.2	4.7
2016	3	4	0	0	1.3256944444444445	-5.4	9.1
2016	3	5	0	0	1.2131944444444442	-1.9	3.5
2016	3	6	0	0	1.8166666666666667	-2.4	9.9
2016	3	7	0	0	2.399305555555555	-4.9	13.3
2016	3	8	0	0	0.5743055555555555	-3.0	5.8
2016	3	9	0	0	1.9423611111111112	-5.4	12.8
2016	3	10	0	0	2.44375	-7.2	15.2
2016	3	11	0	0	5.231944444444444	-2.6	12.7
2016	3	12	0	0	4.728472222222221	3.2	7.4
2016	3	13	0	0	5.134722222222222	3.3	10.3
2016	3	14	0	0	3.917361111111111	-4.6	6.7
2016	3	15	0	0	1.6166666666666665	-6.3	15.8
2016	3	16	0	0	3.4847222222222225	-2.1	11.8
2016	3	17	0	0	3.8333333333333335	-5.6	19.0
2016	3	18	0	0	5.674999999999998	-6.1	21.6
2016	3	19	0	0	7.355555555555555	-5.9	22.8
2016	3	20	0	0	5.793749999999999	-3.4	18.1
2016	3	21	0	0	3.9034722222222205	-3.7	15.5
2016	3	22	0	0	5.342361111111111	-5.4	18.1
2016	3	23	0	0	3.7375000000000003	-5.6	16.4
2016	3	24	0	0	6.431250000000002	-1.3	19.7
2016	3	25	0	0	5.243055555555556	1.8	9.6
2016	3	26	0	0	10.233333333333333	-0.7	22.8
2016	3	27	0	0	4.7652777777777775	-2.0	14.1
2016	3	28	0	0	8.503472222222223	-2.9	20.1
2016	3	29	0	0	10.752777777777778	6.1	19.4
2016	3	30	0	0	12.481944444444444	5.6	25.6
2016	3	31	0	0	12.99722222222222	0.3	28.7
2016	4	1	0	0	11.640972222222219	3.5	23.1
2016	4	2	0	0	10.488888888888889	2.6	22.0
2016	4	3	0	0	14.819444444444443	6.3	29.6
2016	4	4	0	0	14.102083333333333	2.8	26.0
2016	4	5	0	0	12.796527777777776	2.9	24.8
2016	4	6	0	0	11.174305555555556	1.9	22.9
2016	4	7	0	0	6.60486111111111	0.2	16.1
2016	4	8	0	0	6.00972222222222	4.2	11.8
2016	4	9	0	0	6.401388888888889	3.2	9.5
2016	4	10	0	0	11.861805555555557	-0.4	24.2
2016	4	11	0	0	11.257638888888891	-2.4	28.1
2016	4	12	0	0	14.147916666666665	2.0	27.7
2016	4	13	0	0	9.531250000000002	5.9	20.4
2016	4	14	0	0	10.309722222222222	2.1	24.3
2016	4	15	0	0	10.16388888888889	5.5	21.8
2016	4	16	0	0	10.884722222222221	3.8	25.0
2016	4	17	0	0	9.266666666666667	4.6	18.4
2016	4	18	0	0	4.636111111111112	3.3	6.3
2016	4	19	0	0	9.831249999999999	-2.1	26.8
2016	4	20	0	0	10.811805555555557	-3.8	23.7
2016	4	21	0	0	13.043055555555556	-1.0	28.6
2016	4	22	0	0	15.044444444444444	3.2	27.7
2016	4	23	0	0	9.111111111111112	3.2	15.0
2016	4	24	0	0	5.354166666666667	1.1	14.0
2016	4	25	0	0	5.117361111111111	0.1	12.6
2016	4	26	0	0	5.198611111111112	1.6	10.4
2016	4	27	0	0	3.81875	-5.3	15.1
2016	4	28	0	0	7.626388888888889	-7.0	20.8
2016	4	29	0	0	9.784027777777778	-4.6	23.2
2016	4	30	0	0	10.690277777777775	-2.3	26.1
2016	5	1	0	0	5.927083333333332	4.7	8.6
2016	5	2	0	0	11.012499999999998	2.8	24.5
2016	5	3	0	0	9.978472222222221	0.1	21.1
2016	5	4	0	0	10.496527777777777	-1.1	24.1
2016	5	5	0	0	11.781944444444447	-3.0	26.2
2016	5	6	0	0	15.052777777777779	-1.5	30.8
