YYYY	MM	DD	hh	mm	TA	TA_min	TA_max
2011	1	1	0	0	0.75	-0.6	2.9
2011	1	2	0	0	-1.3604166666666666	-7.5	1.7
2011	1	3	0	0	-6.197222222222222	-11.1	2.2
2011	1	4	0	0	-4.4013888888888895	-9.2	-1.6
2011	1	5	0	0	-2.1277777777777778	-6.7	6.5
2011	1	6	0	0	3.4374999999999996	-5.7	7.3
2011	1	7	0	0	6.29375	3.0	14.4
2011	1	8	0	0	6.809722222222223	2.0	16.5
2011	1	9	0	0	4.620833333333334	-0.9	9.8
2011	1	10	0	0	3.079861111111111	2.1	4.6
2011	1	11	0	0	3.726388888888889	2.1	7.9
2011	1	12	0	0	4.635416666666667	2.7	6.4
2011	1	13	0	0	8.54861111111111	5.4	11.1
2011	1	14	0	0	7.00972222222222	-0.7	11.2
2011	1	15	0	0	4.629861111111111	-2.2	14.7
2011	1	16	0	0	-0.3902777777777778	-5.8	11.0
2011	1	17	0	0	-0.4208333333333334	-6.4	10.9
2011	1	18	0	0	1.3597222222222223	-4.5	8.3
2011	1	19	0	0	-0.3145833333333333	-7.1	3.7
2011	1	20	0	0	-1.9625000000000004	-6.4	0.9
2011	1	21	0	0	-3.1430555555555557	-11.3	0.2
2011	1	22	0	0	-3.587499999999999	-6.5	-0.9
2011	1	23	0	0	-6.407638888888889	-13.8	-0.1
2011	1	24	0	0	-4.110416666666665	-13.9	3.9
2011	1	25	0	0	-0.024305555555555608	-3.0	3.6
2011	1	26	0	0	0.16180555555555534	-6.0	4.8
2011	1	27	0	0	0.5680555555555554	-1.1	2.9
2011	1	28	0	0	-0.3333333333333333	-2.1	2.1
2011	1	29	0	0	-1.082638888888889	-2.7	4.5
2011	1	30	0	0	-3.7513888888888887	-4.6	-2.7
2011	1	31	0	0	-3.5895833333333336	-4.6	-1.5
2011	2	1	0	0	-3.508333333333334	-4.2	-2.2
2011	2	2	0	0	-3.765972222222222	-10.7	4.0
2011	2	3	0	0	-1.8881944444444452	-10.9	3.7
2011	2	4	0	0	2.8416666666666663	-3.0	10.6
2011	2	5	0	0	3.877777777777778	-4.8	13.3
2011	2	6	0	0	0.5777777777777778	-7.0	16.9
2011	2	7	0	0	0.47847222222222224	-8.3	17.3
2011	2	8	0	0	0.8229166666666664	-7.2	17.8
2011	2	9	0	0	-1.6597222222222223	-7.6	11.1
2011	2	10	0	0	2.254861111111111	-7.6	16.5
2011	2	11	0	0	4.65625	-3.8	15.9
2011	2	12	0	0	2.9805555555555547	-6.1	17.0
2011	2	13	0	0	3.275694444444445	-3.7	15.5
2011	2	14	0	0	2.8986111111111117	-4.0	17.2
2011	2	15	0	0	2.5874999999999995	-3.5	9.7
2011	2	16	0	0	3.6243055555555537	1.8	5.9
2011	2	17	0	0	4.396527777777778	1.3	12.0
2011	2	18	0	0	3.8027777777777776	2.1	7.1
2011	2	19	0	0	4.439583333333333	-1.7	14.4
2011	2	20	0	0	1.3569444444444443	0.0	3.4
2011	2	21	0	0	0.5395833333333334	0.0	2.5
2011	2	22	0	0	-0.6319444444444445	-5.9	2.5
2011	2	23	0	0	-2.5652777777777778	-10.6	8.4
2011	2	24	0	0	0.14583333333333348	-5.8	4.9
2011	2	25	0	0	3.579861111111111	0.3	7.4
2011	2	26	0	0	3.3562499999999993	-0.6	8.4
2011	2	27	0	0	3.6673611111111115	0.2	7.7
2011	2	28	0	0	2.8562499999999997	-0.3	5.5
2011	3	1	0	0	4.177777777777777	0.7	11.8
2011	3	2	0	0	2.754861111111111	-1.1	10.1
2011	3	3	0	0	0.20069444444444431	-6.5	9.7
2011	3	4	0	0	0.24097222222222262	-7.8	11.3
2011	3	5	0	0	-1.7041666666666664	-7.8	10.0
2011	3	6	0	0	0.3270833333333331	-7.8	10.7
2011	3	7	0	0	1.2430555555555556	-6.2	12.9
2011	3	8	0	0	1.8777777777777789	-8.8	17.7
2011	3	9	0	0	4.2972222222222225	-6.4	18.1
2011	3	10	0	0	5.461111111111111	-2.1	19.0
2011	3	11	0	0	5.451388888888889	-4.0	17.7
2011	3	12	0	0	4.399305555555556	-6.4	15.6
2011	3	13	0	0	6.522222222222222	3.0	12.1
2011	3	14	0	0	9.517361111111112	-1.2	23.9
2011	3	15	0	0	6.846527777777776	-3.9	21.9
2011	3	16	0	0	7.8180555555555555	0.4	13.4
2011	3	17	0	0	7.361805555555556	6.3	8.6
2011	3	18	0	0	6.99027777777778	4.0	12.8
2011	3	19	0	0	3.4083333333333345	-2.3	5.4
2011	3	20	0	0	3.1326388888888883	-5.3	14.2
2011	3	21	0	0	4.477083333333334	-6.8	15.5
