YYYY	MM	DD	hh	mm	TA	TA_min	TA_max
2016	6	1	0	0	16.679166666666667	11.7	31.5
2016	6	2	0	0	16.88958333333333	12.3	28.3
2016	6	3	0	0	16.459722222222222	12.4	26.9
2016	6	4	0	0	15.96111111111111	11.2	28.5
2016	6	5	0	0	17.341666666666672	12.3	32.3
2016	6	6	0	0	20.134722222222226	8.0	33.4
2016	6	7	0	0	20.009027777777778	9.0	35.4
2016	6	8	0	0	14.489583333333329	10.5	16.9
2016	6	9	0	0	17.56319444444444	6.8	32.8
2016	6	10	0	0	19.82569444444444	5.2	34.1
2016	6	11	0	0	16.924305555555556	12.9	28.1
2016	6	12	0	0	15.131250000000003	11.2	21.9
2016	6	13	0	0	14.596527777777778	11.9	26.3
2016	6	14	0	0	15.125694444444443	10.1	22.8
2016	6	15	0	0	15.359027777777778	8.9	32.4
2016	6	16	0	0	13.28125	9.7	18.3
2016	6	17	0	0	16.025694444444444	7.2	29.5
2016	6	18	0	0	15.76180555555556	6.8	30.6
2016	6	19	0	0	14.568055555555555	8.2	27.0
2016	6	20	0	0	19.493055555555554	8.6	32.6
2016	6	21	0	0	18.019444444444442	12.6	26.2
2016	6	22	0	0	25.777083333333334	14.0	37.7
2016	6	23	0	0	26.906944444444445	12.1	41.1
2016	6	24	0	0	26.434027777777782	14.4	40.2
2016	6	25	0	0	18.972916666666666	14.1	30.3
2016	6	26	0	0	17.953472222222228	13.2	30.5
2016	6	27	0	0	19.949305555555558	9.9	31.0
2016	6	28	0	0	22.099305555555556	9.7	34.4
2016	6	29	0	0	22.264583333333334	12.1	34.5
2016	6	30	0	0	20.58263888888889	13.9	32.4
