YYYY	MM	DD	hh	mm	PREC
2016	6	1	0	0	0.0
2016	6	1	0	10	0.0
2016	6	1	0	20	0.0
2016	6	1	0	30	0.0
2016	6	1	0	40	0.0
2016	6	1	0	50	0.0
2016	6	1	1	0	0.0
2016	6	1	1	10	0.0
2016	6	1	1	20	0.0
2016	6	1	1	30	0.0
2016	6	1	1	40	0.0
2016	6	1	1	50	0.0
2016	6	1	2	0	0.0
2016	6	1	2	10	0.04906762200016601
2016	6	1	2	20	0.12987918599992554
2016	6	1	2	30	0.030041443999834883
2016	6	1	2	40	0.0
2016	6	1	2	50	0.0
2016	6	1	3	0	0.0
2016	6	1	3	10	0.0
2016	6	1	3	20	0.22031432299991138
2016	6	1	3	30	0.07489392000024964
2016	6	1	3	40	0.05517599999984668
2016	6	1	3	50	0.024894370999845705
2016	6	1	4	0	0.020019999999931315
2016	6	1	4	10	0.030280629000117187
2016	6	1	4	20	0.03491581499974927
2016	6	1	4	30	0.0
2016	6	1	4	40	0.05477894300020125
2016	6	1	4	50	0.06496007400028248
2016	6	1	5	0	0.0801816529997268
2016	6	1	5	10	0.0
2016	6	1	5	20	0.0
2016	6	1	5	30	0.0
2016	6	1	5	40	0.0
2016	6	1	5	50	0.0
2016	6	1	6	0	0.0
2016	6	1	6	10	0.0
2016	6	1	6	20	0.0
2016	6	1	6	30	0.0
2016	6	1	6	40	0.0
2016	6	1	6	50	0.0
2016	6	1	7	0	0.0
2016	6	1	7	10	0.0
2016	6	1	7	20	0.0
2016	6	1	7	30	0.0
2016	6	1	7	40	0.0
2016	6	1	7	50	0.0
2016	6	1	8	0	0.0
2016	6	1	8	10	0.0400428150001062
2016	6	1	8	20	0.08497244399995907
2016	6	1	8	30	0.0
2016	6	1	8	40	0.008462395333481254
2016	6	1	8	50	0.0
2016	6	1	9	0	0.0
2016	6	1	9	10	0.0
2016	6	1	9	20	0.0
2016	6	1	9	30	0.0
2016	6	1	9	40	0.0
2016	6	1	9	50	0.0
2016	6	1	10	0	0.029788815000301838
2016	6	1	10	10	0.0
2016	6	1	10	20	0.0
2016	6	1	10	30	0.054660156999943865
2016	6	1	10	40	0.0
2016	6	1	10	50	0.0
2016	6	1	11	0	0.0
2016	6	1	11	10	0.0
2016	6	1	11	20	0.0
2016	6	1	11	30	0.0460008055997605
2016	6	1	11	40	0.013193430800129136
2016	6	1	11	50	0.020227882400376984
2016	6	1	12	0	0.0
2016	6	1	12	10	0.0
2016	6	1	12	20	0.0
2016	6	1	12	30	0.0
2016	6	1	12	40	0.0
2016	6	1	12	50	0.0
2016	6	1	13	0	0.0
2016	6	1	13	10	0.0
2016	6	1	13	20	0.0
2016	6	1	13	30	0.0
2016	6	1	13	40	0.0
2016	6	1	13	50	0.09342339533304767
2016	6	1	14	0	0.08984300000020085
2016	6	1	14	10	0.0
