YYYY	MM	DD	hh	mm	PET	R_R0
2016	6	1	0	0	2.156091047	0
2016	6	2	0	0	2.7461766130000003	0
2016	6	3	0	0	1.8680539530000002	0
2016	6	4	0	0	1.6052338759999998	0
2016	6	5	0	0	1.976175627	0
2016	6	6	0	0	3.6397558969999997	0
2016	6	7	0	0	3.2901621769999996	0
2016	6	8	0	0	0.24728114699999998	0
2016	6	9	0	0	2.469062	0
2016	6	10	0	0	4.300910695999999	0
2016	6	11	0	0	2.212572673	0
2016	6	12	0	0	1.549462096	0
2016	6	13	0	0	1.246140334	0
2016	6	14	0	0	1.7603598780000003	0
2016	6	15	0	0	2.017265481	0
2016	6	16	0	0	0.660491119	0
2016	6	17	0	0	3.106140374	0
2016	6	18	0	0	2.250798508	0
2016	6	19	0	0	1.4955544079999998	0
2016	6	20	0	0	3.8438045369999996	0
2016	6	21	0	0	1.6961955329999998	0
2016	6	22	0	0	4.730960445999999	0
2016	6	23	0	0	4.83742999	0
2016	6	24	0	0	4.782671087	0
2016	6	25	0	0	1.4966955219999998	0
2016	6	26	0	0	1.854528412	0
2016	6	27	0	0	4.09117715	0
2016	6	28	0	0	4.471484982000001	0
2016	6	29	0	0	3.5154308370000003	0
2016	6	30	0	0	2.445109225	0
