YYYY	MM	DD	hh	mm	PET	R_R0
1997	1	1	0	0	0.08294278151084541	0
1997	1	2	0	0	0.07478567336686978	0
1997	1	3	0	0	0.30169223322789973	0
1997	1	4	0	0	0.20314405118371234	0
1997	1	5	0	0	0.11339787095622492	0
1997	1	6	0	0	0.15973814036020423	0
1997	1	7	0	0	0.1162067363051732	0
1997	1	8	0	0	0.21203624328400883	0
1997	1	9	0	0	0.2627297999301665	0
1997	1	10	0	0	0.2047598420528189	0
1997	1	11	0	0	0.27104031186734584	0
1997	1	12	0	0	0.3125518224412063	0
1997	1	13	0	0	0.36805082256121807	0
1997	1	14	0	0	0.7039074004349253	0
1997	1	15	0	0	0.7938552946692393	0
1997	1	16	0	0	0.8075019998453696	0
1997	1	17	0	0	0.8322582061713888	0
1997	1	18	0	0	0.7526313214941046	0
1997	1	19	0	0	0.31598761769217865	0
1997	1	20	0	0	0.3098576631618572	0
1997	1	21	0	0	0.19913064261526192	0
1997	1	22	0	0	0.41303682167379807	0
1997	1	23	0	0	0.47458683896415454	0
1997	1	24	0	0	0.538684323735916	0
1997	1	25	0	0	0.7276071407890333	0
1997	1	26	0	0	0.1658272553219594	0
1997	1	27	0	0	0.2241445581924138	0
1997	1	28	0	0	0.1707446364135251	0
1997	1	29	0	0	0.15410452510066172	0
1997	1	30	0	0	0.2778659432598135	0
1997	1	31	0	0	0.3364203855188225	0
1997	2	1	0	0	0.2632393714384468	0
1997	2	2	0	0	0.856173856546059	0
1997	2	3	0	0	0.9873084278324546	0
1997	2	4	0	0	1.0339340671898465	0
1997	2	5	0	0	0.3487963463252137	0
1997	2	6	0	0	1.1809713420167425	0
1997	2	7	0	0	1.475609415342361	0
1997	2	8	0	0	1.283759089377775	0
1997	2	9	0	0	1.48048633130428	0
1997	2	10	0	0	1.520277079716314	0
1997	2	11	0	0	0.27427571517663535	0
1997	2	12	0	0	0.9067263663097427	0
1997	2	13	0	0	0.38694179660535505	0
1997	2	14	0	0	0.36207039371831656	0
1997	2	15	0	0	0.1636379218179994	0
1997	2	16	0	0	0.6407148392742937	0
1997	2	17	0	0	1.1003500342986638	0
1997	2	18	0	0	0.5561743455781882	0
1997	2	19	0	0	1.2213962779421574	0
1997	2	20	0	0	0.7912904102632097	0
1997	2	21	0	0	1.7396404321927397	0
1997	2	22	0	0	1.7863099581361082	0
1997	2	23	0	0	1.576413103715872	0
1997	2	24	0	0	1.1744265543904802	0
1997	2	25	0	0	0.42945714665122514	0
1997	2	26	0	0	0.19422255639418878	0
1997	2	27	0	0	0.5024293586997584	0
1997	2	28	0	0	1.7803329736522455	0
1997	3	1	0	0	1.7114705737701492	0
1997	3	2	0	0	2.292995827890087	0
1997	3	3	0	0	1.5501624836620627	0
1997	3	4	0	0	1.728624421547683	0
1997	3	5	0	0	0.9737047418359542	0
1997	3	6	0	0	0.8588046305038112	0
1997	3	7	0	0	0.5632796261413795	0
1997	3	8	0	0	1.8263459226141427	0
1997	3	9	0	0	1.433532307616959	0
1997	3	10	0	0	2.4195104948863344	0
1997	3	11	0	0	2.4126540967482213	0
1997	3	12	0	0	2.315611150452991	0
1997	3	13	0	0	1.821481387149349	0
1997	3	14	0	0	2.015746445641264	0
1997	3	15	0	0	0.8587279685306299	0
1997	3	16	0	0	1.3074284212942595	0
1997	3	17	0	0	1.6493535517923854	0
1997	3	18	0	0	2.513166861513017	0
1997	3	19	0	0	0.8318711185688644	0
1997	3	20	0	0	0.5020112156080253	0
1997	3	21	0	0	0.8665032419433837	0
1997	3	22	0	0	1.6763906376498634	0
1997	3	23	0	0	1.3181198551372386	0
1997	3	24	0	0	1.0376555450814222	0
1997	3	25	0	0	0.8398106211279304	0
1997	3	26	0	0	2.392618637535963	0
1997	3	27	0	0	1.8433814072114356	0
1997	3	28	0	0	0.4610729161089103	0
1997	3	29	0	0	1.0583423517180637	0
1997	3	30	0	0	1.5320534284268956	0
1997	3	31	0	0	2.754466408236758	0
1997	4	1	0	0	3.2857485333724576	0
1997	4	2	0	0	3.347801194648656	0
1997	4	3	0	0	3.031537104067843	0
1997	4	4	0	0	0.5517060447666593	0
1997	4	5	0	0	0.7879088567163013	0
1997	4	6	0	0	0.983182937814061	0
1997	4	7	0	0	3.078595651064025	0
1997	4	8	0	0	3.1568101013552443	0
1997	4	9	0	0	3.5241666849188196	0
1997	4	10	0	0	2.8125455026054578	0
1997	4	11	0	0	3.2738743780113198	0
1997	4	12	0	0	2.276837976147192	0
1997	4	13	0	0	3.202929377845143	0
1997	4	14	0	0	3.4990846605618415	0
1997	4	15	0	0	1.334230460384994	0
1997	4	16	0	0	1.8659870124780675	0
1997	4	17	0	0	2.992211807160052	0
1997	4	18	0	0	3.5337847192568344	0
1997	4	19	0	0	3.47129600319406	0
1997	4	20	0	0	0.754886581322403	0
1997	4	21	0	0	1.9929452702193542	0
1997	4	22	0	0	2.5446172824762825	0
1997	4	23	0	0	3.4296030566481717	0
1997	4	24	0	0	3.940894329224986	0
1997	4	25	0	0	3.8408354163919958	0
1997	4	26	0	0	1.1319439115828278	0
1997	4	27	0	0	0.8967008024660492	0
1997	4	28	0	0	2.5944564328246926	0
1997	4	29	0	0	1.1689780826911087	0
1997	4	30	0	0	0.7429682555694164	0
1997	5	1	0	0	2.6256214433675207	0
1997	5	2	0	0	4.409911915766916	0
1997	5	3	0	0	4.810567541509204	0
1997	5	4	0	0	3.609494615617484	0
1997	5	5	0	0	1.725384450174822	0
1997	5	6	0	0	1.2980523678649993	0
1997	5	7	0	0	2.3991286353250345	0
1997	5	8	0	0	1.566717108048257	0
1997	5	9	0	0	1.8064383274693812	0
1997	5	10	0	0	3.242016595541099	0
1997	5	11	0	0	4.3554116510270955	0
1997	5	12	0	0	1.325171322025507	0
1997	5	13	0	0	2.814203381142081	0
1997	5	14	0	0	2.295075095579784	0
1997	5	15	0	0	4.781680781078275	0
1997	5	16	0	0	4.265947611461184	0
1997	5	17	0	0	4.729142453468192	0
1997	5	18	0	0	1.9854348285771326	0
1997	5	19	0	0	4.623037200606335	0
1997	5	20	0	0	1.262171080740917	0
1997	5	21	0	0	2.5580135384930927	0
1997	5	22	0	0	2.3423013251659417	0
1997	5	23	0	0	3.0604843180259937	0
1997	5	24	0	0	0.8968475121218614	0
1997	5	25	0	0	4.123892206645653	0
1997	5	26	0	0	4.64153459940686	0
1997	5	27	0	0	5.285837926856798	0
1997	5	28	0	0	3.508778853813667	0
1997	5	29	0	0	4.72532566544519	0
1997	5	30	0	0	5.117926619523255	0
1997	5	31	0	0	4.9033826068279165	0
1997	6	1	0	0	1.5577324877066716	0
1997	6	2	0	0	2.025794351715934	0
1997	6	3	0	0	2.3205652775767556	0
1997	6	4	0	0	5.2527289092952385	0
1997	6	5	0	0	3.805654574921024	0
1997	6	6	0	0	3.070796690266427	0
1997	6	7	0	0	5.158189227471125	0
1997	6	8	0	0	4.122056109134398	0
1997	6	9	0	0	5.142333960271513	0
1997	6	10	0	0	5.551234317141808	0
1997	6	11	0	0	3.461966175205666	0
1997	6	12	0	0	3.4176049864945983	0
1997	6	13	0	0	3.3091415960382182	0
