YYYY	MM	DD	hh	mm	PET	R_R0
1997	1	1	0	0		0.0676394609768005	0
1997	1	2	0	0	0.0876394609768005	0
1997	1	3	0	0	0.353545585813945	0
1997	1	4	0	0	0.23805943498091287	0
1997	1	5	0	0	0.13288813002682606	0
1997	1	6	0	0	0.18719313323461434	0
1997	1	7	0	0	0.13617976910762483	0
1997	1	8	0	0	0.24847997259844787	0
1997	1	9	0	0	0.30788648429316384	0
1997	1	10	0	0	0.23995293990564714	0
1997	1	11	0	0	0.3176253654695459	0
1997	1	12	0	0	0.3662716669232886	0
1997	1	13	0	0	0.43130955768892737	0
1997	1	14	0	0	0.824891484884678	0
1997	1	15	0	0	0.9302991734405146	0
1997	1	16	0	0	0.9462914060687924	0
1997	1	17	0	0	0.9753025853570964	0
1997	1	18	0	0	0.8819898298759039	0
1997	1	19	0	0	0.3702979894830218	0
1997	1	20	0	0	0.36311444901780143	0
1997	1	21	0	0	0.2333562218147601	0
1997	1	22	0	0	0.4840275253989821	0
1997	1	23	0	0	0.5561564519111185	0
1997	1	24	0	0	0.6312706918780264	0
1997	1	25	0	0	0.8526646181121483	0
1997	1	26	0	0	0.1943288148304212	0
1997	1	27	0	0	0.2626694041317349	0
1997	1	28	0	0	0.2000913707970997	0
1997	1	29	0	0	0.18059124035233792	0
1997	1	30	0	0	0.32562415225759395	0
1997	1	31	0	0	0.3942426392798701	0
1997	2	1	0	0	0.3084836384044298	0
1997	2	2	0	0	1.003328738139913	0
1997	2	3	0	0	1.1570020638661576	0
1997	2	4	0	0	1.2116414849881014	0
1997	2	5	0	0	0.40874571834985973	0
1997	2	6	0	0	1.38395079142587	0
1997	2	7	0	0	1.7292297836043293	0
1997	2	8	0	0	1.5044051828645804	0
1997	2	9	0	0	1.7349449194972029	0
1997	2	10	0	0	1.7815747027925555	0
1997	2	11	0	0	0.3214168537226196	0
1997	2	12	0	0	1.0625699605192298	0
1997	2	13	0	0	0.45344741789690046	0
