YYYY	MM	DD	hh	mm	TA
1997	1	1	0	0	-10.699999999999998
1997	1	2	0	0	-8.7875
1997	1	3	0	0	-7.129166666666666
1997	1	4	0	0	-4.358333333333333
1997	1	5	0	0	-3.2874999999999996
1997	1	6	0	0	-2.5708333333333337
1997	1	7	0	0	-3.4875000000000003
1997	1	8	0	0	-4.3500000000000005
1997	1	9	0	0	-4.012499999999999
1997	1	10	0	0	-1.0458333333333334
1997	1	11	0	0	-2.829166666666667
1997	1	12	0	0	-5.862500000000001
1997	1	13	0	0	-9.883333333333335
1997	1	14	0	0	-8.979166666666668
1997	1	15	0	0	-2.9541666666666675
1997	1	16	0	0	-2.2083333333333335
1997	1	17	0	0	-1.4166666666666663
1997	1	18	0	0	-0.5749999999999998
1997	1	19	0	0	1.0833333333333335
1997	1	20	0	0	1.5416666666666667
1997	1	21	0	0	0.5333333333333333
1997	1	22	0	0	0.7541666666666668
1997	1	23	0	0	3.558333333333333
1997	1	24	0	0	3.145833333333334
1997	1	25	0	0	0.9666666666666665
1997	1	26	0	0	0.19166666666666662
1997	1	27	0	0	0.525
1997	1	28	0	0	0.23750000000000002
1997	1	29	0	0	-1.4291666666666671
1997	1	30	0	0	-2.116666666666667
1997	1	31	0	0	-3.1124999999999994
1997	2	1	0	0	-3.8625000000000003
1997	2	2	0	0	-3.0666666666666664
1997	2	3	0	0	-2.9499999999999997
1997	2	4	0	0	-1.2499999999999991
1997	2	5	0	0	3.6208333333333322
1997	2	6	0	0	-0.6291666666666665
1997	2	7	0	0	2.108333333333334
1997	2	8	0	0	4.095833333333334
1997	2	9	0	0	4.120833333333334
1997	2	10	0	0	6.716666666666666
1997	2	11	0	0	7.004166666666667
1997	2	12	0	0	8.008333333333335
1997	2	13	0	0	5.5541666666666645
1997	2	14	0	0	2.6583333333333337
1997	2	15	0	0	2.1875000000000004
1997	2	16	0	0	-4.25
1997	2	17	0	0	0.2666666666666667
1997	2	18	0	0	3.633333333333333
1997	2	19	0	0	2.558333333333333
1997	2	20	0	0	5.774999999999999
1997	2	21	0	0	6.220833333333334
1997	2	22	0	0	5.0458333333333325
1997	2	23	0	0	5.825
1997	2	24	0	0	7.820833333333333
1997	2	25	0	0	10.991666666666667
1997	2	26	0	0	7.112500000000001
1997	2	27	0	0	1.854166666666667
1997	2	28	0	0	2.8958333333333335
1997	3	1	0	0	9.220833333333333
1997	3	2	0	0	10.370833333333334
1997	3	3	0	0	9.8125
1997	3	4	0	0	11.366666666666667
1997	3	5	0	0	9.283333333333333
1997	3	6	0	0	4.245833333333334
1997	3	7	0	0	4.229166666666667
1997	3	8	0	0	3.2125000000000004
1997	3	9	0	0	4.754166666666667
1997	3	10	0	0	6.5708333333333355
1997	3	11	0	0	7.154166666666668
1997	3	12	0	0	9.083333333333334
1997	3	13	0	0	7.920833333333334
1997	3	14	0	0	6.008333333333333
1997	3	15	0	0	6.1833333333333345
1997	3	16	0	0	8.016666666666667
1997	3	17	0	0	8.570833333333335
1997	3	18	0	0	9.3375
1997	3	19	0	0	3.920833333333332
1997	3	20	0	0	1.7666666666666668
1997	3	21	0	0	1.7166666666666666
1997	3	22	0	0	1.5458333333333332
1997	3	23	0	0	3.125
1997	3	24	0	0	4.304166666666668
1997	3	25	0	0	3.9875000000000007
1997	3	26	0	0	5.625
1997	3	27	0	0	9.845833333333333
1997	3	28	0	0	6.7625
1997	3	29	0	0	1.1291666666666664
1997	3	30	0	0	2.929166666666667
1997	3	31	0	0	3.3208333333333324
1997	4	1	0	0	6.079166666666668
1997	4	2	0	0	7.249999999999999
1997	4	3	0	0	10.012500000000001
1997	4	4	0	0	3.058333333333334
1997	4	5	0	0	3.5625
1997	4	6	0	0	5.725000000000001
1997	4	7	0	0	1.5458333333333332
1997	4	8	0	0	1.9583333333333337
1997	4	9	0	0	6.845833333333334
1997	4	10	0	0	9.649999999999999
1997	4	11	0	0	9.791666666666666
1997	4	12	0	0	1.8375000000000001
1997	4	13	0	0	2.595833333333333
1997	4	14	0	0	5.258333333333334
1997	4	15	0	0	5.566666666666666
1997	4	16	0	0	1.6583333333333334
1997	4	17	0	0	1.0041666666666669
1997	4	18	0	0	3.204166666666667
1997	4	19	0	0	7.329166666666667
1997	4	20	0	0	0.48333333333333356
1997	4	21	0	0	0.12499999999999983
1997	4	22	0	0	0.13333333333333255
1997	4	23	0	0	3.495833333333333
1997	4	24	0	0	6.491666666666667
1997	4	25	0	0	10.962499999999999
1997	4	26	0	0	9.862499999999999
1997	4	27	0	0	7.937499999999999
