YYYY	MM	DD	hh	mm	RS
1997	1	1	0	0	1.2024
1997	1	2	0	0	0.9179999999999999
1997	1	3	0	0	3.5676
1997	1	4	0	0	1.9367999999999999
1997	1	5	0	0	1.134
1997	1	6	0	0	1.5984
1997	1	7	0	0	1.2167999999999999
1997	1	8	0	0	2.3327999999999998
1997	1	9	0	0	2.7396
1997	1	10	0	0	1.9187999999999998
1997	1	11	0	0	2.7108
1997	1	12	0	0	3.5711999999999997
1997	1	13	0	0	4.806
1997	1	14	0	0	8.0136
1997	1	15	0	0	7.3296
1997	1	16	0	0	7.2576
1997	1	17	0	0	7.2756
1997	1	18	0	0	6.3792
1997	1	19	0	0	2.5991999999999997
1997	1	20	0	0	2.5884
1997	1	21	0	0	1.7676
1997	1	22	0	0	3.5747999999999998
1997	1	23	0	0	3.6468
1997	1	24	0	0	4.0716
1997	1	25	0	0	5.9112
1997	1	26	0	0	1.4831999999999999
1997	1	27	0	0	1.9547999999999999
1997	1	28	0	0	1.5372
1997	1	29	0	0	1.4868
1997	1	30	0	0	2.7216
1997	1	31	0	0	3.3876
1997	2	1	0	0	2.7323999999999997
1997	2	2	0	0	8.1144
1997	2	3	0	0	8.7516
1997	2	4	0	0	8.848799999999999
1997	2	5	0	0	2.8007999999999997
1997	2	6	0	0	10.0764
1997	2	7	0	0	10.357199999999999
1997	2	8	0	0	8.6256
1997	2	9	0	0	9.8136
1997	2	10	0	0	9.8604
1997	2	11	0	0	2.0376
1997	2	12	0	0	6.0876
1997	2	13	0	0	2.7792
1997	2	14	0	0	3.0996
1997	2	15	0	0	1.4327999999999999
1997	2	16	0	0	6.1992
1997	2	17	0	0	8.8092
1997	2	18	0	0	4.1832
1997	2	19	0	0	10.08
1997	2	20	0	0	5.9112
1997	2	21	0	0	12.2364
1997	2	22	0	0	12.1968
1997	2	23	0	0	10.306799999999999
1997	2	24	0	0	7.6608
1997	2	25	0	0	2.7036
1997	2	26	0	0	1.44
1997	2	27	0	0	4.2192
1997	2	28	0	0	12.7692
1997	3	1	0	0	10.4832
1997	3	2	0	0	13.6152
1997	3	3	0	0	9.7092
1997	3	4	0	0	10.2852
1997	3	5	0	0	6.1164
1997	3	6	0	0	6.4656
1997	3	7	0	0	4.284
1997	3	8	0	0	13.4424
1997	3	9	0	0	10.1268
1997	3	10	0	0	15.220799999999999
1997	3	11	0	0	15.408
1997	3	12	0	0	14.148
1997	3	13	0	0	11.4876
1997	3	14	0	0	13.1652
1997	3	15	0	0	6.1812
1997	3	16	0	0	8.766
1997	3	17	0	0	10.6596
1997	3	18	0	0	15.2316
1997	3	19	0	0	6.5844
1997	3	20	0	0	4.2156
1997	3	21	0	0	7.0451999999999995
1997	3	22	0	0	13.204799999999999
1997	3	23	0	0	9.54
1997	3	24	0	0	7.7688
1997	3	25	0	0	6.4296
1997	3	26	0	0	16.711199999999998
1997	3	27	0	0	11.592
1997	3	28	0	0	3.4992
1997	3	29	0	0	9.072
1997	3	30	0	0	12.049199999999999
1997	3	31	0	0	19.7244
1997	4	1	0	0	21.391199999999998
1997	4	2	0	0	21.0708
1997	4	3	0	0	18.5004
1997	4	4	0	0	4.6692
1997	4	5	0	0	6.3828
1997	4	6	0	0	7.2216
1997	4	7	0	0	23.6232
1997	4	8	0	0	23.4684
1997	4	9	0	0	21.9744
1997	4	10	0	0	16.801199999999998
1997	4	11	0	0	19.7928
1997	4	12	0	0	18.2808
1997	4	13	0	0	23.904
1997	4	14	0	0	23.6196
1997	4	15	0	0	9.9072
1997	4	16	0	0	14.741999999999999
1997	4	17	0	0	23.3568
1997	4	18	0	0	24.75
1997	4	19	0	0	22.1004
1997	4	20	0	0	6.771599999999999
1997	4	21	0	0	16.750799999999998
1997	4	22	0	0	20.556
1997	4	23	0	0	24.3108
1997	4	24	0	0	24.8724
1997	4	25	0	0	22.716
1997	4	26	0	0	7.5168
1997	4	27	0	0	6.2676
1997	4	28	0	0	16.3584
1997	4	29	0	0	8.3016
1997	4	30	0	0	5.3388
1997	5	1	0	0	17.2332
1997	5	2	0	0	26.3232
1997	5	3	0	0	26.406
1997	5	4	0	0	20.0844
1997	5	5	0	0	10.5516
1997	5	6	0	0	8.118
1997	5	7	0	0	17.4816
1997	5	8	0	0	12.1176
1997	5	9	0	0	12.387599999999999
1997	5	10	0	0	20.8224
1997	5	11	0	0	24.1632
1997	5	12	0	0	8.3484
1997	5	13	0	0	16.6104
1997	5	14	0	0	12.942
1997	5	15	0	0	25.6284
1997	5	16	0	0	22.3416
1997	5	17	0	0	24.8544
1997	5	18	0	0	11.7792
1997	5	19	0	0	25.4808
1997	5	20	0	0	7.6608
1997	5	21	0	0	15.714
1997	5	22	0	0	14.9112
1997	5	23	0	0	18.4356
1997	5	24	0	0	5.8392
1997	5	25	0	0	25.416
1997	5	26	0	0	26.3736
1997	5	27	0	0	29.142
1997	5	28	0	0	22.6368
1997	5	29	0	0	28.584
1997	5	30	0	0	29.988
1997	5	31	0	0	30.2652
1997	6	1	0	0	10.8324
1997	6	2	0	0	12.1068
1997	6	3	0	0	13.7844
1997	6	4	0	0	29.6784
1997	6	5	0	0	20.8908
1997	6	6	0	0	16.840799999999998
1997	6	7	0	0	26.766
1997	6	8	0	0	22.3812
1997	6	9	0	0	27.7272
1997	6	10	0	0	28.519199999999998
1997	6	11	0	0	17.7948
1997	6	12	0	0	18.1224
1997	6	13	0	0	18.2016
1997	6	14	0	0	13.6512
1997	6	15	0	0	24.2568
1997	6	16	0	0	21.9636
1997	6	17	0	0	18.5148
1997	6	18	0	0	14.986799999999999
1997	6	19	0	0	5.1804
1997	6	20	0	0	18.9936
1997	6	21	0	0	7.5168
1997	6	22	0	0	12.294
1997	6	23	0	0	11.9592
1997	6	24	0	0	11.282399999999999
1997	6	25	0	0	14.5692
1997	6	26	0	0	9.9792
1997	6	27	0	0	3.9095999999999997
1997	6	28	0	0	18.2772
1997	6	29	0	0	11.984399999999999
1997	6	30	0	0	20.232
1997	7	1	0	0	20.7792
1997	7	2	0	0	23.043599999999998
1997	7	3	0	0	14.115599999999999
1997	7	4	0	0	7.6068
1997	7	5	0	0	4.8168
1997	7	6	0	0	5.7888
1997	7	7	0	0	18.2124
1997	7	8	0	0	27.2016
1997	7	9	0	0	26.7948
1997	7	10	0	0	24.1812
1997	7	11	0	0	18.583199999999998
1997	7	12	0	0	16.992
1997	7	13	0	0	24.7968
1997	7	14	0	0	13.6548
1997	7	15	0	0	22.554
1997	7	16	0	0	27.3924
1997	7	17	0	0	13.8204
1997	7	18	0	0	9.4104
1997	7	19	0	0	4.5287999999999995
1997	7	20	0	0	16.2144
1997	7	21	0	0	25.6536
1997	7	22	0	0	27.09
1997	7	23	0	0	9.4284
1997	7	24	0	0	22.4172
1997	7	25	0	0	6.1308
1997	7	26	0	0	12.456
1997	7	27	0	0	24.5052
1997	7	28	0	0	20.1276
1997	7	29	0	0	16.282799999999998
1997	7	30	0	0	25.128
1997	7	31	0	0	12.347999999999999
1997	8	1	0	0	3.8016
1997	8	2	0	0	7.714799999999999
1997	8	3	0	0	19.141199999999998
1997	8	4	0	0	26.1972
1997	8	5	0	0	24.3432
1997	8	6	0	0	7.9704
1997	8	7	0	0	12.621599999999999
1997	8	8	0	0	13.7592
1997	8	9	0	0	25.592399999999998
1997	8	10	0	0	26.2764
1997	8	11	0	0	24.8976
1997	8	12	0	0	19.3608
1997	8	13	0	0	18.0072
1997	8	14	0	0	21.006
1997	8	15	0	0	18.7164
1997	8	16	0	0	20.883599999999998
1997	8	17	0	0	11.7432
1997	8	18	0	0	15.4476
1997	8	19	0	0	21.2292
1997	8	20	0	0	21.5856
1997	8	21	0	0	18.1584
1997	8	22	0	0	19.4976
1997	8	23	0	0	22.4496
1997	8	24	0	0	19.9692
1997	8	25	0	0	21.5352
1997	8	26	0	0	10.584
1997	8	27	0	0	16.524
1997	8	28	0	0	3.3407999999999998
1997	8	29	0	0	14.7312
1997	8	30	0	0	8.5068
1997	8	31	0	0	22.1256
1997	9	1	0	0	21.2868
1997	9	2	0	0	8.046
1997	9	3	0	0	6.7139999999999995
1997	9	4	0	0	13.41
1997	9	5	0	0	20.214
1997	9	6	0	0	11.2356
1997	9	7	0	0	6.3431999999999995
1997	9	8	0	0	18.6948
1997	9	9	0	0	20.5272
1997	9	10	0	0	13.88374367724
1997	9	11	0	0	19.468799999999998
1997	9	12	0	0	18.5688
1997	9	13	0	0	4.374
1997	9	14	0	0	11.8584
1997	9	15	0	0	18.5976
1997	9	16	0	0	18.2736
1997	9	17	0	0	17.945999999999998
1997	9	18	0	0	17.64
1997	9	19	0	0	17.8092
1997	9	20	0	0	2.3724
1997	9	21	0	0	6.9012
1997	9	22	0	0	15.9516
1997	9	23	0	0	13.517999999999999
1997	9	24	0	0	11.9484
1997	9	25	0	0	4.5611999999999995
1997	9	26	0	0	9.7632
1997	9	27	0	0	15.0156
1997	9	28	0	0	15.4188
1997	9	29	0	0	15.8148
