YYYY	MM	DD	hh	mm	PREC
2020	1	1	0	0	0.0
2020	1	2	0	0	0.0
2020	1	3	0	0	0.0
2020	1	4	0	0	3.63
2020	1	5	0	0	0.0
2020	1	6	0	0	0.0
2020	1	7	0	0	0.22
2020	1	8	0	0	0.0
2020	1	9	0	0	0.68
2020	1	10	0	0	3.58
2020	1	11	0	0	0.25
2020	1	12	0	0	0.0
2020	1	13	0	0	0.0
2020	1	14	0	0	0.34
2020	1	15	0	0	0.0
2020	1	16	0	0	0.0
2020	1	17	0	0	5.67
2020	1	18	0	0	0.68
2020	1	19	0	0	0.0
2020	1	20	0	0	0.0
2020	1	21	0	0	0.0
2020	1	22	0	0	0.0
2020	1	23	0	0	0.0
2020	1	24	0	0	0.0
2020	1	25	0	0	0.0
2020	1	26	0	0	0.0
2020	1	27	0	0	2.33
2020	1	28	0	0	6.9
2020	1	29	0	0	3.9
2020	1	30	0	0	2.94
2020	1	31	0	0	0.0
2020	2	1	0	0	0.84
2020	2	2	0	0	7.18
2020	2	3	0	0	18.26
2020	2	4	0	0	13.85
2020	2	5	0	0	0.54
2020	2	6	0	0	0.0
2020	2	7	0	0	0.0
2020	2	8	0	0	0.0
2020	2	9	0	0	0.0
2020	2	10	0	0	6.93
2020	2	11	0	0	7.06
2020	2	12	0	0	0.0
2020	2	13	0	0	10.04
2020	2	14	0	0	1.01
2020	2	15	0	0	0.0
2020	2	16	0	0	0.0
2020	2	17	0	0	10.64
2020	2	18	0	0	0.08
2020	2	19	0	0	1.85
2020	2	20	0	0	0.2
2020	2	21	0	0	0.35
2020	2	22	0	0	0.0
2020	2	23	0	0	2.14
2020	2	24	0	0	0.0
2020	2	25	0	0	0.68
2020	2	26	0	0	6.45
2020	2	27	0	0	2.67
2020	2	28	0	0	0.0
2020	2	29	0	0	2.47
2020	3	1	0	0	1.9
2020	3	2	0	0	7.11
2020	3	3	0	0	2.47
2020	3	4	0	0	0.0
2020	3	5	0	0	15.42
2020	3	6	0	0	5.76
2020	3	7	0	0	0.16
2020	3	8	0	0	3.24
2020	3	9	0	0	5.18
2020	3	10	0	0	10.57
2020	3	11	0	0	0.0
2020	3	12	0	0	4.93
2020	3	13	0	0	0.0
2020	3	14	0	0	0.0
2020	3	15	0	0	0.0
2020	3	16	0	0	0.0
2020	3	17	0	0	0.0
2020	3	18	0	0	0.0
2020	3	19	0	0	0.0
2020	3	20	0	0	0.0
2020	3	21	0	0	0.0
2020	3	22	0	0	0.0
2020	3	23	0	0	0.0
2020	3	24	0	0	0.0
2020	3	25	0	0	0.0
2020	3	26	0	0	0.0
2020	3	27	0	0	0.0
2020	3	28	0	0	0.0
2020	3	29	0	0	4.75
2020	3	30	0	0	0.0
2020	3	31	0	0	0.0
2020	4	1	0	0	0.0
2020	4	2	0	0	0.0
2020	4	3	0	0	0.0
2020	4	4	0	0	0.0
2020	4	5	0	0	0.0
2020	4	6	0	0	0.0
2020	4	7	0	0	0.0
2020	4	8	0	0	0.0
2020	4	9	0	0	0.0
2020	4	10	0	0	0.0
2020	4	11	0	0	0.0
2020	4	12	0	0	0.0
2020	4	13	0	0	0.0
2020	4	14	0	0	0.0
2020	4	15	0	0	0.0
2020	4	16	0	0	0.0
2020	4	17	0	0	0.0
2020	4	18	0	0	0.0
2020	4	19	0	0	0.0
2020	4	20	0	0	0.0
2020	4	21	0	0	0.0
2020	4	22	0	0	0.0
2020	4	23	0	0	0.0
2020	4	24	0	0	0.0
2020	4	25	0	0	0.0
2020	4	26	0	0	1.02
2020	4	27	0	0	0.38
2020	4	28	0	0	1.31
2020	4	29	0	0	1.81
2020	4	30	0	0	2.51
2020	5	1	0	0	1.55
2020	5	2	0	0	8.0
2020	5	3	0	0	0.0
2020	5	4	0	0	0.0
2020	5	5	0	0	1.01
2020	5	6	0	0	0.0
2020	5	7	0	0	0.0
2020	5	8	0	0	0.0
2020	5	9	0	0	0.0
2020	5	10	0	0	0.51
2020	5	11	0	0	13.64
2020	5	12	0	0	0.0
2020	5	13	0	0	15.5
2020	5	14	0	0	1.87
2020	5	15	0	0	0.0
2020	5	16	0	0	0.0
2020	5	17	0	0	0.0
2020	5	18	0	0	0.0
2020	5	19	0	0	0.0
2020	5	20	0	0	0.0
2020	5	21	0	0	0.0
2020	5	22	0	0	0.0
2020	5	23	0	0	21.14
2020	5	24	0	0	0.0
2020	5	25	0	0	0.0
2020	5	26	0	0	0.0
2020	5	27	0	0	0.0
2020	5	28	0	0	0.0
2020	5	29	0	0	0.0
2020	5	30	0	0	0.0
2020	5	31	0	0	0.0
2020	6	1	0	0	0.0
2020	6	2	0	0	0.0
2020	6	3	0	0	2.33
2020	6	4	0	0	11.45
2020	6	5	0	0	8.72
2020	6	6	0	0	9.49
2020	6	7	0	0	3.48
2020	6	8	0	0	1.98
2020	6	9	0	0	4.19
2020	6	10	0	0	0.71
2020	6	11	0	0	2.33
2020	6	12	0	0	0.0
2020	6	13	0	0	3.41
2020	6	14	0	0	2.65
2020	6	15	0	0	0.0
2020	6	16	0	0	0.0
2020	6	17	0	0	16.91
2020	6	18	0	0	0.0
