YYYY	MM	DD	hh	mm	TA	TA_min	TA_max
2019	1	1	0	0	5.6	4.1	6.3
2019	1	2	0	0	2.8	-2.6	5.7
2019	1	3	0	0	-1.0	-5.3	2.2
2019	1	4	0	0	0.5	-3.2	3.3
2019	1	5	0	0	1.9	0.5	3.4
2019	1	6	0	0	3.3	2.6	4.4
2019	1	7	0	0	3.1	1.8	4.3
2019	1	8	0	0	4.3	2.2	6.4
2019	1	9	0	0	2.1	0.1	4.2
2019	1	10	0	0	0.0	-2.1	1.0
2019	1	11	0	0	-0.8	-2.6	0.7
2019	1	12	0	0	2.2	0.1	4.4
2019	1	13	0	0	6.5	4.3	8.4
2019	1	14	0	0	5.1	1.3	7.8
2019	1	15	0	0	3.8	-0.1	7.1
2019	1	16	0	0	4.2	-2.5	10.1
2019	1	17	0	0	6.5	0.9	9.0
2019	1	18	0	0	0.4	-3.8	3.9
2019	1	19	0	0	-2.9	-6.6	1.9
2019	1	20	0	0	-1.9	-4.9	0.5
2019	1	21	0	0	-1.9	-2.6	-1.3
2019	1	22	0	0	-1.6	-6.2	2.0
2019	1	23	0	0	-1.9	-5.6	0.3
2019	1	24	0	0	-2.0	-2.8	-1.3
2019	1	25	0	0	-1.1	-3.5	2.6
2019	1	26	0	0	4.6	0.9	7.2
2019	1	27	0	0	6.8	2.4	8.9
2019	1	28	0	0	2.4	0.8	3.5
2019	1	29	0	0	2.2	0.0	4.7
2019	1	30	0	0	2.0	-0.7	5.1
2019	1	31	0	0	2.1	-0.2	5.3
2019	2	1	0	0	4.1	0.9	6.8
2019	2	2	0	0	5.4	2.3	8.8
2019	2	3	0	0	2.0	-1.2	4.8
2019	2	4	0	0	0.9	-3.8	5.4
2019	2	5	0	0	0.0	-4.6	6.7
2019	2	6	0	0	-0.9	-6.0	6.8
2019	2	7	0	0	3.1	-4.1	7.5
2019	2	8	0	0	6.8	2.0	10.6
2019	2	9	0	0	9.2	2.7	11.9
2019	2	10	0	0	9.8	4.9	15.0
2019	2	11	0	0	3.6	0.9	6.7
2019	2	12	0	0	1.9	-2.6	6.2
2019	2	13	0	0	1.2	-4.2	8.8
2019	2	14	0	0	3.0	-3.4	11.9
2019	2	15	0	0	3.5	-3.2	12.9
2019	2	16	0	0	5.1	-3.1	18.2
2019	2	17	0	0	6.7	-2.3	19.7
2019	2	18	0	0	7.1	-1.5	16.3
