Name: Breitnau (ID: 684)			
Lat: 47.9385   ,Lon: 8.0761			
Jahr	Monat	Tag	ET
2010	11	1	0.4
2010	11	2	0.2
2010	11	3	0.4
2010	11	4	0.6
2010	11	5	0.6
2010	11	6	0.7
2010	11	7	0.3
2010	11	8	0.4
2010	11	9	0.7
2010	11	10	0.4
2010	11	11	1.1
2010	11	12	1.1
2010	11	13	1.1
2010	11	14	0.6
2010	11	15	0.2
2010	11	16	0.1
2010	11	17	0.1
2010	11	18	0.0
2010	11	19	0.2
2010	11	20	0.2
2010	11	21	0.0
2010	11	22	0.1
2010	11	23	0.1
2010	11	24	0.1
2010	11	25	0.2
2010	11	26	0.0
2010	11	27	0.0
2010	11	28	0.0
2010	11	29	0.1
2010	11	30	0.0
2010	12	1	0.0
2010	12	2	0.0
2010	12	3	0.0
2010	12	4	0.0
2010	12	5	0.1
2010	12	6	0.1
2010	12	7	0.2
2010	12	8	0.5
2010	12	9	0.0
2010	12	10	0.0
2010	12	11	0.2
2010	12	12	0.1
2010	12	13	0.0
2010	12	14	0.0
2010	12	15	0.0
2010	12	16	0.0
2010	12	17	0.1
2010	12	18	0.0
2010	12	19	0.1
2010	12	20	1.0
2010	12	21	0.2
2010	12	22	0.2
2010	12	23	0.1
2010	12	24	0.0
2010	12	25	0.0
2010	12	26	0.0
2010	12	27	0.0
2010	12	28	0.1
2010	12	29	0.1
2010	12	30	0.1
2010	12	31	0.0
2011	1	1	0.0
2011	1	2	0.1
2011	1	3	0.0
2011	1	4	0.0
2011	1	5	0.2
2011	1	6	0.2
2011	1	7	0.4
2011	1	8	0.4
2011	1	9	0.4
2011	1	10	0.1
2011	1	11	0.2
2011	1	12	0.4
2011	1	13	0.7
2011	1	14	0.2
2011	1	15	0.7
2011	1	16	0.3
2011	1	17	0.4
2011	1	18	0.3
2011	1	19	0.3
2011	1	20	0.0
2011	1	21	0.0
2011	1	22	0.0
2011	1	23	0.0
2011	1	24	0.1
2011	1	25	0.3
2011	1	26	0.2
2011	1	27	0.1
2011	1	28	0.1
2011	1	29	0.0
2011	1	30	0.0
2011	1	31	0.0
2011	2	1	0.0
2011	2	2	0.0
2011	2	3	0.1
2011	2	4	0.5
2011	2	5	0.8
2011	2	6	0.6
2011	2	7	0.7
2011	2	8	0.7
2011	2	9	0.1
2011	2	10	0.7
2011	2	11	1.2
2011	2	12	0.6
2011	2	13	0.5
