Name: Breitnau (ID: 684)			
Lat: 47.9385   ,Lon: 8.0761			
Jahr	Monat	Tag	T
2010	11	1	5.3
2010	11	2	4.1
2010	11	3	7.3
2010	11	4	10.4
2010	11	5	10.7
2010	11	6	8.8
2010	11	7	4.2
2010	11	8	0.5
2010	11	9	1.5
2010	11	10	3.0
2010	11	11	2.3
2010	11	12	8.9
2010	11	13	10.4
2010	11	14	9.0
2010	11	15	4.3
2010	11	16	0.9
2010	11	17	-0.2
2010	11	18	0.1
2010	11	19	0.7
2010	11	20	0.1
2010	11	21	4.3
2010	11	22	-0.8
2010	11	23	-2.1
2010	11	24	-2.2
2010	11	25	-1.9
2010	11	26	-4.5
2010	11	27	-7.5
2010	11	28	-4.6
2010	11	29	-4.8
2010	11	30	-9.1
2010	12	1	-6.8
2010	12	2	-7.8
2010	12	3	-10.3
2010	12	4	-7.9
2010	12	5	0.0
2010	12	6	-2.6
2010	12	7	3.5
2010	12	8	4.3
2010	12	9	-4.3
2010	12	10	-3.9
2010	12	11	-1.2
2010	12	12	-2.4
2010	12	13	-7.3
2010	12	14	-9.2
2010	12	15	-9.0
2010	12	16	-8.3
2010	12	17	-6.2
2010	12	18	-8.7
2010	12	19	-2.1
2010	12	20	1.3
2010	12	21	0.6
2010	12	22	4.7
2010	12	23	1.4
2010	12	24	-4.0
2010	12	25	-7.8
2010	12	26	-8.5
2010	12	27	-9.0
2010	12	28	-0.7
2010	12	29	1.8
2010	12	30	-3.1
2010	12	31	-3.9
2011	1	1	-4.8
2011	1	2	-5.4
2011	1	3	-9.4
2011	1	4	-8.8
2011	1	5	-7.8
2011	1	6	2.0
2011	1	7	4.7
2011	1	8	4.0
2011	1	9	2.5
2011	1	10	-0.7
2011	1	11	-0.2
2011	1	12	1.9
2011	1	13	6.7
2011	1	14	5.4
2011	1	15	3.5
2011	1	16	0.3
2011	1	17	6.4
2011	1	18	3.3
2011	1	19	-1.6
2011	1	20	-4.4
2011	1	21	-5.8
2011	1	22	-7.7
2011	1	23	-8.5
2011	1	24	-5.3
2011	1	25	-2.4
2011	1	26	-2.3
2011	1	27	-2.7
2011	1	28	-5.5
2011	1	29	-7.2
2011	1	30	-8.2
2011	1	31	-8.4
2011	2	1	-9.5
2011	2	2	-7.4
2011	2	3	-3.8
2011	2	4	1.2
2011	2	5	3.6
2011	2	6	1.9
2011	2	7	3.9
2011	2	8	1.6
2011	2	9	0.9
2011	2	10	2.7
2011	2	11	5.1
2011	2	12	3.5
2011	2	13	2.7
2011	2	14	2.4
2011	2	15	1.4
2011	2	16	0.4
2011	2	17	-0.3
2011	2	18	-0.8
2011	2	19	0.2
2011	2	20	-1.0
2011	2	21	-3.9
2011	2	22	-5.4
2011	2	23	-6.6
2011	2	24	-2.7
2011	2	25	1.2
2011	2	26	0.4
2011	2	27	0.0
2011	2	28	-0.8
2011	3	1	1.2
2011	3	2	-0.7
2011	3	3	-2.6
2011	3	4	-1.8
2011	3	5	0.1
2011	3	6	-3.2
2011	3	7	-2.3
2011	3	8	3.4
2011	3	9	3.5
2011	3	10	5.1
2011	3	11	3.7
2011	3	12	6.8
2011	3	13	4.9
2011	3	14	5.9
2011	3	15	8.2
2011	3	16	5.2
2011	3	17	2.9
2011	3	18	2.8
2011	3	19	0.2
2011	3	20	-0.5
2011	3	21	0.5
2011	3	22	2.3
2011	3	23	4.9
2011	3	24	8.6
2011	3	25	7.9
2011	3	26	7.0
2011	3	27	5.4
2011	3	28	5.3
2011	3	29	4.7
2011	3	30	5.5
2011	3	31	7.8
2011	4	1	10.2
2011	4	2	13.9
2011	4	3	12.3
2011	4	4	6.3
2011	4	5	7.1
2011	4	6	10.5
2011	4	7	13.7
2011	4	8	9.6
2011	4	9	13.2
2011	4	10	12.5
2011	4	11	10.8
2011	4	12	5.4
2011	4	13	2.1
2011	4	14	2.8
2011	4	15	2.1
2011	4	16	3.5
2011	4	17	4.8
2011	4	18	7.0
2011	4	19	8.9
2011	4	20	10.6
2011	4	21	13.5
2011	4	22	13.9
2011	4	23	12.2
2011	4	24	10.5
2011	4	25	11.3
2011	4	26	7.8
2011	4	27	7.7
2011	4	28	7.8
2011	4	29	8.0
2011	4	30	7.6
2011	5	1	8.4
2011	5	2	8.7
2011	5	3	5.2
2011	5	4	4.3
2011	5	5	6.2
2011	5	6	12.7
2011	5	7	15.3
2011	5	8	13.8
2011	5	9	15.5
2011	5	10	14.6
2011	5	11	13.3
2011	5	12	11.3
2011	5	13	10.4
2011	5	14	8.7
2011	5	15	5.9
2011	5	16	6.6
2011	5	17	10.6
2011	5	18	12.3
2011	5	19	12.0
2011	5	20	12.1
2011	5	21	13.1
2011	5	22	14.5
2011	5	23	13.6
2011	5	24	14.0
2011	5	25	12.3
2011	5	26	15.1
2011	5	27	9.0
2011	5	28	8.9
2011	5	29	12.8
2011	5	30	17.4
2011	5	31	11.9
2011	6	1	6.2
2011	6	2	10.8
2011	6	3	15.1
2011	6	4	15.4
2011	6	5	16.0
2011	6	6	13.0
2011	6	7	14.3
2011	6	8	9.6
2011	6	9	9.2
2011	6	10	9.7
2011	6	11	9.8
2011	6	12	11.6
2011	6	13	11.9
2011	6	14	14.5
2011	6	15	15.7
2011	6	16	14.5
2011	6	17	13.7
2011	6	18	11.3
2011	6	19	8.9
2011	6	20	12.5
2011	6	21	17.2
2011	6	22	14.6
2011	6	23	11.7
2011	6	24	10.8
2011	6	25	11.8
2011	6	26	17.7
2011	6	27	20.3
2011	6	28	22.5
2011	6	29	15.5
2011	6	30	11.8
2011	7	1	9.7
2011	7	2	9.6
2011	7	3	11.2
2011	7	4	14.8
2011	7	5	16.8
2011	7	6	16.6
2011	7	7	14.6
2011	7	8	13.7
2011	7	9	16.8
2011	7	10	14.7
2011	7	11	16.0
2011	7	12	18.6
2011	7	13	14.0
2011	7	14	10.3
2011	7	15	10.4
2011	7	16	13.9
2011	7	17	11.6
2011	7	18	11.0
2011	7	19	10.1
2011	7	20	9.9
2011	7	21	10.7
2011	7	22	11.7
2011	7	23	10.1
2011	7	24	8.5
2011	7	25	10.7
2011	7	26	11.7
2011	7	27	12.5
2011	7	28	12.7
2011	7	29	13.3
2011	7	30	12.3
2011	7	31	11.8
2011	8	1	13.7
2011	8	2	16.6
2011	8	3	16.4
2011	8	4	17.4
2011	8	5	16.0
2011	8	6	16.3
2011	8	7	12.5
2011	8	8	10.8
2011	8	9	10.5
2011	8	10	10.0
2011	8	11	13.9
2011	8	12	16.1
2011	8	13	15.6
2011	8	14	16.6
2011	8	15	14.6
2011	8	16	15.3
2011	8	17	16.5
2011	8	18	19.6
2011	8	19	18.4
2011	8	20	18.3
2011	8	21	21.0
2011	8	22	21.7
2011	8	23	21.7
2011	8	24	18.6
2011	8	25	17.3
2011	8	26	16.8
2011	8	27	9.3
2011	8	28	10.7
2011	8	29	10.6
2011	8	30	10.8
2011	8	31	11.8
2011	9	1	15.5
2011	9	2	16.5
2011	9	3	18.4
2011	9	4	15.7
2011	9	5	12.3
2011	9	6	11.2
2011	9	7	13.2
2011	9	8	13.0
2011	9	9	15.8
2011	9	10	17.5
2011	9	11	17.6
2011	9	12	15.0
2011	9	13	16.5
2011	9	14	11.5
2011	9	15	9.9
2011	9	16	15.8
2011	9	17	14.6
2011	9	18	7.9
2011	9	19	7.0
2011	9	20	8.0
2011	9	21	9.6
2011	9	22	10.4
2011	9	23	10.8
2011	9	24	14.2
2011	9	25	15.6
2011	9	26	15.8
2011	9	27	13.7
2011	9	28	13.1
2011	9	29	12.3
2011	9	30	12.4
2011	10	1	16.9
2011	10	2	16.6
2011	10	3	13.2
2011	10	4	12.4
2011	10	5	10.6
2011	10	6	11.0
2011	10	7	4.6
2011	10	8	3.5
2011	10	9	5.0
2011	10	10	11.8
2011	10	11	10.1
2011	10	12	9.3
2011	10	13	8.0
2011	10	14	4.6
2011	10	15	2.6
2011	10	16	2.5
2011	10	17	7.2
2011	10	18	9.0
2011	10	19	1.6
2011	10	20	1.3
2011	10	21	-0.3
2011	10	22	-1.7
2011	10	23	5.7
2011	10	24	7.6
2011	10	25	4.6
2011	10	26	6.0
2011	10	27	2.9
2011	10	28	10.4
2011	10	29	12.0
2011	10	30	10.2
2011	10	31	4.7
