Name: Ihringen (ID: 2388)			
Lat: 48.0419   ,Lon: 7.6322			
Jahr	Monat	Tag	T
2010	11	1	8.7
2010	11	2	7.9
2010	11	3	12.9
2010	11	4	15.4
2010	11	5	15.2
2010	11	6	13.8
2010	11	7	8.7
2010	11	8	6.6
2010	11	9	9.9
2010	11	10	9.0
2010	11	11	8.2
2010	11	12	13.8
2010	11	13	16.4
2010	11	14	14.1
2010	11	15	8.4
2010	11	16	5.5
2010	11	17	4.9
2010	11	18	4.2
2010	11	19	6.0
2010	11	20	3.3
2010	11	21	3.3
2010	11	22	4.8
2010	11	23	3.7
2010	11	24	3.9
2010	11	25	3.9
2010	11	26	0.9
2010	11	27	-2.1
2010	11	28	-2.6
2010	11	29	-0.4
2010	11	30	-4.2
2010	12	1	-2.8
2010	12	2	-3.9
2010	12	3	-6.2
2010	12	4	-3.5
2010	12	5	-0.7
2010	12	6	0.7
2010	12	7	2.6
2010	12	8	4.6
2010	12	9	0.7
2010	12	10	1.4
2010	12	11	4.2
2010	12	12	3.5
2010	12	13	-1.9
2010	12	14	-4.0
2010	12	15	-3.0
2010	12	16	-2.3
2010	12	17	-0.8
2010	12	18	-1.8
2010	12	19	4.3
2010	12	20	5.5
2010	12	21	6.4
2010	12	22	5.5
2010	12	23	3.8
2010	12	24	-0.1
2010	12	25	-4.3
2010	12	26	-9.2
2010	12	27	-6.7
2010	12	28	-2.3
2010	12	29	0.1
2010	12	30	0.4
2010	12	31	-0.4
2011	1	1	0.8
2011	1	2	-0.3
2011	1	3	-3.6
2011	1	4	-2.4
2011	1	5	-2.4
2011	1	6	7.6
2011	1	7	11.3
2011	1	8	11.9
2011	1	9	8.5
2011	1	10	2.7
2011	1	11	4.5
2011	1	12	7.1
2011	1	13	11.2
2011	1	14	11.0
2011	1	15	8.4
2011	1	16	2.7
2011	1	17	4.7
2011	1	18	7.5
2011	1	19	3.5
2011	1	20	1.5
2011	1	21	-0.3
2011	1	22	-2.4
2011	1	23	-4.7
2011	1	24	-1.0
2011	1	25	1.8
2011	1	26	3.0
2011	1	27	1.4
2011	1	28	1.3
2011	1	29	-0.3
2011	1	30	-2.9
2011	1	31	-2.6
2011	2	1	-2.4
2011	2	2	-0.2
2011	2	3	0.9
2011	2	4	7.1
2011	2	5	8.7
2011	2	6	5.3
2011	2	7	4.2
2011	2	8	4.2
2011	2	9	2.3
2011	2	10	5.9
2011	2	11	10.3
2011	2	12	7.3
2011	2	13	7.5
2011	2	14	6.7
2011	2	15	6.8
2011	2	16	3.6
2011	2	17	3.5
2011	2	18	3.6
2011	2	19	4.0
2011	2	20	2.0
2011	2	21	-0.5
2011	2	22	-1.7
2011	2	23	-2.7
2011	2	24	2.0
2011	2	25	5.4
2011	2	26	6.5
2011	2	27	5.6
2011	2	28	4.9
2011	3	1	6.2
2011	3	2	4.8
2011	3	3	2.5
2011	3	4	2.4
2011	3	5	3.4
2011	3	6	1.4
2011	3	7	4.5
2011	3	8	4.8
2011	3	9	8.0
2011	3	10	9.2
2011	3	11	8.6
2011	3	12	6.8
2011	3	13	8.6
2011	3	14	10.5
2011	3	15	9.9
2011	3	16	9.2
2011	3	17	7.0
2011	3	18	7.7
2011	3	19	5.7
2011	3	20	4.3
2011	3	21	6.2
2011	3	22	6.8
2011	3	23	8.3
2011	3	24	9.7
2011	3	25	11.4
2011	3	26	10.0
2011	3	27	9.3
2011	3	28	10.7
2011	3	29	9.2
2011	3	30	11.6
2011	3	31	12.5
2011	4	1	15.2
2011	4	2	14.9
2011	4	3	16.5
2011	4	4	11.1
2011	4	5	11.2
2011	4	6	14.6
2011	4	7	16.4
2011	4	8	13.1
2011	4	9	12.5
2011	4	10	12.5
2011	4	11	14.0
2011	4	12	10.6
2011	4	13	6.1
2011	4	14	8.0
2011	4	15	6.9
2011	4	16	8.8
2011	4	17	10.4
2011	4	18	11.7
2011	4	19	12.7
2011	4	20	13.7
2011	4	21	15.0
2011	4	22	15.1
2011	4	23	15.7
2011	4	24	16.4
2011	4	25	15.2
2011	4	26	12.8
2011	4	27	12.9
2011	4	28	12.5
2011	4	29	12.6
2011	4	30	11.4
2011	5	1	13.3
2011	5	2	13.2
2011	5	3	10.6
2011	5	4	9.2
2011	5	5	11.3
2011	5	6	14.9
2011	5	7	18.6
2011	5	8	19.6
2011	5	9	19.1
2011	5	10	18.6
2011	5	11	18.2
2011	5	12	16.6
2011	5	13	14.2
2011	5	14	12.9
2011	5	15	11.1
2011	5	16	12.2
2011	5	17	16.3
2011	5	18	16.4
2011	5	19	16.4
2011	5	20	17.9
2011	5	21	17.7
2011	5	22	19.2
2011	5	23	18.0
2011	5	24	17.7
2011	5	25	16.6
2011	5	26	18.8
2011	5	27	14.1
2011	5	28	13.4
2011	5	29	16.7
2011	5	30	21.3
2011	5	31	17.3
2011	6	1	10.5
2011	6	2	16.7
2011	6	3	20.3
2011	6	4	21.0
2011	6	5	20.7
2011	6	6	18.5
2011	6	7	18.2
2011	6	8	14.9
2011	6	9	15.0
2011	6	10	14.5
2011	6	11	15.0
2011	6	12	15.8
2011	6	13	17.2
2011	6	14	19.1
2011	6	15	20.1
2011	6	16	18.9
2011	6	17	19.4
2011	6	18	16.6
2011	6	19	14.1
2011	6	20	17.2
2011	6	21	22.5
2011	6	22	20.1
2011	6	23	17.4
2011	6	24	16.3
2011	6	25	16.6
2011	6	26	20.8
2011	6	27	23.7
2011	6	28	25.4
2011	6	29	19.8
2011	6	30	17.1
2011	7	1	13.4
2011	7	2	13.5
2011	7	3	15.2
2011	7	4	17.7
2011	7	5	20.5
2011	7	6	20.5
2011	7	7	18.7
2011	7	8	19.2
2011	7	9	20.3
2011	7	10	18.7
2011	7	11	19.3
2011	7	12	21.9
2011	7	13	18.8
2011	7	14	15.9
2011	7	15	15.3
2011	7	16	18.7
2011	7	17	17.0
2011	7	18	16.2
2011	7	19	14.7
2011	7	20	15.2
2011	7	21	16.1
2011	7	22	17.1
2011	7	23	15.9
2011	7	24	14.2
2011	7	25	16.7
2011	7	26	16.0
2011	7	27	18.2
2011	7	28	18.7
2011	7	29	18.5
2011	7	30	16.6
2011	7	31	14.7
2011	8	1	16.9
2011	8	2	20.2
2011	8	3	21.1
2011	8	4	22.8
2011	8	5	21.0
2011	8	6	21.0
2011	8	7	18.2
2011	8	8	16.2
2011	8	9	15.3
2011	8	10	14.4
2011	8	11	17.3
2011	8	12	19.2
2011	8	13	20.8
2011	8	14	19.8
2011	8	15	19.8
2011	8	16	18.4
2011	8	17	20.1
2011	8	18	24.1
2011	8	19	24.3
2011	8	20	21.5
2011	8	21	23.6
2011	8	22	25.8
2011	8	23	25.9
2011	8	24	22.5
2011	8	25	21.6
2011	8	26	20.5
2011	8	27	14.8
2011	8	28	16.7
2011	8	29	15.6
2011	8	30	15.2
2011	8	31	15.3
2011	9	1	18.6
2011	9	2	20.2
2011	9	3	22.0
2011	9	4	20.7
2011	9	5	17.5
2011	9	6	17.0
2011	9	7	17.1
2011	9	8	17.4
2011	9	9	20.8
2011	9	10	21.6
2011	9	11	21.8
2011	9	12	19.3
2011	9	13	21.0
2011	9	14	17.1
2011	9	15	13.6
2011	9	16	16.0
2011	9	17	19.8
2011	9	18	13.8
2011	9	19	12.5
2011	9	20	12.4
2011	9	21	12.9
2011	9	22	13.9
2011	9	23	14.3
2011	9	24	14.4
2011	9	25	16.3
2011	9	26	16.6
2011	9	27	16.8
2011	9	28	16.3
2011	9	29	16.4
2011	9	30	15.7
2011	10	1	15.5
2011	10	2	16.0
2011	10	3	15.9
2011	10	4	16.0
2011	10	5	16.8
2011	10	6	15.1
2011	10	7	10.4
2011	10	8	9.0
2011	10	9	10.9
2011	10	10	15.4
2011	10	11	14.7
2011	10	12	14.7
2011	10	13	12.2
2011	10	14	10.2
2011	10	15	5.5
2011	10	16	7.2
2011	10	17	9.4
2011	10	18	13.5
2011	10	19	5.9
2011	10	20	5.7
2011	10	21	2.0
2011	10	22	3.0
2011	10	23	2.7
2011	10	24	3.8
2011	10	25	7.6
2011	10	26	10.6
2011	10	27	5.8
2011	10	28	7.9
2011	10	29	9.5
2011	10	30	11.2
2011	10	31	8.5
